Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_bedroom
E02000001,City of London 001,2626
E02000002,Barking and Dagenham 001,343
E02000003,Barking and Dagenham 002,434
E02000004,Barking and Dagenham 003,144
E02000005,Barking and Dagenham 004,309
E02000007,Barking and Dagenham 006,652
E02000008,Barking and Dagenham 007,546
E02000009,Barking and Dagenham 008,595
E02000010,Barking and Dagenham 009,279
E02000011,Barking and Dagenham 010,225
E02000012,Barking and Dagenham 011,295
E02000013,Barking and Dagenham 012,306
E02000014,Barking and Dagenham 013,257
E02000015,Barking and Dagenham 014,809
E02000016,Barking and Dagenham 015,1445
E02000017,Barking and Dagenham 016,513
E02000018,Barking and Dagenham 017,385
E02000019,Barking and Dagenham 018,188
E02000020,Barking and Dagenham 019,721
E02000021,Barking and Dagenham 020,375
E02000022,Barking and Dagenham 021,825
E02000023,Barking and Dagenham 022,621
E02000024,Barnet 001,693
E02000025,Barnet 002,769
E02000026,Barnet 003,240
E02000027,Barnet 004,507
E02000028,Barnet 005,382
E02000029,Barnet 006,564
E02000030,Barnet 007,203
E02000031,Barnet 008,437
E02000032,Barnet 009,115
E02000033,Barnet 010,394
E02000034,Barnet 011,569
E02000035,Barnet 012,720
E02000036,Barnet 013,450
E02000037,Barnet 014,364
E02000038,Barnet 015,604
E02000039,Barnet 016,267
E02000040,Barnet 017,515
E02000041,Barnet 018,436
E02000042,Barnet 019,1232
E02000043,Barnet 020,165
E02000044,Barnet 021,382
E02000045,Barnet 022,821
E02000046,Barnet 023,628
E02000047,Barnet 024,748
E02000048,Barnet 025,383
E02000049,Barnet 026,907
E02000050,Barnet 027,752
E02000051,Barnet 028,626
E02000052,Barnet 029,914
E02000054,Barnet 031,690
E02000055,Barnet 032,1019
E02000056,Barnet 033,256
E02000057,Barnet 034,464
E02000058,Barnet 035,655
E02000059,Barnet 036,1143
E02000060,Barnet 037,802
E02000061,Barnet 038,998
E02000062,Barnet 039,575
E02000063,Barnet 040,607
E02000064,Barnet 041,525
E02000065,Bexley 001,471
E02000066,Bexley 002,902
E02000067,Bexley 003,699
E02000068,Bexley 004,549
E02000069,Bexley 005,331
E02000070,Bexley 006,191
E02000071,Bexley 007,145
E02000072,Bexley 008,705
E02000073,Bexley 009,95
E02000074,Bexley 010,674
E02000075,Bexley 011,86
E02000077,Bexley 013,215
E02000078,Bexley 014,111
E02000079,Bexley 015,399
E02000080,Bexley 016,244
E02000081,Bexley 017,305
E02000082,Bexley 018,107
E02000083,Bexley 019,506
E02000084,Bexley 020,159
E02000085,Bexley 021,134
E02000086,Bexley 022,141
E02000087,Bexley 023,216
E02000088,Bexley 024,71
E02000089,Bexley 025,76
E02000090,Bexley 026,766
E02000091,Bexley 027,779
E02000092,Bexley 028,310
E02000093,Brent 001,319
E02000094,Brent 002,519
E02000095,Brent 003,247
E02000096,Brent 004,223
E02000097,Brent 005,290
E02000098,Brent 006,376
E02000099,Brent 007,356
E02000100,Brent 008,267
E02000101,Brent 009,666
E02000102,Brent 010,565
E02000103,Brent 011,634
E02000104,Brent 012,387
E02000105,Brent 013,535
E02000106,Brent 014,718
E02000107,Brent 015,1300
E02000108,Brent 016,370
E02000110,Brent 018,713
E02000111,Brent 019,448
E02000112,Brent 020,579
E02000113,Brent 021,650
E02000114,Brent 022,1218
E02000115,Brent 023,1420
E02000116,Brent 024,807
E02000117,Brent 025,1308
E02000118,Brent 026,549
E02000119,Brent 027,1114
E02000120,Brent 028,1613
E02000121,Brent 029,703
E02000122,Brent 030,566
E02000123,Brent 031,1710
E02000124,Brent 032,920
E02000125,Brent 033,662
E02000126,Brent 034,1163
E02000127,Bromley 001,536
E02000128,Bromley 002,209
E02000130,Bromley 004,745
E02000131,Bromley 005,1773
E02000132,Bromley 006,1415
E02000133,Bromley 007,222
E02000134,Bromley 008,1232
E02000135,Bromley 009,1456
E02000136,Bromley 010,242
E02000137,Bromley 011,714
E02000138,Bromley 012,778
E02000139,Bromley 013,609
E02000140,Bromley 014,581
E02000141,Bromley 015,608
E02000142,Bromley 016,386
E02000144,Bromley 018,756
E02000145,Bromley 019,515
E02000146,Bromley 020,574
E02000147,Bromley 021,326
E02000148,Bromley 022,166
E02000149,Bromley 023,300
E02000150,Bromley 024,226
E02000151,Bromley 025,52
E02000152,Bromley 026,294
E02000153,Bromley 027,28
E02000154,Bromley 028,427
E02000155,Bromley 029,206
E02000156,Bromley 030,409
E02000157,Bromley 031,57
E02000158,Bromley 032,166
E02000159,Bromley 033,54
E02000160,Bromley 034,198
E02000161,Bromley 035,124
E02000162,Bromley 036,345
E02000163,Bromley 037,129
E02000165,Bromley 039,79
E02000166,Camden 001,948
E02000167,Camden 002,830
E02000168,Camden 003,1116
E02000169,Camden 004,525
E02000170,Camden 005,958
E02000171,Camden 006,915
E02000172,Camden 007,1341
E02000173,Camden 008,1219
E02000174,Camden 009,1205
E02000175,Camden 010,1595
E02000176,Camden 011,1048
