Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_car
E02000001,City of London 001,954
E02000002,Barking and Dagenham 001,1273
E02000003,Barking and Dagenham 002,1841
E02000004,Barking and Dagenham 003,984
E02000005,Barking and Dagenham 004,1729
E02000007,Barking and Dagenham 006,1611
E02000008,Barking and Dagenham 007,2086
E02000009,Barking and Dagenham 008,1995
E02000010,Barking and Dagenham 009,1530
E02000011,Barking and Dagenham 010,1087
E02000012,Barking and Dagenham 011,1464
E02000013,Barking and Dagenham 012,1485
E02000014,Barking and Dagenham 013,1566
E02000015,Barking and Dagenham 014,1320
E02000016,Barking and Dagenham 015,1251
E02000017,Barking and Dagenham 016,1117
E02000018,Barking and Dagenham 017,1450
E02000019,Barking and Dagenham 018,1496
E02000020,Barking and Dagenham 019,2252
E02000021,Barking and Dagenham 020,1352
E02000022,Barking and Dagenham 021,1198
E02000023,Barking and Dagenham 022,1231
E02000024,Barnet 001,2169
E02000025,Barnet 002,1835
E02000026,Barnet 003,1231
E02000027,Barnet 004,1733
E02000028,Barnet 005,1272
E02000029,Barnet 006,1747
E02000030,Barnet 007,1344
E02000031,Barnet 008,1599
E02000032,Barnet 009,1216
E02000033,Barnet 010,1644
E02000034,Barnet 011,1643
E02000035,Barnet 012,1634
E02000036,Barnet 013,1802
E02000037,Barnet 014,1567
E02000038,Barnet 015,1909
E02000039,Barnet 016,1155
E02000040,Barnet 017,1686
E02000041,Barnet 018,1415
E02000042,Barnet 019,2125
E02000043,Barnet 020,1288
E02000044,Barnet 021,1385
E02000045,Barnet 022,2000
E02000046,Barnet 023,1337
E02000047,Barnet 024,1905
E02000048,Barnet 025,1920
E02000049,Barnet 026,1754
E02000050,Barnet 027,1910
E02000051,Barnet 028,1686
E02000052,Barnet 029,2086
E02000054,Barnet 031,1330
E02000055,Barnet 032,1758
E02000056,Barnet 033,1447
E02000057,Barnet 034,1098
E02000058,Barnet 035,1841
E02000059,Barnet 036,1954
E02000060,Barnet 037,1439
E02000061,Barnet 038,1390
E02000062,Barnet 039,1027
E02000063,Barnet 040,1252
E02000064,Barnet 041,1091
E02000065,Bexley 001,1240
E02000066,Bexley 002,1504
E02000067,Bexley 003,1918
E02000068,Bexley 004,1403
E02000069,Bexley 005,1277
E02000070,Bexley 006,1411
E02000071,Bexley 007,1252
E02000072,Bexley 008,2121
E02000073,Bexley 009,1688
E02000074,Bexley 010,1606
E02000075,Bexley 011,1401
E02000077,Bexley 013,1369
E02000078,Bexley 014,1327
E02000079,Bexley 015,1633
E02000080,Bexley 016,1735
E02000081,Bexley 017,1517
E02000082,Bexley 018,1512
E02000083,Bexley 019,2114
E02000084,Bexley 020,1854
E02000085,Bexley 021,1401
E02000086,Bexley 022,1238
E02000087,Bexley 023,1466
E02000088,Bexley 024,1366
E02000089,Bexley 025,1359
E02000090,Bexley 026,2064
E02000091,Bexley 027,2015
E02000092,Bexley 028,1214
E02000093,Brent 001,1649
E02000094,Brent 002,1518
E02000095,Brent 003,1381
E02000096,Brent 004,1027
E02000097,Brent 005,1334
E02000098,Brent 006,1224
E02000099,Brent 007,1345
E02000100,Brent 008,1019
E02000101,Brent 009,1366
E02000102,Brent 010,1142
E02000103,Brent 011,1555
E02000104,Brent 012,1008
E02000105,Brent 013,1295
E02000106,Brent 014,1376
E02000107,Brent 015,1438
E02000108,Brent 016,1010
E02000110,Brent 018,1271
E02000111,Brent 019,1294
E02000112,Brent 020,1268
E02000113,Brent 021,1262
E02000114,Brent 022,1178
E02000115,Brent 023,1360
E02000116,Brent 024,1120
E02000117,Brent 025,1725
E02000118,Brent 026,1245
E02000119,Brent 027,1632
E02000120,Brent 028,1399
E02000121,Brent 029,1443
E02000122,Brent 030,1355
E02000123,Brent 031,1783
E02000124,Brent 032,1688
E02000125,Brent 033,1727
E02000126,Brent 034,1121
E02000127,Bromley 001,1781
E02000128,Bromley 002,1524
E02000130,Bromley 004,1785
E02000131,Bromley 005,2253
E02000132,Bromley 006,2594
E02000133,Bromley 007,2009
E02000134,Bromley 008,2623
E02000135,Bromley 009,1759
E02000136,Bromley 010,939
E02000137,Bromley 011,1894
E02000138,Bromley 012,2116
E02000139,Bromley 013,1760
E02000140,Bromley 014,1450
E02000141,Bromley 015,1557
E02000142,Bromley 016,1711
E02000144,Bromley 018,2062
E02000145,Bromley 019,1583
E02000146,Bromley 020,2081
E02000147,Bromley 021,1306
E02000148,Bromley 022,1283
E02000149,Bromley 023,1492
E02000150,Bromley 024,1452
E02000151,Bromley 025,1418
E02000152,Bromley 026,1441
E02000153,Bromley 027,1259
E02000154,Bromley 028,1624
E02000155,Bromley 029,1452
E02000156,Bromley 030,2152
E02000157,Bromley 031,1586
E02000158,Bromley 032,1311
E02000159,Bromley 033,1077
