Middle layer Super Output Areas Code,Middle layer Super Output Areas,3_bedrooms
E02000001,City of London 001,522
E02000002,Barking and Dagenham 001,1177
E02000003,Barking and Dagenham 002,1814
E02000004,Barking and Dagenham 003,1290
E02000005,Barking and Dagenham 004,1681
E02000007,Barking and Dagenham 006,1517
E02000008,Barking and Dagenham 007,1745
E02000009,Barking and Dagenham 008,1509
E02000010,Barking and Dagenham 009,1325
E02000011,Barking and Dagenham 010,1136
E02000012,Barking and Dagenham 011,1391
E02000013,Barking and Dagenham 012,1385
E02000014,Barking and Dagenham 013,1424
E02000015,Barking and Dagenham 014,1110
E02000016,Barking and Dagenham 015,794
E02000017,Barking and Dagenham 016,1107
E02000018,Barking and Dagenham 017,1235
E02000019,Barking and Dagenham 018,1332
E02000020,Barking and Dagenham 019,1650
E02000021,Barking and Dagenham 020,1656
E02000022,Barking and Dagenham 021,549
E02000023,Barking and Dagenham 022,962
E02000024,Barnet 001,1262
E02000025,Barnet 002,828
E02000026,Barnet 003,953
E02000027,Barnet 004,1541
E02000028,Barnet 005,713
E02000029,Barnet 006,1151
E02000030,Barnet 007,991
E02000031,Barnet 008,884
E02000032,Barnet 009,1346
E02000033,Barnet 010,1447
E02000034,Barnet 011,863
E02000035,Barnet 012,768
E02000036,Barnet 013,1379
E02000037,Barnet 014,963
E02000038,Barnet 015,1212
E02000039,Barnet 016,664
E02000040,Barnet 017,969
E02000041,Barnet 018,1100
E02000042,Barnet 019,1037
E02000043,Barnet 020,888
E02000044,Barnet 021,1211
E02000045,Barnet 022,1227
E02000046,Barnet 023,606
E02000047,Barnet 024,1459
E02000048,Barnet 025,1107
E02000049,Barnet 026,1038
E02000050,Barnet 027,1118
E02000051,Barnet 028,577
E02000052,Barnet 029,1139
E02000054,Barnet 031,600
E02000055,Barnet 032,843
E02000056,Barnet 033,661
E02000057,Barnet 034,714
E02000058,Barnet 035,1156
E02000059,Barnet 036,1144
E02000060,Barnet 037,671
E02000061,Barnet 038,491
E02000062,Barnet 039,827
E02000063,Barnet 040,994
E02000064,Barnet 041,599
E02000065,Bexley 001,997
E02000066,Bexley 002,1140
E02000067,Bexley 003,1414
E02000068,Bexley 004,988
E02000069,Bexley 005,1128
E02000070,Bexley 006,1601
E02000071,Bexley 007,1523
E02000072,Bexley 008,1960
E02000073,Bexley 009,2164
E02000074,Bexley 010,1389
E02000075,Bexley 011,1551
E02000077,Bexley 013,1743
E02000078,Bexley 014,1364
E02000079,Bexley 015,1345
E02000080,Bexley 016,1768
E02000081,Bexley 017,1544
E02000082,Bexley 018,1948
E02000083,Bexley 019,2154
E02000084,Bexley 020,1857
E02000085,Bexley 021,1211
E02000086,Bexley 022,1267
E02000087,Bexley 023,1182
E02000088,Bexley 024,1433
E02000089,Bexley 025,1448
E02000090,Bexley 026,1081
E02000091,Bexley 027,1300
E02000092,Bexley 028,1118
E02000093,Brent 001,1621
E02000094,Brent 002,1311
E02000095,Brent 003,1320
E02000096,Brent 004,705
E02000097,Brent 005,1388
E02000098,Brent 006,1006
E02000099,Brent 007,1089
E02000100,Brent 008,945
E02000101,Brent 009,744
E02000102,Brent 010,1050
E02000103,Brent 011,953
E02000104,Brent 012,789
E02000105,Brent 013,856
E02000106,Brent 014,1040
E02000107,Brent 015,736
E02000108,Brent 016,840
E02000110,Brent 018,855
E02000111,Brent 019,983
E02000112,Brent 020,1284
E02000113,Brent 021,1096
E02000114,Brent 022,639
E02000115,Brent 023,545
E02000116,Brent 024,636
E02000117,Brent 025,1211
E02000118,Brent 026,1274
E02000119,Brent 027,964
E02000120,Brent 028,680
E02000121,Brent 029,1162
E02000122,Brent 030,673
E02000123,Brent 031,1160
E02000124,Brent 032,770
E02000125,Brent 033,1101
E02000126,Brent 034,580
E02000127,Bromley 001,1615
E02000128,Bromley 002,1302
E02000130,Bromley 004,1069
E02000131,Bromley 005,872
E02000132,Bromley 006,884
E02000133,Bromley 007,1084
E02000134,Bromley 008,1063
E02000135,Bromley 009,998
E02000136,Bromley 010,708
E02000137,Bromley 011,777
E02000138,Bromley 012,761
E02000139,Bromley 013,990
E02000140,Bromley 014,1455
E02000141,Bromley 015,1089
E02000142,Bromley 016,1023
E02000144,Bromley 018,1109
E02000145,Bromley 019,1446
E02000146,Bromley 020,1409
E02000147,Bromley 021,697
E02000148,Bromley 022,961
E02000149,Bromley 023,1456
E02000150,Bromley 024,1497
E02000151,Bromley 025,1280
E02000152,Bromley 026,1517
E02000153,Bromley 027,1483
E02000154,Bromley 028,1156
E02000155,Bromley 029,1494
E02000156,Bromley 030,1858
E02000157,Bromley 031,1434
E02000158,Bromley 032,1525
E02000159,Bromley 033,984
E02000160,Bromley 034,1137
E02000161,Bromley 035,1674
E02000162,Bromley 036,1092
E02000163,Bromley 037,1177
E02000165,Bromley 039,1322
E02000166,Camden 001,793
E02000167,Camden 002,712
E02000168,Camden 003,721
E02000169,Camden 004,892
E02000170,Camden 005,703
E02000171,Camden 006,677
E02000172,Camden 007,954
E02000173,Camden 008,746
E02000174,Camden 009,778
E02000175,Camden 010,753
E02000176,Camden 011,552
E02000177,Camden 012,854
E02000178,Camden 013,694
E02000179,Camden 014,642
E02000180,Camden 015,698
E02000181,Camden 016,857
E02000182,Camden 017,743
E02000183,Camden 018,721
E02000184,Camden 019,773
E02000185,Camden 020,718
E02000186,Camden 021,488
E02000187,Camden 022,766
E02000188,Camden 023,589
E02000191,Camden 026,257
E02000192,Camden 027,534
E02000193,Camden 028,444
E02000194,Croydon 001,881
E02000195,Croydon 002,1319
E02000196,Croydon 003,917
E02000197,Croydon 004,1183
E02000198,Croydon 005,1158
E02000199,Croydon 006,1606
E02000200,Croydon 007,929
E02000201,Croydon 008,893
E02000202,Croydon 009,1610
E02000203,Croydon 010,969
E02000204,Croydon 011,1509
E02000206,Croydon 013,1107
E02000207,Croydon 014,1357
E02000208,Croydon 015,1035
E02000209,Croydon 016,1420
E02000210,Croydon 017,1600
E02000211,Croydon 018,1624
E02000212,Croydon 019,1333
E02000213,Croydon 020,750
E02000214,Croydon 021,1085
E02000215,Croydon 022,1099
E02000216,Croydon 023,588
E02000217,Croydon 024,1107
E02000218,Croydon 025,1220
E02000219,Croydon 026,1203
E02000221,Croydon 028,1521
E02000222,Croydon 029,654
E02000223,Croydon 030,1609
E02000224,Croydon 031,871
E02000225,Croydon 032,1586
E02000226,Croydon 033,1241
E02000227,Croydon 034,2332
E02000228,Croydon 035,886
E02000229,Croydon 036,1080
E02000230,Croydon 037,1018
E02000231,Croydon 038,454
E02000232,Croydon 039,1160
E02000233,Croydon 040,1076
E02000234,Croydon 041,1166
E02000235,Croydon 042,977
E02000236,Croydon 043,1728
E02000237,Croydon 044,1435
E02000238,Ealing 001,1579
E02000239,Ealing 002,1669
E02000240,Ealing 003,1364
E02000241,Ealing 004,1131
E02000242,Ealing 005,1156
E02000243,Ealing 006,1299
E02000244,Ealing 007,1332
E02000245,Ealing 008,848
E02000246,Ealing 009,1335
E02000247,Ealing 010,1297
E02000248,Ealing 011,803
E02000249,Ealing 012,1115
E02000250,Ealing 013,729
E02000251,Ealing 014,1432
E02000252,Ealing 015,1033
E02000253,Ealing 016,1354
E02000254,Ealing 017,1397
E02000255,Ealing 018,842
E02000256,Ealing 019,491
E02000258,Ealing 021,700
E02000259,Ealing 022,797
E02000260,Ealing 023,1023
E02000261,Ealing 024,1110
E02000262,Ealing 025,611
E02000263,Ealing 026,1732
E02000264,Ealing 027,495
E02000265,Ealing 028,998
E02000266,Ealing 029,1407
E02000267,Ealing 030,981
E02000268,Ealing 031,982
E02000269,Ealing 032,831
E02000270,Ealing 033,693
E02000271,Ealing 034,744
E02000272,Ealing 035,874
E02000275,Ealing 038,674
E02000276,Ealing 039,709
E02000277,Enfield 001,1361
E02000278,Enfield 002,1597
E02000279,Enfield 003,1632
E02000280,Enfield 004,1298
E02000281,Enfield 005,1230
E02000282,Enfield 006,1418
E02000283,Enfield 007,1662
E02000284,Enfield 008,1293
E02000285,Enfield 009,1385
E02000286,Enfield 010,822
E02000287,Enfield 011,685
E02000288,Enfield 012,1722
E02000289,Enfield 013,1107
E02000290,Enfield 014,755
E02000291,Enfield 015,987
E02000292,Enfield 016,1825
E02000293,Enfield 017,657
E02000294,Enfield 018,1683
E02000295,Enfield 019,888
E02000296,Enfield 020,1073
E02000297,Enfield 021,1640
E02000298,Enfield 022,774
E02000299,Enfield 023,1517
E02000300,Enfield 024,1342
E02000301,Enfield 025,1352
E02000302,Enfield 026,1605
E02000303,Enfield 027,1231
E02000304,Enfield 028,834
E02000305,Enfield 029,750
E02000306,Enfield 030,853
E02000307,Enfield 031,1820
E02000308,Enfield 032,1230
E02000309,Enfield 033,1464
E02000311,Enfield 035,1670
E02000312,Enfield 036,1159
E02000313,Greenwich 001,917
E02000314,Greenwich 002,1250
E02000315,Greenwich 003,1508
E02000317,Greenwich 005,821
E02000318,Greenwich 006,1328
E02000319,Greenwich 007,1164
E02000320,Greenwich 008,1115
E02000321,Greenwich 009,822
E02000323,Greenwich 011,1326
E02000324,Greenwich 012,1130
E02000326,Greenwich 014,1163
E02000327,Greenwich 015,721
E02000328,Greenwich 016,559
E02000329,Greenwich 017,1321
E02000331,Greenwich 019,1220
E02000332,Greenwich 020,1423
E02000333,Greenwich 021,663
E02000334,Greenwich 022,1162
E02000335,Greenwich 023,1486
E02000337,Greenwich 025,1730
E02000339,Greenwich 027,787
E02000340,Greenwich 028,946
E02000341,Greenwich 029,1403
E02000342,Greenwich 030,920
E02000343,Greenwich 031,1213
E02000344,Greenwich 032,1214
E02000345,Hackney 001,461
E02000346,Hackney 002,908
E02000347,Hackney 003,477
E02000348,Hackney 004,591
E02000350,Hackney 006,688
E02000351,Hackney 007,806
E02000352,Hackney 008,543
E02000353,Hackney 009,832
E02000354,Hackney 010,879
E02000355,Hackney 011,867
E02000356,Hackney 012,667
E02000357,Hackney 013,926
E02000358,Hackney 014,1203
E02000359,Hackney 015,1027
E02000360,Hackney 016,1054
E02000361,Hackney 017,733
E02000362,Hackney 018,754
E02000363,Hackney 019,1139
E02000364,Hackney 020,1035
E02000366,Hackney 022,909
E02000367,Hackney 023,1045
E02000368,Hackney 024,1117
E02000369,Hackney 025,1149
E02000370,Hackney 026,830
E02000372,Hammersmith and Fulham 001,971
E02000373,Hammersmith and Fulham 002,799
E02000374,Hammersmith and Fulham 003,849
E02000375,Hammersmith and Fulham 004,534
E02000376,Hammersmith and Fulham 005,479
E02000377,Hammersmith and Fulham 006,589
E02000378,Hammersmith and Fulham 007,380
E02000379,Hammersmith and Fulham 008,542
E02000380,Hammersmith and Fulham 009,514
E02000381,Hammersmith and Fulham 010,494
E02000382,Hammersmith and Fulham 011,487
E02000383,Hammersmith and Fulham 012,766
E02000384,Hammersmith and Fulham 013,687
E02000385,Hammersmith and Fulham 014,483
E02000386,Hammersmith and Fulham 015,684
E02000387,Hammersmith and Fulham 016,617
E02000388,Hammersmith and Fulham 017,687
E02000389,Hammersmith and Fulham 018,832
E02000390,Hammersmith and Fulham 019,714
E02000391,Hammersmith and Fulham 020,644
E02000392,Hammersmith and Fulham 021,764
E02000393,Hammersmith and Fulham 022,497
E02000394,Hammersmith and Fulham 023,741
E02000395,Hammersmith and Fulham 024,559
E02000396,Hammersmith and Fulham 025,576
E02000397,Haringey 001,620
E02000398,Haringey 002,730
E02000400,Haringey 004,874
E02000401,Haringey 005,1109
E02000402,Haringey 006,895
E02000403,Haringey 007,691
E02000404,Haringey 008,930
E02000405,Haringey 009,513
E02000406,Haringey 010,866
E02000407,Haringey 011,640
E02000408,Haringey 012,924
E02000409,Haringey 013,626
E02000410,Haringey 014,331
E02000411,Haringey 015,1009
E02000412,Haringey 016,653
E02000413,Haringey 017,709
E02000414,Haringey 018,902
E02000415,Haringey 019,853
E02000416,Haringey 020,718
E02000417,Haringey 021,504
E02000418,Haringey 022,476
E02000419,Haringey 023,724
E02000420,Haringey 024,793
E02000421,Haringey 025,697
E02000422,Haringey 026,840
E02000423,Haringey 027,736
E02000424,Haringey 028,534
E02000425,Haringey 029,618
E02000426,Haringey 030,530
E02000427,Haringey 031,525
E02000428,Haringey 032,760
E02000429,Haringey 033,453
E02000430,Haringey 034,455
E02000431,Haringey 035,426
E02000432,Haringey 036,402
E02000433,Harrow 001,624
E02000434,Harrow 002,1099
E02000435,Harrow 003,994
E02000436,Harrow 004,639
E02000437,Harrow 005,1301
E02000438,Harrow 006,1022
E02000439,Harrow 007,1252
E02000440,Harrow 008,1440
E02000441,Harrow 009,834
E02000442,Harrow 010,1406
E02000443,Harrow 011,1561
E02000444,Harrow 012,1264
E02000445,Harrow 013,1414
E02000447,Harrow 015,1068
E02000448,Harrow 016,581
E02000449,Harrow 017,1255
E02000451,Harrow 019,1079
E02000452,Harrow 020,815
E02000453,Harrow 021,920
E02000454,Harrow 022,911
E02000455,Harrow 023,748
E02000456,Harrow 024,1116
E02000457,Harrow 025,1098
E02000459,Harrow 027,1032
E02000460,Harrow 028,943
E02000461,Harrow 029,546
E02000462,Harrow 030,1049
E02000463,Harrow 031,1482
E02000464,Havering 001,1378
E02000465,Havering 002,1855
E02000466,Havering 003,1692
E02000467,Havering 004,1936
E02000468,Havering 005,1988
E02000469,Havering 006,1303
E02000470,Havering 007,1757
E02000471,Havering 008,1701
E02000472,Havering 009,1972
E02000473,Havering 010,1950
E02000474,Havering 011,1673
E02000475,Havering 012,1096
E02000476,Havering 013,797
E02000477,Havering 014,1938
E02000478,Havering 015,495
E02000479,Havering 016,1440
E02000480,Havering 017,2012
E02000481,Havering 018,1742
E02000482,Havering 019,1074
E02000483,Havering 020,1255
E02000484,Havering 021,1670
E02000485,Havering 022,1579
E02000486,Havering 023,1567
E02000487,Havering 024,1387
E02000488,Havering 025,1675
E02000489,Havering 026,1909
E02000490,Havering 027,2061
E02000491,Havering 028,1881
E02000492,Havering 029,1468
E02000493,Havering 030,1282
E02000494,Hillingdon 001,635
E02000495,Hillingdon 002,1234
