Middle layer Super Output Areas Code,Middle layer Super Output Areas,3_or_more_cars
E02000001,City of London 001,43
E02000002,Barking and Dagenham 001,136
E02000003,Barking and Dagenham 002,214
E02000004,Barking and Dagenham 003,208
E02000005,Barking and Dagenham 004,170
E02000007,Barking and Dagenham 006,135
E02000008,Barking and Dagenham 007,209
E02000009,Barking and Dagenham 008,175
E02000010,Barking and Dagenham 009,138
E02000011,Barking and Dagenham 010,116
E02000012,Barking and Dagenham 011,275
E02000013,Barking and Dagenham 012,130
E02000014,Barking and Dagenham 013,143
E02000015,Barking and Dagenham 014,111
E02000016,Barking and Dagenham 015,31
E02000017,Barking and Dagenham 016,111
E02000018,Barking and Dagenham 017,114
E02000019,Barking and Dagenham 018,120
E02000020,Barking and Dagenham 019,138
E02000021,Barking and Dagenham 020,126
E02000022,Barking and Dagenham 021,40
E02000023,Barking and Dagenham 022,76
E02000024,Barnet 001,284
E02000025,Barnet 002,226
E02000026,Barnet 003,258
E02000027,Barnet 004,215
E02000028,Barnet 005,204
E02000029,Barnet 006,211
E02000030,Barnet 007,551
E02000031,Barnet 008,244
E02000032,Barnet 009,284
E02000033,Barnet 010,202
E02000034,Barnet 011,213
E02000035,Barnet 012,147
E02000036,Barnet 013,307
E02000037,Barnet 014,343
E02000038,Barnet 015,228
E02000039,Barnet 016,274
E02000040,Barnet 017,210
E02000041,Barnet 018,227
E02000042,Barnet 019,122
E02000043,Barnet 020,187
E02000044,Barnet 021,162
E02000045,Barnet 022,137
E02000046,Barnet 023,70
E02000047,Barnet 024,154
E02000048,Barnet 025,256
E02000049,Barnet 026,101
E02000050,Barnet 027,145
E02000051,Barnet 028,228
E02000052,Barnet 029,82
E02000054,Barnet 031,183
E02000055,Barnet 032,216
E02000056,Barnet 033,352
E02000057,Barnet 034,167
E02000058,Barnet 035,172
E02000059,Barnet 036,140
E02000060,Barnet 037,192
E02000061,Barnet 038,152
E02000062,Barnet 039,60
E02000063,Barnet 040,121
E02000064,Barnet 041,84
E02000065,Bexley 001,129
E02000066,Bexley 002,123
E02000067,Bexley 003,189
E02000068,Bexley 004,149
E02000069,Bexley 005,208
E02000070,Bexley 006,342
E02000071,Bexley 007,291
E02000072,Bexley 008,239
E02000073,Bexley 009,473
E02000074,Bexley 010,225
E02000075,Bexley 011,352
E02000077,Bexley 013,299
E02000078,Bexley 014,338
E02000079,Bexley 015,221
E02000080,Bexley 016,329
E02000081,Bexley 017,285
E02000082,Bexley 018,405
E02000083,Bexley 019,326
E02000084,Bexley 020,504
E02000085,Bexley 021,319
E02000086,Bexley 022,344
E02000087,Bexley 023,379
E02000088,Bexley 024,347
E02000089,Bexley 025,292
E02000090,Bexley 026,250
E02000091,Bexley 027,341
E02000092,Bexley 028,202
E02000093,Brent 001,296
E02000094,Brent 002,230
E02000095,Brent 003,238
E02000096,Brent 004,254
E02000097,Brent 005,266
E02000098,Brent 006,193
E02000099,Brent 007,178
E02000100,Brent 008,318
E02000101,Brent 009,175
E02000102,Brent 010,127
E02000103,Brent 011,128
E02000104,Brent 012,198
E02000105,Brent 013,183
E02000106,Brent 014,132
E02000107,Brent 015,93
E02000108,Brent 016,122
E02000110,Brent 018,83
E02000111,Brent 019,146
E02000112,Brent 020,128
E02000113,Brent 021,98
E02000114,Brent 022,74
E02000115,Brent 023,68
E02000116,Brent 024,37
E02000117,Brent 025,65
E02000118,Brent 026,136
E02000119,Brent 027,48
E02000120,Brent 028,26
E02000121,Brent 029,131
E02000122,Brent 030,129
E02000123,Brent 031,65
E02000124,Brent 032,68
E02000125,Brent 033,82
E02000126,Brent 034,19
E02000127,Bromley 001,180
E02000128,Bromley 002,231
E02000130,Bromley 004,102
E02000131,Bromley 005,78
E02000132,Bromley 006,105
E02000133,Bromley 007,513
E02000134,Bromley 008,185
E02000135,Bromley 009,74
E02000136,Bromley 010,288
E02000137,Bromley 011,225
E02000138,Bromley 012,210
E02000139,Bromley 013,131
E02000140,Bromley 014,261
E02000141,Bromley 015,140
E02000142,Bromley 016,276
E02000144,Bromley 018,178
E02000145,Bromley 019,230
E02000146,Bromley 020,201
E02000147,Bromley 021,424
E02000148,Bromley 022,259
E02000149,Bromley 023,271
E02000150,Bromley 024,313
E02000151,Bromley 025,267
E02000152,Bromley 026,226
E02000153,Bromley 027,356
E02000154,Bromley 028,289
E02000155,Bromley 029,251
E02000156,Bromley 030,530
E02000157,Bromley 031,356
E02000158,Bromley 032,259
E02000159,Bromley 033,510
E02000160,Bromley 034,404
E02000161,Bromley 035,322
E02000162,Bromley 036,301
E02000163,Bromley 037,395
E02000165,Bromley 039,499
E02000166,Camden 001,76
E02000167,Camden 002,89
E02000168,Camden 003,34
E02000169,Camden 004,117
E02000170,Camden 005,58
E02000171,Camden 006,27
E02000172,Camden 007,24
E02000173,Camden 008,63
E02000174,Camden 009,24
E02000175,Camden 010,26
E02000176,Camden 011,24
E02000177,Camden 012,23
E02000178,Camden 013,26
E02000179,Camden 014,36
E02000180,Camden 015,21
E02000181,Camden 016,25
E02000182,Camden 017,48
E02000183,Camden 018,38
E02000184,Camden 019,21
E02000185,Camden 020,22
E02000186,Camden 021,29
E02000187,Camden 022,12
E02000188,Camden 023,15
E02000191,Camden 026,9
E02000192,Camden 027,12
E02000193,Camden 028,15
E02000194,Croydon 001,124
E02000195,Croydon 002,301
E02000196,Croydon 003,181
E02000197,Croydon 004,149
E02000198,Croydon 005,121
E02000199,Croydon 006,121
E02000200,Croydon 007,111
E02000201,Croydon 008,80
E02000202,Croydon 009,127
