Middle layer Super Output Areas Code,Middle layer Super Output Areas,4_or_more_bedrooms
E02000001,City of London 001,189
E02000002,Barking and Dagenham 001,262
E02000003,Barking and Dagenham 002,597
E02000004,Barking and Dagenham 003,361
E02000005,Barking and Dagenham 004,357
E02000007,Barking and Dagenham 006,233
E02000008,Barking and Dagenham 007,288
E02000009,Barking and Dagenham 008,443
E02000010,Barking and Dagenham 009,198
E02000011,Barking and Dagenham 010,358
E02000012,Barking and Dagenham 011,1046
E02000013,Barking and Dagenham 012,217
E02000014,Barking and Dagenham 013,203
E02000015,Barking and Dagenham 014,220
E02000016,Barking and Dagenham 015,268
E02000017,Barking and Dagenham 016,675
E02000018,Barking and Dagenham 017,239
E02000019,Barking and Dagenham 018,259
E02000020,Barking and Dagenham 019,508
E02000021,Barking and Dagenham 020,193
E02000022,Barking and Dagenham 021,78
E02000023,Barking and Dagenham 022,257
E02000024,Barnet 001,1389
E02000025,Barnet 002,830
E02000026,Barnet 003,758
E02000027,Barnet 004,650
E02000028,Barnet 005,771
E02000029,Barnet 006,754
E02000030,Barnet 007,1600
E02000031,Barnet 008,1146
E02000032,Barnet 009,1143
E02000033,Barnet 010,617
E02000034,Barnet 011,942
E02000035,Barnet 012,761
E02000036,Barnet 013,1052
E02000037,Barnet 014,1582
E02000038,Barnet 015,999
E02000039,Barnet 016,1089
E02000040,Barnet 017,878
E02000041,Barnet 018,901
E02000042,Barnet 019,887
E02000043,Barnet 020,1220
E02000044,Barnet 021,491
E02000045,Barnet 022,629
E02000046,Barnet 023,738
E02000047,Barnet 024,425
E02000048,Barnet 025,1207
E02000049,Barnet 026,339
E02000050,Barnet 027,971
E02000051,Barnet 028,1137
E02000052,Barnet 029,819
E02000054,Barnet 031,786
E02000055,Barnet 032,1154
E02000056,Barnet 033,1680
E02000057,Barnet 034,889
E02000058,Barnet 035,1313
E02000059,Barnet 036,596
E02000060,Barnet 037,1527
E02000061,Barnet 038,1167
E02000062,Barnet 039,343
E02000063,Barnet 040,649
E02000064,Barnet 041,460
E02000065,Bexley 001,491
E02000066,Bexley 002,652
E02000067,Bexley 003,346
E02000068,Bexley 004,258
E02000069,Bexley 005,527
E02000070,Bexley 006,615
E02000071,Bexley 007,528
E02000072,Bexley 008,500
E02000073,Bexley 009,1068
E02000074,Bexley 010,315
E02000075,Bexley 011,849
E02000077,Bexley 013,599
E02000078,Bexley 014,766
E02000079,Bexley 015,767
E02000080,Bexley 016,864
E02000081,Bexley 017,679
E02000082,Bexley 018,923
E02000083,Bexley 019,569
E02000084,Bexley 020,1312
E02000085,Bexley 021,728
E02000086,Bexley 022,829
E02000087,Bexley 023,1168
E02000088,Bexley 024,878
E02000089,Bexley 025,977
E02000090,Bexley 026,783
E02000091,Bexley 027,1079
E02000092,Bexley 028,368
E02000093,Brent 001,996
E02000094,Brent 002,744
E02000095,Brent 003,920
E02000096,Brent 004,1204
E02000097,Brent 005,766
E02000098,Brent 006,837
E02000099,Brent 007,701
E02000100,Brent 008,1132
E02000101,Brent 009,716
E02000102,Brent 010,493
E02000103,Brent 011,690
E02000104,Brent 012,673
E02000105,Brent 013,700
E02000106,Brent 014,786
E02000107,Brent 015,934
E02000108,Brent 016,487
E02000110,Brent 018,846
E02000111,Brent 019,613
E02000112,Brent 020,696
E02000113,Brent 021,419
E02000114,Brent 022,602
E02000115,Brent 023,415
E02000116,Brent 024,381
E02000117,Brent 025,547
E02000118,Brent 026,579
E02000119,Brent 027,385
E02000120,Brent 028,518
E02000121,Brent 029,586
E02000122,Brent 030,1056
E02000123,Brent 031,682
E02000124,Brent 032,911
E02000125,Brent 033,971
E02000126,Brent 034,227
E02000127,Bromley 001,418
E02000128,Bromley 002,722
E02000130,Bromley 004,792
E02000131,Bromley 005,330
E02000132,Bromley 006,577
E02000133,Bromley 007,2162
E02000134,Bromley 008,875
E02000135,Bromley 009,280
E02000136,Bromley 010,720
E02000137,Bromley 011,1017
E02000138,Bromley 012,1050
E02000139,Bromley 013,750
E02000140,Bromley 014,399
E02000141,Bromley 015,478
E02000142,Bromley 016,1209
E02000144,Bromley 018,1023
E02000145,Bromley 019,277
E02000146,Bromley 020,746
E02000147,Bromley 021,1631
E02000148,Bromley 022,1106
E02000149,Bromley 023,476
E02000150,Bromley 024,1082
E02000151,Bromley 025,1218
E02000152,Bromley 026,546
E02000153,Bromley 027,1119
E02000154,Bromley 028,1144
E02000155,Bromley 029,518
E02000156,Bromley 030,1893
E02000157,Bromley 031,1222
E02000158,Bromley 032,815
E02000159,Bromley 033,1270
E02000160,Bromley 034,1108
E02000161,Bromley 035,1061
E02000162,Bromley 036,836
E02000163,Bromley 037,1267
E02000165,Bromley 039,910
E02000166,Camden 001,786
E02000167,Camden 002,765
E02000168,Camden 003,616
E02000169,Camden 004,662
E02000170,Camden 005,813
E02000171,Camden 006,586
E02000172,Camden 007,377
E02000173,Camden 008,466
E02000174,Camden 009,435
E02000175,Camden 010,497
E02000176,Camden 011,271
E02000177,Camden 012,340
E02000178,Camden 013,316
E02000179,Camden 014,284
E02000180,Camden 015,388
E02000181,Camden 016,307
E02000182,Camden 017,420
E02000183,Camden 018,509
E02000184,Camden 019,317
E02000185,Camden 020,285
E02000186,Camden 021,342
E02000187,Camden 022,285
E02000188,Camden 023,283
E02000191,Camden 026,123
E02000192,Camden 027,175
E02000193,Camden 028,201
E02000194,Croydon 001,515
E02000195,Croydon 002,1131
E02000196,Croydon 003,963
E02000197,Croydon 004,745
E02000198,Croydon 005,383
E02000199,Croydon 006,480
E02000200,Croydon 007,494
E02000201,Croydon 008,308
E02000202,Croydon 009,566
E02000203,Croydon 010,388
E02000204,Croydon 011,703
E02000206,Croydon 013,368
E02000207,Croydon 014,416
E02000208,Croydon 015,397
E02000209,Croydon 016,347
E02000210,Croydon 017,384
E02000211,Croydon 018,847
E02000212,Croydon 019,293
E02000213,Croydon 020,405
E02000214,Croydon 021,786
E02000215,Croydon 022,491
E02000216,Croydon 023,773
E02000217,Croydon 024,414
E02000218,Croydon 025,415
E02000219,Croydon 026,1160
E02000221,Croydon 028,563
E02000222,Croydon 029,778
E02000223,Croydon 030,151
E02000224,Croydon 031,647
E02000225,Croydon 032,287
E02000226,Croydon 033,1294
E02000227,Croydon 034,710
E02000228,Croydon 035,1588
E02000229,Croydon 036,187
E02000230,Croydon 037,1408
E02000231,Croydon 038,1805
E02000232,Croydon 039,773
E02000233,Croydon 040,574
E02000234,Croydon 041,1157
E02000235,Croydon 042,1008
E02000236,Croydon 043,1132
E02000237,Croydon 044,845
E02000238,Ealing 001,554
E02000239,Ealing 002,757
E02000240,Ealing 003,410
E02000241,Ealing 004,371
