MSOA21CD,MSOA21NM,LAD22CD,LAD22NM,RGN22CD,RGN22NM
E02003237,Peterborough 001,E06000031,Peterborough,E12000006,East of England
E02003238,Peterborough 002,E06000031,Peterborough,E12000006,East of England
E02003239,Peterborough 003,E06000031,Peterborough,E12000006,East of England
E02003240,Peterborough 004,E06000031,Peterborough,E12000006,East of England
E02003241,Peterborough 005,E06000031,Peterborough,E12000006,East of England
E02003242,Peterborough 006,E06000031,Peterborough,E12000006,East of England
E02003243,Peterborough 007,E06000031,Peterborough,E12000006,East of England
E02003244,Peterborough 008,E06000031,Peterborough,E12000006,East of England
E02003245,Peterborough 009,E06000031,Peterborough,E12000006,East of England
E02003246,Peterborough 010,E06000031,Peterborough,E12000006,East of England
E02003298,Thurrock 003,E06000034,Thurrock,E12000006,East of England
E02003299,Thurrock 004,E06000034,Thurrock,E12000006,East of England
E02003247,Peterborough 011,E06000031,Peterborough,E12000006,East of England
E02003300,Thurrock 005,E06000034,Thurrock,E12000006,East of England
E02003248,Peterborough 012,E06000031,Peterborough,E12000006,East of England
E02003301,Thurrock 006,E06000034,Thurrock,E12000006,East of England
E02003249,Peterborough 013,E06000031,Peterborough,E12000006,East of England
E02003302,Thurrock 007,E06000034,Thurrock,E12000006,East of England
E02003250,Peterborough 014,E06000031,Peterborough,E12000006,East of England
E02003251,Peterborough 015,E06000031,Peterborough,E12000006,East of England
E02003303,Thurrock 008,E06000034,Thurrock,E12000006,East of England
E02003252,Peterborough 016,E06000031,Peterborough,E12000006,East of England
E02003253,Peterborough 017,E06000031,Peterborough,E12000006,East of England
E02003254,Peterborough 018,E06000031,Peterborough,E12000006,East of England
E02003255,Peterborough 019,E06000031,Peterborough,E12000006,East of England
E02003257,Peterborough 021,E06000031,Peterborough,E12000006,East of England
E02003258,Luton 001,E06000032,Luton,E12000006,East of England
E02003259,Luton 002,E06000032,Luton,E12000006,East of England
E02003260,Luton 003,E06000032,Luton,E12000006,East of England
E02003261,Luton 004,E06000032,Luton,E12000006,East of England
E02003262,Luton 005,E06000032,Luton,E12000006,East of England
E02003263,Luton 006,E06000032,Luton,E12000006,East of England
E02003264,Luton 007,E06000032,Luton,E12000006,East of England
E02003265,Luton 008,E06000032,Luton,E12000006,East of England
E02003266,Luton 009,E06000032,Luton,E12000006,East of England
E02003267,Luton 010,E06000032,Luton,E12000006,East of England
E02003268,Luton 011,E06000032,Luton,E12000006,East of England
E02003269,Luton 012,E06000032,Luton,E12000006,East of England
E02003270,Luton 013,E06000032,Luton,E12000006,East of England
E02003271,Luton 014,E06000032,Luton,E12000006,East of England
E02003272,Luton 015,E06000032,Luton,E12000006,East of England
E02003273,Luton 016,E06000032,Luton,E12000006,East of England
E02003274,Luton 017,E06000032,Luton,E12000006,East of England
E02003276,Luton 019,E06000032,Luton,E12000006,East of England
E02003277,Luton 020,E06000032,Luton,E12000006,East of England
E02003278,Luton 021,E06000032,Luton,E12000006,East of England
E02003279,Southend-on-Sea 001,E06000033,Southend-on-Sea,E12000006,East of England
E02003280,Southend-on-Sea 002,E06000033,Southend-on-Sea,E12000006,East of England
E02003281,Southend-on-Sea 003,E06000033,Southend-on-Sea,E12000006,East of England
E02003282,Southend-on-Sea 004,E06000033,Southend-on-Sea,E12000006,East of England
E02003283,Southend-on-Sea 005,E06000033,Southend-on-Sea,E12000006,East of England
E02003284,Southend-on-Sea 006,E06000033,Southend-on-Sea,E12000006,East of England
E02003285,Southend-on-Sea 007,E06000033,Southend-on-Sea,E12000006,East of England
E02003286,Southend-on-Sea 008,E06000033,Southend-on-Sea,E12000006,East of England
E02003287,Southend-on-Sea 009,E06000033,Southend-on-Sea,E12000006,East of England
E02003288,Southend-on-Sea 010,E06000033,Southend-on-Sea,E12000006,East of England
E02003289,Southend-on-Sea 011,E06000033,Southend-on-Sea,E12000006,East of England
E02003290,Southend-on-Sea 012,E06000033,Southend-on-Sea,E12000006,East of England
E02003291,Southend-on-Sea 013,E06000033,Southend-on-Sea,E12000006,East of England
E02003292,Southend-on-Sea 014,E06000033,Southend-on-Sea,E12000006,East of England
E02003293,Southend-on-Sea 015,E06000033,Southend-on-Sea,E12000006,East of England
E02003294,Southend-on-Sea 016,E06000033,Southend-on-Sea,E12000006,East of England
E02003304,Thurrock 009,E06000034,Thurrock,E12000006,East of England
E02003295,Southend-on-Sea 017,E06000033,Southend-on-Sea,E12000006,East of England
E02003296,Thurrock 001,E06000034,Thurrock,E12000006,East of England
E02003297,Thurrock 002,E06000034,Thurrock,E12000006,East of England
E02003305,Thurrock 010,E06000034,Thurrock,E12000006,East of England
E02003307,Thurrock 012,E06000034,Thurrock,E12000006,East of England
E02003308,Thurrock 013,E06000034,Thurrock,E12000006,East of England
E02003309,Thurrock 014,E06000034,Thurrock,E12000006,East of England
E02003311,Thurrock 016,E06000034,Thurrock,E12000006,East of England
E02003312,Thurrock 017,E06000034,Thurrock,E12000006,East of England
E02003313,Thurrock 018,E06000034,Thurrock,E12000006,East of England
E02003607,Central Bedfordshire 009,E06000056,Central Bedfordshire,E12000006,East of England
E02003608,Central Bedfordshire 010,E06000056,Central Bedfordshire,E12000006,East of England
E02003609,Central Bedfordshire 011,E06000056,Central Bedfordshire,E12000006,East of England
E02003610,Central Bedfordshire 012,E06000056,Central Bedfordshire,E12000006,East of England
E02003611,Central Bedfordshire 013,E06000056,Central Bedfordshire,E12000006,East of England
E02003612,Central Bedfordshire 014,E06000056,Central Bedfordshire,E12000006,East of England
E02003613,Central Bedfordshire 015,E06000056,Central Bedfordshire,E12000006,East of England
E02003614,Central Bedfordshire 016,E06000056,Central Bedfordshire,E12000006,East of England
E02003615,Central Bedfordshire 017,E06000056,Central Bedfordshire,E12000006,East of England
E02003719,Cambridge 001,E07000008,Cambridge,E12000006,East of England
E02003616,Bedford 001,E06000055,Bedford,E12000006,East of England
E02003720,Cambridge 002,E07000008,Cambridge,E12000006,East of England
E02003617,Bedford 002,E06000055,Bedford,E12000006,East of England
E02003618,Bedford 003,E06000055,Bedford,E12000006,East of England
E02003619,Bedford 004,E06000055,Bedford,E12000006,East of England
E02003620,Bedford 005,E06000055,Bedford,E12000006,East of England
E02003721,Cambridge 003,E07000008,Cambridge,E12000006,East of England
E02003621,Bedford 006,E06000055,Bedford,E12000006,East of England
E02003722,Cambridge 004,E07000008,Cambridge,E12000006,East of England
E02003622,Bedford 007,E06000055,Bedford,E12000006,East of England
E02003723,Cambridge 005,E07000008,Cambridge,E12000006,East of England
E02003623,Bedford 008,E06000055,Bedford,E12000006,East of England
E02003724,Cambridge 006,E07000008,Cambridge,E12000006,East of England
E02003624,Bedford 009,E06000055,Bedford,E12000006,East of England
E02003725,Cambridge 007,E07000008,Cambridge,E12000006,East of England
E02003625,Bedford 010,E06000055,Bedford,E12000006,East of England
E02003726,Cambridge 008,E07000008,Cambridge,E12000006,East of England
E02003727,Cambridge 009,E07000008,Cambridge,E12000006,East of England
E02003728,Cambridge 010,E07000008,Cambridge,E12000006,East of England
E02003729,Cambridge 011,E07000008,Cambridge,E12000006,East of England
E02003731,Cambridge 013,E07000008,Cambridge,E12000006,East of England
E02003732,East Cambridgeshire 001,E07000009,East Cambridgeshire,E12000006,East of England
E02003733,East Cambridgeshire 002,E07000009,East Cambridgeshire,E12000006,East of England
E02003734,East Cambridgeshire 003,E07000009,East Cambridgeshire,E12000006,East of England
E02003735,East Cambridgeshire 004,E07000009,East Cambridgeshire,E12000006,East of England
E02003736,East Cambridgeshire 005,E07000009,East Cambridgeshire,E12000006,East of England
E02003626,Bedford 011,E06000055,Bedford,E12000006,East of England
E02003627,Bedford 012,E06000055,Bedford,E12000006,East of England
