Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_not_deprived ,2_one_dimension,3_two_dimensions,4_three_dimensions,5_four_dimensions,total,% deprived
E02000001,City of London 001,2937,1547,347,75,8,4914,40.23199023
E02000002,Barking and Dagenham 001,954,1085,613,194,24,2870,66.75958188
E02000003,Barking and Dagenham 002,1649,1467,667,145,2,3930,58.04071247
E02000004,Barking and Dagenham 003,1014,829,365,98,3,2309,56.08488523
E02000005,Barking and Dagenham 004,1544,1252,620,201,13,3630,57.46556474
E02000007,Barking and Dagenham 006,1335,1320,739,265,16,3675,63.67346939
E02000008,Barking and Dagenham 007,1546,1729,1017,306,26,4624,66.56574394
E02000009,Barking and Dagenham 008,1578,1600,811,252,13,4254,62.90550071
E02000010,Barking and Dagenham 009,1219,1241,634,211,22,3327,63.36038473
E02000011,Barking and Dagenham 010,904,912,433,90,13,2352,61.56462585
E02000012,Barking and Dagenham 011,1394,1145,605,134,9,3287,57.59050806
E02000013,Barking and Dagenham 012,1103,1216,695,225,15,3254,66.10325753
E02000014,Barking and Dagenham 013,1177,1262,692,245,12,3388,65.25974026
E02000015,Barking and Dagenham 014,1041,1145,632,202,13,3033,65.67754698
E02000016,Barking and Dagenham 015,1433,1449,694,214,21,3811,62.39832065
E02000017,Barking and Dagenham 016,1018,1086,473,180,8,2765,63.18264014
E02000018,Barking and Dagenham 017,1086,1234,673,231,10,3234,66.41929499
E02000019,Barking and Dagenham 018,1202,1178,633,187,4,3204,62.48439451
E02000020,Barking and Dagenham 019,1946,1710,792,217,7,4672,58.34760274
E02000021,Barking and Dagenham 020,1098,1155,530,138,8,2929,62.512803
E02000022,Barking and Dagenham 021,1146,1020,463,153,12,2794,58.98353615
E02000023,Barking and Dagenham 022,961,983,520,175,23,2662,63.89932382
E02000024,Barnet 001,2505,1458,430,80,4,4477,44.04735314
E02000025,Barnet 002,1800,1231,538,156,22,3747,51.96156926
E02000026,Barnet 003,1392,744,316,51,7,2510,44.54183267
E02000027,Barnet 004,1712,1176,601,183,13,3685,53.54138399
E02000028,Barnet 005,1477,841,309,57,8,2692,45.13372957
E02000029,Barnet 006,1852,1186,502,154,13,3707,50.04046399
E02000030,Barnet 007,2006,1037,379,90,7,3519,42.99516908
E02000031,Barnet 008,1960,972,322,69,4,3327,41.08806733
E02000032,Barnet 009,1499,928,272,44,1,2744,45.37172012
E02000033,Barnet 010,1744,1126,498,117,7,3492,50.05727377
E02000034,Barnet 011,1863,1184,417,115,9,3588,48.07692308
E02000035,Barnet 012,1859,1126,415,114,15,3529,47.32218759
E02000036,Barnet 013,1900,1364,525,148,7,3944,51.82555781
E02000037,Barnet 014,1970,1186,474,81,6,3717,47.00026903
E02000038,Barnet 015,2078,1279,521,117,10,4005,48.11485643
E02000039,Barnet 016,1500,856,235,79,6,2676,43.94618834
E02000040,Barnet 017,1944,1011,443,106,7,3511,44.63115921
E02000041,Barnet 018,1510,1160,522,113,21,3326,54.60012026
E02000042,Barnet 019,2146,1619,697,209,46,4717,54.50498198
E02000043,Barnet 020,1674,754,200,35,4,2667,37.23284589
E02000044,Barnet 021,1222,1123,540,170,15,3070,60.19543974
E02000045,Barnet 022,1952,1381,661,192,15,4201,53.53487265
E02000046,Barnet 023,1513,960,319,77,10,2879,47.44703022
E02000047,Barnet 024,1418,1685,828,266,13,4210,66.31828979
E02000048,Barnet 025,2186,1215,441,95,12,3949,44.64421372
E02000049,Barnet 026,1445,1341,713,271,32,3802,61.99368753
E02000050,Barnet 027,1861,1371,613,179,10,4034,53.8671294
E02000051,Barnet 028,1931,1229,473,132,28,3793,49.09042974
E02000052,Barnet 029,2200,1409,457,117,8,4191,47.50656168
E02000054,Barnet 031,1400,986,457,108,20,2971,52.87781892
E02000055,Barnet 032,1893,1713,692,189,21,4508,58.0079858
E02000056,Barnet 033,2212,936,252,36,6,3442,35.73503777
E02000057,Barnet 034,1298,885,384,111,28,2706,52.03252033
E02000058,Barnet 035,2216,1287,454,125,16,4098,45.92484139
E02000059,Barnet 036,1855,1608,747,207,20,4437,58.19247239
E02000060,Barnet 037,1694,1246,545,165,45,3695,54.15426252
E02000061,Barnet 038,1891,1154,376,110,43,3574,47.09009513
E02000062,Barnet 039,939,972,496,189,20,2616,64.10550459
E02000063,Barnet 040,1237,1010,423,134,29,2833,56.33603953
E02000064,Barnet 041,1323,908,393,121,17,2762,52.09992759
E02000065,Bexley 001,1143,1039,452,132,9,2775,58.81081081
E02000066,Bexley 002,1301,1338,661,228,20,3548,63.33145434
E02000067,Bexley 003,1793,1388,617,167,18,3983,54.98368064
E02000068,Bexley 004,1331,1095,606,149,15,3196,58.35419274
E02000069,Bexley 005,1298,1043,365,96,8,2810,53.80782918
E02000070,Bexley 006,1433,1114,489,97,7,3140,54.36305732
E02000071,Bexley 007,1288,1044,415,82,5,2834,54.55187015
E02000072,Bexley 008,1957,1550,858,299,21,4685,58.22838847
E02000073,Bexley 009,2122,1327,428,74,6,3957,46.37351529
E02000074,Bexley 010,1373,1258,671,186,15,3503,60.80502426
E02000075,Bexley 011,1597,1114,382,52,4,3149,49.28548746
E02000077,Bexley 013,1421,981,435,96,3,2936,51.60081744
E02000078,Bexley 014,1607,992,357,58,5,3019,46.77045379
E02000079,Bexley 015,1858,1211,433,79,7,3588,48.21627648
E02000080,Bexley 016,1890,1334,504,84,3,3815,50.4587156
E02000081,Bexley 017,1589,1121,461,105,3,3279,51.54010369
E02000082,Bexley 018,1920,1087,379,54,3,3443,44.23467906
E02000083,Bexley 019,2166,1462,654,148,14,4444,51.26012601
E02000084,Bexley 020,2297,1390,445,64,3,4199,45.29649917
E02000085,Bexley 021,1553,1064,386,69,1,3073,49.46306541
E02000086,Bexley 022,1542,905,289,50,2,2788,44.69153515
E02000087,Bexley 023,1842,1091,335,48,2,3318,44.48462929
E02000088,Bexley 024,1644,938,342,52,4,2980,44.83221477
E02000089,Bexley 025,1598,973,276,53,4,2904,44.97245179
E02000090,Bexley 026,2229,1385,475,99,6,4194,46.85264664
E02000091,Bexley 027,2165,1521,631,126,7,4450,51.34831461
E02000092,Bexley 028,1122,935,477,170,10,2714,58.65880619
E02000093,Brent 001,1696,1398,541,101,4,3740,54.65240642
E02000094,Brent 002,1561,1220,546,138,2,3467,54.97548313
E02000095,Brent 003,1338,1220,505,119,3,3185,57.99058085
E02000096,Brent 004,1262,899,298,38,2,2499,49.49979992
E02000097,Brent 005,1242,1134,527,132,3,3038,59.11784068
E02000098,Brent 006,1178,1104,445,139,9,2875,59.02608696
E02000099,Brent 007,1243,1068,467,138,3,2919,57.4169236
E02000100,Brent 008,1299,898,319,51,0,2567,49.39618231
E02000101,Brent 009,1278,1250,669,177,12,3386,62.25634968
E02000102,Brent 010,775,1079,609,199,24,2686,71.14668652
E02000103,Brent 011,1276,1323,626,214,23,3462,63.14269209
E02000104,Brent 012,969,864,415,145,23,2416,59.89238411
E02000105,Brent 013,1165,1241,552,140,9,3107,62.50402317
E02000106,Brent 014,1153,1385,800,227,20,3585,67.83821478
E02000107,Brent 015,1698,1558,798,272,36,4362,61.07290234
E02000108,Brent 016,919,869,387,92,8,2275,59.6043956
E02000110,Brent 018,1324,1077,540,143,11,3095,57.22132472
E02000111,Brent 019,1069,1264,674,165,17,3189,66.47851991
E02000112,Brent 020,1256,1389,715,130,5,3495,64.06294707
E02000113,Brent 021,813,1277,820,345,34,3289,75.2812405
E02000114,Brent 022,1518,1289,644,235,21,3707,59.0504451
E02000115,Brent 023,1710,1261,658,199,51,3879,55.91647332
E02000116,Brent 024,1059,1200,710,249,19,3237,67.28452271
E02000117,Brent 025,1423,1764,1088,428,54,4757,70.08618877
E02000118,Brent 026,1058,1249,662,173,15,3157,66.48717137
E02000119,Brent 027,1405,1476,778,277,16,3952,64.44838057
E02000120,Brent 028,1993,1390,613,220,24,4240,52.99528302
E02000121,Brent 029,1287,1488,659,176,17,3627,64.51612903
E02000122,Brent 030,1603,993,410,144,10,3160,49.2721519
E02000123,Brent 031,1783,2139,1185,371,61,5539,67.81007402
E02000124,Brent 032,2247,1266,494,141,14,4162,46.01153292
E02000125,Brent 033,1909,1269,551,199,14,3942,51.57280568
E02000126,Brent 034,1288,1257,617,229,17,3408,62.20657277
E02000127,Bromley 001,1628,1257,669,221,9,3784,56.97674419
E02000128,Bromley 002,1717,925,362,57,2,3063,43.9438459
E02000130,Bromley 004,2010,1120,417,110,9,3666,45.17184943
E02000131,Bromley 005,2761,1508,583,199,17,5068,45.52091555
E02000132,Bromley 006,2833,1508,484,109,8,4942,42.67503035
E02000133,Bromley 007,2841,1164,274,46,4,4329,34.37283437
E02000134,Bromley 008,2904,1611,615,159,11,5300,45.20754717
E02000135,Bromley 009,1808,1513,768,331,23,4443,59.3067747
E02000136,Bromley 010,1098,743,357,83,13,2294,52.13600697
E02000137,Bromley 011,2246,1076,291,59,2,3674,38.86771911
E02000138,Bromley 012,2501,1252,341,43,2,4139,39.57477652
E02000139,Bromley 013,1947,925,344,85,7,3308,41.1426844
E02000140,Bromley 014,1253,1115,708,246,17,3339,62.47379455
E02000141,Bromley 015,1646,983,378,77,9,3093,46.78305852
E02000142,Bromley 016,2087,1027,297,40,1,3452,39.54229432
E02000144,Bromley 018,2643,1257,349,59,1,4309,38.66326294
E02000145,Bromley 019,1425,1221,610,245,13,3514,59.4479226
E02000146,Bromley 020,2346,1168,391,124,8,4037,41.88754025
E02000147,Bromley 021,1997,902,226,38,4,3167,36.94347963
E02000148,Bromley 022,1565,841,236,54,3,2699,42.01556132
E02000149,Bromley 023,1598,1053,490,130,13,3284,51.33982948
E02000150,Bromley 024,1806,958,298,49,3,3114,42.00385356
E02000151,Bromley 025,1821,907,210,32,0,2970,38.68686869
E02000152,Bromley 026,1530,930,502,128,6,3096,50.58139535
E02000153,Bromley 027,1781,848,238,24,4,2895,38.48013817
E02000154,Bromley 028,1999,1127,366,76,6,3574,44.06827084
E02000155,Bromley 029,1425,1067,455,87,6,3040,53.125
E02000156,Bromley 030,2723,1577,490,65,7,4862,43.99424105
E02000157,Bromley 031,1911,1068,284,14,2,3279,41.7200366
E02000158,Bromley 032,1499,1023,420,91,3,3036,50.62582345
E02000159,Bromley 033,1643,877,262,39,1,2822,41.77888023
E02000160,Bromley 034,1714,979,314,36,1,3044,43.69250986
E02000161,Bromley 035,1980,1033,295,36,1,3345,40.80717489
E02000162,Bromley 036,1461,1019,384,94,5,2963,50.69186635
E02000163,Bromley 037,1731,983,310,43,1,3068,43.57887875
E02000165,Bromley 039,1504,907,291,38,1,2741,45.12951478
E02000166,Camden 001,1669,1069,476,164,17,3395,50.83946981
E02000167,Camden 002,2167,940,201,58,7,3373,35.7545212
E02000168,Camden 003,1859,1035,439,150,11,3494,46.79450487
E02000169,Camden 004,1946,804,209,58,9,3026,35.69068077
E02000170,Camden 005,1886,1032,386,132,29,3465,45.56998557
E02000171,Camden 006,1766,1045,389,122,8,3330,46.96696697
E02000172,Camden 007,1491,1285,833,381,45,4035,63.04832714
E02000173,Camden 008,1977,1114,304,85,21,3501,43.53041988
E02000174,Camden 009,1565,1121,580,260,25,3551,55.92790763
E02000175,Camden 010,2293,1265,528,198,24,4308,46.77344475
E02000176,Camden 011,1748,899,258,80,15,3000,41.73333333
E02000177,Camden 012,1529,1208,642,257,18,3654,58.15544609
E02000178,Camden 013,1792,1314,700,312,48,4166,56.98511762
E02000179,Camden 014,1290,806,306,131,14,2547,49.35217903
E02000180,Camden 015,1616,1139,552,190,20,3517,54.05174865
E02000181,Camden 016,2216,1063,357,104,11,3751,40.92242069
E02000182,Camden 017,1630,959,391,93,9,3082,47.11226476
E02000183,Camden 018,1868,1077,479,176,16,3616,48.34070796
E02000184,Camden 019,1480,1181,661,278,34,3634,59.27352779
E02000185,Camden 020,1366,1465,854,319,66,4070,66.43734644
E02000186,Camden 021,1380,945,473,128,15,2941,53.07718463
E02000187,Camden 022,1228,1390,818,337,44,3817,67.82813728
E02000188,Camden 023,892,978,590,235,24,2719,67.19382126
E02000191,Camden 026,1029,730,268,66,13,2106,51.13960114
E02000192,Camden 027,1315,997,565,191,24,3092,57.47089263
E02000193,Camden 028,1398,1132,439,120,12,3101,54.91776846
E02000194,Croydon 001,2212,1324,511,139,17,4203,47.37092553
E02000195,Croydon 002,1805,1148,446,79,12,3490,48.28080229
E02000196,Croydon 003,1179,1043,468,111,13,2814,58.10234542
E02000197,Croydon 004,1562,1175,473,99,13,3322,52.98013245
E02000198,Croydon 005,1451,1242,612,180,17,3502,58.56653341
E02000199,Croydon 006,1591,1088,415,107,7,3208,50.40523691
E02000200,Croydon 007,1904,1422,513,149,12,4000,52.4
E02000201,Croydon 008,1562,1341,670,210,38,3821,59.12064904
E02000202,Croydon 009,1395,1064,455,109,12,3035,54.03624382
E02000203,Croydon 010,1246,1142,569,144,18,3119,60.05129849
E02000204,Croydon 011,1331,1229,525,125,17,3227,58.75426092
E02000206,Croydon 013,1825,1641,742,234,27,4469,59.16312374
E02000207,Croydon 014,1568,1197,557,218,20,3560,55.95505618
E02000208,Croydon 015,1462,1527,788,280,41,4098,64.32406052
E02000209,Croydon 016,1393,1049,498,119,3,3062,54.50685826
E02000210,Croydon 017,1769,1135,433,92,15,3444,48.63530778
E02000211,Croydon 018,1786,1107,336,62,3,3294,45.78020644
