Middle layer Super Output Areas Code,Middle layer Super Output Areas,Detached
E02000001,City of London 001,7
E02000002,Barking and Dagenham 001,129
E02000003,Barking and Dagenham 002,176
E02000004,Barking and Dagenham 003,100
E02000005,Barking and Dagenham 004,215
E02000007,Barking and Dagenham 006,138
E02000008,Barking and Dagenham 007,281
E02000009,Barking and Dagenham 008,217
E02000010,Barking and Dagenham 009,179
E02000011,Barking and Dagenham 010,173
E02000012,Barking and Dagenham 011,143
E02000013,Barking and Dagenham 012,211
E02000014,Barking and Dagenham 013,228
E02000015,Barking and Dagenham 014,122
E02000016,Barking and Dagenham 015,56
E02000017,Barking and Dagenham 016,205
E02000018,Barking and Dagenham 017,165
E02000019,Barking and Dagenham 018,193
E02000020,Barking and Dagenham 019,263
E02000021,Barking and Dagenham 020,200
E02000022,Barking and Dagenham 021,27
E02000023,Barking and Dagenham 022,114
E02000024,Barnet 001,665
E02000025,Barnet 002,397
E02000026,Barnet 003,405
E02000027,Barnet 004,272
E02000028,Barnet 005,213
E02000029,Barnet 006,246
E02000030,Barnet 007,1412
E02000031,Barnet 008,644
E02000032,Barnet 009,252
E02000033,Barnet 010,94
E02000034,Barnet 011,324
E02000035,Barnet 012,354
E02000036,Barnet 013,361
E02000037,Barnet 014,919
E02000038,Barnet 015,207
E02000039,Barnet 016,812
E02000040,Barnet 017,463
E02000041,Barnet 018,331
E02000042,Barnet 019,113
E02000043,Barnet 020,255
E02000044,Barnet 021,301
E02000045,Barnet 022,185
E02000046,Barnet 023,89
E02000047,Barnet 024,147
E02000048,Barnet 025,356
E02000049,Barnet 026,105
E02000050,Barnet 027,98
E02000051,Barnet 028,561
E02000052,Barnet 029,69
E02000054,Barnet 031,421
E02000055,Barnet 032,609
E02000056,Barnet 033,899
E02000057,Barnet 034,462
E02000058,Barnet 035,468
E02000059,Barnet 036,181
E02000060,Barnet 037,412
E02000061,Barnet 038,429
E02000062,Barnet 039,115
E02000063,Barnet 040,158
E02000064,Barnet 041,135
E02000065,Bexley 001,139
E02000066,Bexley 002,210
E02000067,Bexley 003,208
E02000068,Bexley 004,131
E02000069,Bexley 005,321
E02000070,Bexley 006,225
E02000071,Bexley 007,170
E02000072,Bexley 008,152
E02000073,Bexley 009,119
E02000074,Bexley 010,76
E02000075,Bexley 011,235
E02000077,Bexley 013,52
E02000078,Bexley 014,164
E02000079,Bexley 015,271
E02000080,Bexley 016,187
E02000081,Bexley 017,266
E02000082,Bexley 018,127
E02000083,Bexley 019,271
E02000084,Bexley 020,741
E02000085,Bexley 021,83
E02000086,Bexley 022,318
E02000087,Bexley 023,972
E02000088,Bexley 024,216
E02000089,Bexley 025,193
E02000090,Bexley 026,397
E02000091,Bexley 027,510
E02000092,Bexley 028,182
E02000093,Brent 001,202
E02000094,Brent 002,146
E02000095,Brent 003,182
E02000096,Brent 004,597
E02000097,Brent 005,207
E02000098,Brent 006,546
E02000099,Brent 007,151
E02000100,Brent 008,548
E02000101,Brent 009,476
E02000102,Brent 010,203
