Middle layer Super Output Areas Code,Middle layer Super Output Areas,Flats
E02000001,City of London 001,4273
E02000002,Barking and Dagenham 001,1099
E02000003,Barking and Dagenham 002,998
E02000004,Barking and Dagenham 003,269
E02000005,Barking and Dagenham 004,368
E02000007,Barking and Dagenham 006,1436
E02000008,Barking and Dagenham 007,554
E02000009,Barking and Dagenham 008,1204
E02000010,Barking and Dagenham 009,358
E02000011,Barking and Dagenham 010,523
E02000012,Barking and Dagenham 011,690
E02000013,Barking and Dagenham 012,333
E02000014,Barking and Dagenham 013,236
E02000015,Barking and Dagenham 014,1511
E02000016,Barking and Dagenham 015,3002
E02000017,Barking and Dagenham 016,528
E02000018,Barking and Dagenham 017,621
E02000019,Barking and Dagenham 018,318
E02000020,Barking and Dagenham 019,1732
E02000021,Barking and Dagenham 020,438
E02000022,Barking and Dagenham 021,2448
E02000023,Barking and Dagenham 022,1336
E02000024,Barnet 001,1056
E02000025,Barnet 002,1563
E02000026,Barnet 003,476
E02000027,Barnet 004,1014
E02000028,Barnet 005,1022
E02000029,Barnet 006,1239
E02000030,Barnet 007,346
E02000031,Barnet 008,1151
E02000032,Barnet 009,111
E02000033,Barnet 010,906
E02000034,Barnet 011,1400
E02000035,Barnet 012,1691
E02000036,Barnet 013,1093
E02000037,Barnet 014,1140
E02000038,Barnet 015,1149
E02000039,Barnet 016,628
E02000040,Barnet 017,1386
E02000041,Barnet 018,820
E02000042,Barnet 019,2000
E02000043,Barnet 020,311
E02000044,Barnet 021,624
E02000045,Barnet 022,1814
E02000046,Barnet 023,799
E02000047,Barnet 024,1610
E02000048,Barnet 025,1308
E02000049,Barnet 026,2451
E02000050,Barnet 027,1552
E02000051,Barnet 028,1842
E02000052,Barnet 029,1814
E02000054,Barnet 031,1168
E02000055,Barnet 032,2152
E02000056,Barnet 033,1096
E02000057,Barnet 034,930
E02000058,Barnet 035,1070
E02000059,Barnet 036,2061
E02000060,Barnet 037,1020
E02000061,Barnet 038,1402
E02000062,Barnet 039,903
E02000063,Barnet 040,736
E02000064,Barnet 041,1662
E02000065,Bexley 001,846
E02000066,Bexley 002,1630
E02000067,Bexley 003,1667
E02000068,Bexley 004,1470
E02000069,Bexley 005,830
E02000070,Bexley 006,461
E02000071,Bexley 007,281
E02000072,Bexley 008,1414
E02000073,Bexley 009,147
E02000074,Bexley 010,1177
E02000075,Bexley 011,254
