Middle layer Super Output Areas Code,Middle layer Super Output Areas,Distance travelled to work (11 categories),Observation
E02000001,City of London 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",303
E02000002,Barking and Dagenham 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",751
E02000003,Barking and Dagenham 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1155
E02000004,Barking and Dagenham 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",667
E02000005,Barking and Dagenham 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1047
E02000007,Barking and Dagenham 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",945
E02000008,Barking and Dagenham 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1347
E02000009,Barking and Dagenham 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1206
E02000010,Barking and Dagenham 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1005
E02000011,Barking and Dagenham 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",773
E02000012,Barking and Dagenham 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1017
E02000013,Barking and Dagenham 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",965
E02000014,Barking and Dagenham 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1071
E02000015,Barking and Dagenham 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",837
E02000016,Barking and Dagenham 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",845
E02000017,Barking and Dagenham 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1034
E02000018,Barking and Dagenham 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",968
E02000019,Barking and Dagenham 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",971
E02000020,Barking and Dagenham 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1334
E02000021,Barking and Dagenham 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",872
E02000022,Barking and Dagenham 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",615
