Middle layer Super Output Areas Code,Middle layer Super Output Areas,Distance travelled to work (11 categories),Observation
E02000001,City of London 001,Works mainly from home,3602
E02000002,Barking and Dagenham 001,Works mainly from home,678
E02000003,Barking and Dagenham 002,Works mainly from home,1336
E02000004,Barking and Dagenham 003,Works mainly from home,781
E02000005,Barking and Dagenham 004,Works mainly from home,1072
E02000007,Barking and Dagenham 006,Works mainly from home,798
E02000008,Barking and Dagenham 007,Works mainly from home,1002
E02000009,Barking and Dagenham 008,Works mainly from home,1091
E02000010,Barking and Dagenham 009,Works mainly from home,775
E02000011,Barking and Dagenham 010,Works mainly from home,622
E02000012,Barking and Dagenham 011,Works mainly from home,1386
E02000013,Barking and Dagenham 012,Works mainly from home,700
E02000014,Barking and Dagenham 013,Works mainly from home,664
E02000015,Barking and Dagenham 014,Works mainly from home,658
E02000016,Barking and Dagenham 015,Works mainly from home,1164
E02000017,Barking and Dagenham 016,Works mainly from home,854
E02000018,Barking and Dagenham 017,Works mainly from home,696
E02000019,Barking and Dagenham 018,Works mainly from home,756
E02000020,Barking and Dagenham 019,Works mainly from home,1491
E02000021,Barking and Dagenham 020,Works mainly from home,645
E02000022,Barking and Dagenham 021,Works mainly from home,774
E02000023,Barking and Dagenham 022,Works mainly from home,599
E02000024,Barnet 001,Works mainly from home,2728
E02000025,Barnet 002,Works mainly from home,1912
E02000026,Barnet 003,Works mainly from home,1342
E02000027,Barnet 004,Works mainly from home,1700
E02000028,Barnet 005,Works mainly from home,1470
E02000029,Barnet 006,Works mainly from home,1817
E02000030,Barnet 007,Works mainly from home,2150
E02000031,Barnet 008,Works mainly from home,2223
E02000032,Barnet 009,Works mainly from home,1675
E02000033,Barnet 010,Works mainly from home,1685
E02000034,Barnet 011,Works mainly from home,1882
E02000035,Barnet 012,Works mainly from home,2091
E02000036,Barnet 013,Works mainly from home,1976
E02000037,Barnet 014,Works mainly from home,2265
E02000038,Barnet 015,Works mainly from home,2266
E02000039,Barnet 016,Works mainly from home,1710
E02000040,Barnet 017,Works mainly from home,2174
E02000041,Barnet 018,Works mainly from home,1528
E02000042,Barnet 019,Works mainly from home,2511
E02000043,Barnet 020,Works mainly from home,2077
E02000044,Barnet 021,Works mainly from home,1238
E02000045,Barnet 022,Works mainly from home,1850
E02000046,Barnet 023,Works mainly from home,1892
E02000047,Barnet 024,Works mainly from home,1231
E02000048,Barnet 025,Works mainly from home,2375
E02000049,Barnet 026,Works mainly from home,1379
E02000050,Barnet 027,Works mainly from home,2179
E02000051,Barnet 028,Works mainly from home,2270
E02000052,Barnet 029,Works mainly from home,2717
E02000054,Barnet 031,Works mainly from home,1379
E02000055,Barnet 032,Works mainly from home,1987
E02000056,Barnet 033,Works mainly from home,2627
E02000057,Barnet 034,Works mainly from home,1280
E02000058,Barnet 035,Works mainly from home,2544
E02000059,Barnet 036,Works mainly from home,1847
E02000060,Barnet 037,Works mainly from home,1812
E02000061,Barnet 038,Works mainly from home,2297
E02000062,Barnet 039,Works mainly from home,912
E02000063,Barnet 040,Works mainly from home,1257
E02000064,Barnet 041,Works mainly from home,1463
E02000065,Bexley 001,Works mainly from home,841
E02000066,Bexley 002,Works mainly from home,940
E02000067,Bexley 003,Works mainly from home,1416
E02000068,Bexley 004,Works mainly from home,955
E02000069,Bexley 005,Works mainly from home,1082
E02000070,Bexley 006,Works mainly from home,1247
E02000071,Bexley 007,Works mainly from home,1094
E02000072,Bexley 008,Works mainly from home,1526
E02000073,Bexley 009,Works mainly from home,2003
E02000074,Bexley 010,Works mainly from home,1051
E02000075,Bexley 011,Works mainly from home,1437
E02000077,Bexley 013,Works mainly from home,1326
E02000078,Bexley 014,Works mainly from home,1451
E02000079,Bexley 015,Works mainly from home,1703
E02000080,Bexley 016,Works mainly from home,1746
E02000081,Bexley 017,Works mainly from home,1368
E02000082,Bexley 018,Works mainly from home,1663
E02000083,Bexley 019,Works mainly from home,1867
E02000084,Bexley 020,Works mainly from home,2280
E02000085,Bexley 021,Works mainly from home,1342
E02000086,Bexley 022,Works mainly from home,1365
E02000087,Bexley 023,Works mainly from home,1832
E02000088,Bexley 024,Works mainly from home,1668
E02000089,Bexley 025,Works mainly from home,1591
E02000090,Bexley 026,Works mainly from home,2009
E02000091,Bexley 027,Works mainly from home,2017
E02000092,Bexley 028,Works mainly from home,861
E02000093,Brent 001,Works mainly from home,1581
E02000094,Brent 002,Works mainly from home,1511
E02000095,Brent 003,Works mainly from home,1390
E02000096,Brent 004,Works mainly from home,1454
E02000097,Brent 005,Works mainly from home,1080
E02000098,Brent 006,Works mainly from home,1204
E02000099,Brent 007,Works mainly from home,1207
E02000100,Brent 008,Works mainly from home,1406
E02000101,Brent 009,Works mainly from home,1159
E02000102,Brent 010,Works mainly from home,603
E02000103,Brent 011,Works mainly from home,1101
E02000104,Brent 012,Works mainly from home,1057
E02000105,Brent 013,Works mainly from home,1047
E02000106,Brent 014,Works mainly from home,931
E02000107,Brent 015,Works mainly from home,1943
E02000108,Brent 016,Works mainly from home,828
E02000110,Brent 018,Works mainly from home,1601
E02000111,Brent 019,Works mainly from home,1027
E02000112,Brent 020,Works mainly from home,1159
E02000113,Brent 021,Works mainly from home,657
E02000114,Brent 022,Works mainly from home,1792
E02000115,Brent 023,Works mainly from home,2202
E02000116,Brent 024,Works mainly from home,831
E02000117,Brent 025,Works mainly from home,1078
E02000118,Brent 026,Works mainly from home,826
E02000119,Brent 027,Works mainly from home,1201
E02000120,Brent 028,Works mainly from home,2458
E02000121,Brent 029,Works mainly from home,1228
E02000122,Brent 030,Works mainly from home,2100
E02000123,Brent 031,Works mainly from home,1742
E02000124,Brent 032,Works mainly from home,2925
E02000125,Brent 033,Works mainly from home,2454
E02000126,Brent 034,Works mainly from home,1358
E02000127,Bromley 001,Works mainly from home,1408
E02000128,Bromley 002,Works mainly from home,1724
E02000130,Bromley 004,Works mainly from home,2430
E02000131,Bromley 005,Works mainly from home,3357
E02000132,Bromley 006,Works mainly from home,2876
E02000133,Bromley 007,Works mainly from home,3128
E02000134,Bromley 008,Works mainly from home,2940
E02000135,Bromley 009,Works mainly from home,1782
E02000136,Bromley 010,Works mainly from home,1021
E02000137,Bromley 011,Works mainly from home,2218
E02000138,Bromley 012,Works mainly from home,2475
E02000139,Bromley 013,Works mainly from home,2290
E02000140,Bromley 014,Works mainly from home,1044
E02000141,Bromley 015,Works mainly from home,1903
E02000142,Bromley 016,Works mainly from home,2263
E02000144,Bromley 018,Works mainly from home,2839
E02000145,Bromley 019,Works mainly from home,1160
E02000146,Bromley 020,Works mainly from home,2508
E02000147,Bromley 021,Works mainly from home,2025
E02000148,Bromley 022,Works mainly from home,1670
E02000149,Bromley 023,Works mainly from home,1427
E02000150,Bromley 024,Works mainly from home,2029
E02000151,Bromley 025,Works mainly from home,1985
