Local authority code ,Local authority name,Year ending Dec 2019,Year ending Dec 2020,Year ending Dec 2021,Year ending Dec 2022,% sales change
E06000031,Peterborough,"3,067","2,460","3,204","2,208",-28.00782524
E06000032,Luton,"2,184","1,630","2,476","1,818",-16.75824176
E06000033,Southend-on-Sea,"2,651","2,408","3,599","2,454",-7.431158054
E06000034,Thurrock,"2,337","2,031","2,732","1,839",-21.30937099
E06000055,Bedford,"2,753","2,517","3,265","2,005",-27.17035961
E06000056,Central Bedfordshire,"5,256","4,824","6,904","4,054",-22.86910198
E07000008,Cambridge,"1,352","1,167","1,528","1,222",-9.615384615
E07000009,East Cambridgeshire,"1,277","1,169","1,843","1,174",-8.06577917
E07000010,Fenland,"1,714","1,427","2,266","1,537",-10.32672112
E07000011,Huntingdonshire,"2,964","2,672","3,916","2,469",-16.70040486
E07000012,South Cambridgeshire,"2,387","2,184","3,160","1,836",-23.08336824
E07000066,Basildon,"2,481","2,123","3,188","2,236",-9.875050383
E07000067,Braintree,"2,504","2,317","3,362","2,141",-14.49680511
E07000068,Brentwood,"1,185","1,075","1,647","1,145",-3.375527426
E07000069,Castle Point,"1,366","1,256","1,773","1,092",-20.05856515
E07000070,Chelmsford,"2,771","2,415","3,471","2,416",-12.81125947
E07000071,Colchester,"3,090","2,720","4,001","2,529",-18.15533981
E07000072,Epping Forest,"1,750","1,696","2,481","1,625",-7.142857143
E07000073,Harlow,"1,335","1,017","1,422",955,-28.46441948
E07000074,Maldon,"1,080","1,129","1,413",810,-25
E07000075,Rochford,"1,322","1,256","1,895","1,116",-15.58245083
E07000076,Tendring,"2,840","2,718","3,988","2,555",-10.03521127
E07000077,Uttlesford,"1,429","1,231","1,882","1,101",-22.95311407
E07000095,Broxbourne,"1,208","1,178","1,790","1,165",-3.559602649
E07000096,Dacorum,"1,993","1,918","3,052","1,955",-1.906673357
E07000098,Hertsmere,"1,403","1,296","1,675","1,120",-20.17106201
E07000099,North Hertfordshire,"1,846","1,786","2,515","1,697",-8.071505959
E07000102,Three Rivers,"1,176","1,078","1,508","1,011",-14.03061224
E07000103,Watford,"1,141",910,"1,461","1,025",-10.1665206
E07000143,Breckland,"2,298","2,080","3,067","1,920",-16.44908616
E07000144,Broadland,"2,404","2,139","2,827","1,960",-18.46921797
E07000145,Great Yarmouth,"1,779","1,547","1,987","1,358",-23.66498033
E07000146,King's Lynn and West Norfolk,"2,627","2,328","3,232","2,085",-20.63189951
E07000147,North Norfolk,"2,078","1,907","2,555","1,560",-24.92781521
E07000148,Norwich,"1,964","1,611","2,293","1,905",-3.00407332
E07000149,South Norfolk,"2,742","2,346","3,363","2,014",-26.54996353
E07000200,Babergh,"1,497","1,407","1,991","1,157",-22.71209085
E07000202,Ipswich,"1,866","1,620","2,374","1,679",-10.02143623
E07000203,Mid Suffolk,"1,719","1,665","2,622","1,409",-18.03374055
E07000240,St Albans,"2,102","2,016","2,872","2,015",-4.138915319
E07000241,Welwyn Hatfield,"1,262","1,268","1,720","1,219",-3.407290016
E07000242,East Hertfordshire,"2,360","2,242","3,136","2,077",-11.99152542
E07000243,Stevenage,"1,114",888,"1,290",883,-20.73608618
E07000244,East Suffolk,"4,052","3,772","5,062","3,427",-15.42448174
E07000245,West Suffolk,"2,633","2,517","3,285","2,338",-11.20394987
E09000001,City of London,135,136,162,130,-3.703703704
E09000002,Barking and Dagenham,"1,531","1,237","1,695","1,169",-23.64467668
E09000003,Barnet,"3,666","3,241","4,711","3,179",-13.2842335
E09000004,Bexley,"2,913","2,722","3,849","2,636",-9.509097151
E09000005,Brent,"1,623","1,625","2,284","1,662",2.402957486
E09000006,Bromley,"4,618","4,303","5,995","4,197",-9.11650065
E09000007,Camden,"1,615","1,719","2,290","1,687",4.458204334
E09000008,Croydon,"4,040","3,731","5,355","3,765",-6.806930693
E09000009,Ealing,"2,625","2,331","3,615","2,600",-0.952380952
