Middle layer Super Output Areas Code,Middle layer Super Output Areas,lives_rent_free
E02000001,City of London 001,5
E02000002,Barking and Dagenham 001,8
E02000003,Barking and Dagenham 002,1
E02000004,Barking and Dagenham 003,1
E02000005,Barking and Dagenham 004,8
E02000007,Barking and Dagenham 006,9
E02000008,Barking and Dagenham 007,11
E02000009,Barking and Dagenham 008,5
E02000010,Barking and Dagenham 009,4
E02000011,Barking and Dagenham 010,0
E02000012,Barking and Dagenham 011,0
E02000013,Barking and Dagenham 012,11
E02000014,Barking and Dagenham 013,5
E02000015,Barking and Dagenham 014,4
E02000016,Barking and Dagenham 015,11
E02000017,Barking and Dagenham 016,2
E02000018,Barking and Dagenham 017,7
E02000019,Barking and Dagenham 018,3
E02000020,Barking and Dagenham 019,27
E02000021,Barking and Dagenham 020,8
E02000022,Barking and Dagenham 021,8
E02000023,Barking and Dagenham 022,5
E02000024,Barnet 001,1
E02000025,Barnet 002,2
E02000026,Barnet 003,0
E02000027,Barnet 004,4
E02000028,Barnet 005,5
E02000029,Barnet 006,2
E02000030,Barnet 007,0
E02000031,Barnet 008,1
E02000032,Barnet 009,0
E02000033,Barnet 010,0
E02000034,Barnet 011,1
E02000035,Barnet 012,2
E02000036,Barnet 013,1
E02000037,Barnet 014,3
E02000038,Barnet 015,4
E02000039,Barnet 016,0
E02000040,Barnet 017,2
E02000041,Barnet 018,1
E02000042,Barnet 019,5
E02000043,Barnet 020,1
E02000044,Barnet 021,3
E02000045,Barnet 022,10
E02000046,Barnet 023,0
E02000047,Barnet 024,10
E02000048,Barnet 025,0
E02000049,Barnet 026,15
E02000050,Barnet 027,14
E02000051,Barnet 028,1
E02000052,Barnet 029,6
E02000054,Barnet 031,0
E02000055,Barnet 032,2
E02000056,Barnet 033,0
E02000057,Barnet 034,1
E02000058,Barnet 035,3
E02000059,Barnet 036,4
E02000060,Barnet 037,1
E02000061,Barnet 038,4
E02000062,Barnet 039,7
E02000063,Barnet 040,2
E02000064,Barnet 041,6
E02000065,Bexley 001,18
E02000066,Bexley 002,12
E02000067,Bexley 003,5
E02000068,Bexley 004,3
E02000069,Bexley 005,2
E02000070,Bexley 006,0
E02000071,Bexley 007,1
E02000072,Bexley 008,6
E02000073,Bexley 009,0
E02000074,Bexley 010,4
E02000075,Bexley 011,0
E02000077,Bexley 013,2
E02000078,Bexley 014,1
E02000079,Bexley 015,2
E02000080,Bexley 016,0
E02000081,Bexley 017,0
E02000082,Bexley 018,0
E02000083,Bexley 019,2
E02000084,Bexley 020,1
E02000085,Bexley 021,1
E02000086,Bexley 022,0
E02000087,Bexley 023,2
E02000088,Bexley 024,0
E02000089,Bexley 025,2
E02000090,Bexley 026,0
E02000091,Bexley 027,0
E02000092,Bexley 028,0
E02000093,Brent 001,2
