Local authority code ,Local authority name,Year ending Dec 2000,Year ending Dec 2001,Year ending Dec 2002,Year ending Dec 2003,Year ending Dec 2004,Year ending Dec 2005,Year ending Dec 2006,Year ending Dec 2007,Year ending Dec 2008,Year ending Dec 2009,Year ending Dec 2010,Year ending Dec 2011,Year ending Dec 2012,Year ending Dec 2013,Year ending Dec 2014,Year ending Dec 2015,Year ending Dec 2016,Year ending Dec 2017,Year ending Dec 2018,Year ending Dec 2019,Year ending Dec 2020,Year ending Dec 2021,Year ending Dec 2022
E06000031,Peterborough,"69,231","78,577","98,694","115,796","135,523","141,153","154,379","163,450","160,213","148,914","155,760","154,008","153,261","159,460","170,817","174,822","189,480","199,565","209,525","219,823","232,712","248,498","257,869"
E06000032,Luton,"75,493","86,595","104,985","128,701","143,133","147,449","156,150","166,468","166,077","153,650","159,910","160,864","160,837","165,708","177,137","202,505","226,244","239,608","247,994","252,254","271,344","287,257","305,891"
E06000033,Southend-on-Sea,"85,554","99,232","120,756","147,410","166,222","173,599","184,396","202,959","196,998","193,073","210,811","208,132","214,244","216,677","232,645","251,704","273,480","306,573","317,432","323,357","339,541","365,951","391,270"
E06000034,Thurrock,"82,387","98,268","125,059","148,286","162,142","173,796","177,252","185,355","187,899","176,031","180,833","182,855","180,769","189,555","205,308","229,403","266,513","287,593","296,320","291,721","316,981","337,200","352,589"
E06000055,Bedford,"102,303","115,889","133,765","155,928","172,361","180,313","191,625","207,593","206,428","194,996","218,588","212,240","214,329","217,135","232,578","256,423","271,038","297,501","309,472","310,890","320,263","348,269","364,156"
E06000056,Central Bedfordshire,"112,465","125,952","150,728","173,249","186,779","198,886","209,342","221,257","219,954","206,333","223,510","219,068","223,847","228,650","250,944","271,825","297,523","329,394","337,915","342,493","354,712","372,953","383,298"
E07000008,Cambridge,"155,145","177,057","199,472","223,380","230,669","248,164","268,396","300,839","285,061","287,727","321,701","320,341","328,621","365,901","417,625","487,527","489,329","523,718","531,532","517,589","519,069","546,743","576,958"
E07000009,East Cambridgeshire,"111,660","127,376","148,784","169,661","182,377","197,564","198,427","215,514","218,374","197,526","217,310","212,810","212,390","222,765","241,876","263,633","293,383","305,809","306,921","328,728","337,109","351,909","367,205"
E07000010,Fenland,"65,211","74,131","96,079","118,087","133,594","142,470","146,168","153,692","151,630","140,826","144,409","144,476","141,738","144,588","157,115","167,166","180,969","196,952","203,657","211,683","225,975","239,361","253,713"
E07000011,Huntingdonshire,"100,797","112,891","132,980","159,234","172,458","185,158","195,804","208,406","208,761","193,659","209,963","200,900","206,696","211,339","227,022","240,544","260,456","284,981","296,578","304,885","318,763","329,948","345,124"
E07000012,South Cambridgeshire,"143,030","167,112","193,150","210,857","233,619","234,876","258,113","278,131","275,371","255,594","275,319","283,284","283,097","296,805","316,655","368,441","394,455","417,356","406,373","417,938","435,557","452,431","494,544"
E07000066,Basildon,"105,658","115,319","137,363","162,856","178,139","187,787","197,604","212,963","212,186","206,562","224,759","219,149","221,068","227,338","244,366","263,613","305,272","320,842","335,024","339,245","360,639","378,383","408,896"
E07000067,Braintree,"109,369","120,365","151,086","172,689","191,169","195,771","204,788","222,141","223,444","197,855","221,941","219,833","218,466","222,273","241,280","261,176","281,606","300,691","314,309","315,572","337,344","355,627","373,369"
E07000068,Brentwood,"168,013","192,281","224,130","256,477","274,843","292,900","316,537","330,155","320,329","322,790","350,113","352,094","344,007","348,881","375,569","405,824","480,326","491,324","506,506","494,315","559,021","577,967","576,213"
E07000069,Castle Point,"100,181","116,120","141,008","168,989","182,942","192,796","200,999","216,841","213,644","199,190","214,694","207,725","209,712","218,996","240,867","266,007","289,095","321,930","321,373","322,216","338,303","363,637","388,325"
E07000070,Chelmsford,"117,040","137,940","171,086","199,546","213,679","220,510","232,704","253,486","244,649","243,403","259,467","252,555","257,077","262,238","288,710","314,454","356,851","381,263","390,836","394,379","424,312","431,471","440,915"
E07000071,Colchester,"99,832","113,833","137,947","158,315","180,720","187,355","194,856","205,445","194,770","191,749","204,682","202,740","207,586","212,302","222,252","246,446","261,194","286,970","295,195","291,706","314,993","335,904","343,044"
E07000072,Epping Forest,"175,481","199,610","231,226","266,856","282,792","292,415","313,243","339,369","351,577","318,182","351,460","357,928","352,239","382,589","410,898","454,866","501,595","536,129","534,975","554,488","566,703","605,665","618,393"
E07000073,Harlow,"94,344","107,646","130,915","144,525","163,490","168,942","174,035","186,328","183,230","176,916","187,781","193,305","190,513","197,324","219,487","244,435","276,460","304,221","298,921","310,568","321,221","335,228","343,540"
E07000074,Maldon,"119,860","134,273","166,574","189,252","212,622","229,274","232,558","249,250","249,524","225,214","243,759","252,602","244,165","257,938","275,222","303,542","333,275","363,311","370,174","364,697","376,196","418,323","430,072"
E07000075,Rochford,"114,152","134,100","162,497","191,022","210,393","218,513","223,994","242,599","238,676","218,726","244,046","237,497","232,114","243,365","265,401","298,692","329,011","352,876","368,832","366,085","388,161","411,408","437,601"
E07000076,Tendring,"80,426","93,906","115,707","139,112","157,016","162,550","175,214","184,346","186,604","159,646","175,646","170,135","174,189","173,304","181,694","198,374","216,402","244,167","251,718","261,297","273,665","290,903","301,641"
E07000077,Uttlesford,"174,653","190,762","224,325","240,490","269,095","277,730","288,681","302,287","307,087","302,593","337,121","328,825","334,193","337,845","364,780","389,706","425,990","440,931","464,604","460,755","488,565","507,245","545,851"
E07000095,Broxbourne,"136,164","150,759","177,905","198,871","210,866","221,868","222,054","240,678","248,119","236,526","249,756","246,374","252,965","262,342","280,239","318,164","356,348","373,493","385,077","390,557","415,432","429,452","462,512"
E07000096,Dacorum,"161,390","174,516","196,830","228,378","243,643","253,381","265,484","294,605","303,852","291,460","318,081","307,782","319,561","320,767","350,795","405,202","419,914","458,139","450,546","450,895","489,828","507,114","516,889"
E07000098,Hertsmere,"173,201","204,024","234,593","261,557","273,847","297,509","319,251","343,360","331,415","333,247","374,884","361,396","368,330","397,407","457,480","468,309","544,186","532,754","547,564","527,055","591,285","643,136","664,547"
E07000099,North Hertfordshire,"134,032","148,643","169,099","201,567","218,988","222,831","247,382","256,189","258,247","234,686","269,014","263,434","271,268","276,980","306,246","332,307","369,844","399,781","398,678","407,089","446,540","442,030","466,410"
E07000102,Three Rivers,"200,441","214,442","246,780","264,898","293,813","319,531","328,745","371,378","360,297","350,863","393,062","374,982","409,928","428,546","459,680","503,331","545,001","554,754","579,659","551,544","578,560","624,009","704,466"
E07000103,Watford,"123,950","138,695","162,295","189,474","206,104","218,478","226,145","245,425","241,715","234,579","248,985","246,685","262,618","274,148","290,265","338,322","381,062","404,527","409,203","407,292","417,829","432,872","453,480"
E07000143,Breckland,"79,480","92,704","115,624","136,640","155,386","164,304","174,152","185,356","182,252","169,175","185,422","176,172","175,914","180,294","194,138","209,252","223,601","238,688","245,161","245,050","268,273","292,163","307,182"
E07000144,Broadland,"89,659","107,479","130,565","154,729","169,819","179,652","192,470","208,742","200,314","184,259","203,747","194,282","197,878","205,783","218,244","235,848","250,644","265,997","274,744","277,813","292,539","314,447","343,214"
E07000145,Great Yarmouth,"61,452","71,063","87,638","108,184","128,052","130,731","138,438","155,725","146,052","142,939","149,086","143,200","149,133","149,681","157,323","161,283","171,479","183,983","189,363","195,140","206,995","227,512","242,621"
E07000146,King's Lynn and West Norfolk,"76,931","93,058","114,300","135,868","157,918","167,442","172,284","184,657","180,912","173,939","184,887","181,991","173,059","187,777","199,151","205,226","226,759","239,805","245,385","255,936","282,110","296,726","317,593"
