Local authority code ,mean_price_2021,price_change_overall,mean_price_detached_2021,price_change_detached,mean_price_semi_2021,price_change_semi,mean_price_tarraced_2021,price_change_tarraced,mean_price_flats_2021,price_change_flats,LONG,LAT
E06000031,"248,498",17.30756108,"347,815",22.58775717,"218,695",21.1377843,"180,109",16.30388494,"131,561",-9.875283706,-0.26874,52.59214
E06000032,"287,257",21.26309196,"422,104",13.42356178,"302,508",21.4029631,"247,031",21.13007392,"166,167",-3.348237125,-0.42319,51.89102
E06000033,"365,951",21.00248332,"584,170",26.10056518,"410,083",25.65215889,"348,493",22.81617461,"219,828",13.61353799,0.706923,51.54917
E06000034,"337,200",20.86514169,"534,580",19.83004599,"364,561",22.07804968,"310,336",21.25162152,"201,045",9.401945888,0.334861,51.50998
E06000055,"348,269",17.13339123,"497,577",24.73289258,"318,893",22.22485982,"262,358",17.56465088,"172,270",-6.90135489,-0.45463,52.19628
E06000056,"372,953",11.91411211,"526,626",19.57563822,"346,005",19.44537179,"289,629",17.26944517,"187,919",4.182995044,-0.47754,51.99903
E07000008,"546,743",11.47029786,"1,033,163",15.06262862,"579,499",23.39699472,"532,521",13.79974148,"326,936",1.13491143,0.126436,52.20017
E07000009,"351,909",11.70481371,"452,453",22.64184019,"295,386",11.03726736,"268,728",9.941083767,"162,141",-1.902260299,0.283149,52.35788
E07000010,"239,361",19.85516078,"299,913",27.26243445,"194,289",22.01803648,"164,997",20.08934936,"101,303",-5.883873362,0.009016,52.53544
E07000011,"329,948",13.19809108,"439,319",21.29363342,"284,950",16.62863509,"243,990",16.25599582,"164,272",3.242611394,-0.2247,52.35315
E07000012,"452,431",18.32951299,"593,313",25.17048048,"386,141",13.89185079,"335,905",14.47472468,"239,309",-1.868783442,0.091017,52.10805
E07000066,"378,383",20.53117953,"577,002",25.28592932,"388,957",18.86340402,"296,675",22.81791693,"204,828",13.36945761,0.475055,51.59036
E07000067,"355,627",18.31499626,"500,597",25.21669444,"325,871",16.02799288,"278,586",18.06530455,"174,800",6.290069231,0.575911,51.91634
E07000068,"577,967",16.56797791,"922,280",16.05647695,"535,609",12.68123488,"419,578",14.83595037,"287,723",2.171258663,0.290091,51.64108
E07000069,"363,637",20.5169824,"440,725",25.47535889,"336,797",20.76981744,"290,745",21.44707874,"206,403",8.169781977,0.588084,51.56159
E07000070,"431,471",11.79981693,"631,250",22.15108868,"412,721",18.60227828,"339,222",15.70558609,"222,363",1.150500789,0.491177,51.73503
E07000071,"335,904",17.59922662,"465,944",24.74939269,"319,603",19.81098008,"271,180",16.5756936,"178,713",6.445054637,0.859777,51.87702
E07000072,"605,665",11.52504653,"1,000,122",12.89116549,"587,124",15.80463797,"470,010",16.91012272,"334,459",11.55529191,0.154147,51.71279
E07000073,"335,228",10.61667654,"499,514",18.39488609,"396,202",13.36249266,"303,247",15.67760309,"209,710",-4.686991201,0.103888,51.76614
E07000074,"418,323",17.92583981,"539,536",21.68476035,"332,167",19.57941788,"279,648",16.40444424,"208,201",11.59556032,0.773106,51.77458
