Local authority code ,Local authority name,pc_detached,pc_semi,pc_terraced,pc_flats
E06000031,Peterborough,22.58775717,21.1377843,16.30388494,-9.875283706
E06000032,Luton,13.42356178,21.4029631,21.13007392,-3.348237125
E06000033,Southend-on-Sea,26.10056518,25.65215889,22.81617461,13.61353799
E06000034,Thurrock,19.83004599,22.07804968,21.25162152,9.401945888
E06000055,Bedford,24.73289258,22.22485982,17.56465088,-6.90135489
E06000056,Central Bedfordshire,19.57563822,19.44537179,17.26944517,4.182995044
E07000008,Cambridge,15.06262862,23.39699472,13.79974148,1.13491143
E07000009,East Cambridgeshire,22.64184019,11.03726736,9.941083767,-1.902260299
E07000010,Fenland,27.26243445,22.01803648,20.08934936,-5.883873362
E07000011,Huntingdonshire,21.29363342,16.62863509,16.25599582,3.242611394
E07000012,South Cambridgeshire,25.17048048,13.89185079,14.47472468,-1.868783442
E07000066,Basildon,25.28592932,18.86340402,22.81791693,13.36945761
E07000067,Braintree,25.21669444,16.02799288,18.06530455,6.290069231
E07000068,Brentwood,16.05647695,12.68123488,14.83595037,2.171258663
E07000069,Castle Point,25.47535889,20.76981744,21.44707874,8.169781977
E07000070,Chelmsford,22.15108868,18.60227828,15.70558609,1.150500789
E07000071,Colchester,24.74939269,19.81098008,16.5756936,6.445054637
E07000072,Epping Forest,12.89116549,15.80463797,16.91012272,11.55529191
E07000073,Harlow,18.39488609,13.36249266,15.67760309,-4.686991201
E07000074,Maldon,21.68476035,19.57941788,16.40444424,11.59556032
E07000075,Rochford,26.11248578,19.05220806,18.56821313,-1.678041401
E07000076,Tendring,19.71739385,21.39710904,20.21068184,12.56042144
E07000077,Uttlesford,23.52925656,18.82524742,29.05453757,7.14983037
E07000095,Broxbourne,21.40018183,21.32549398,17.09652112,3.184169209
E07000096,Dacorum,19.02571266,20.52092512,18.42749072,5.665791455
E07000098,Hertsmere,24.53467367,17.25050363,16.07926932,-1.73195669
E07000099,North Hertfordshire,16.07489451,15.45182519,17.11498211,9.834780182
E07000102,Three Rivers,28.5759758,18.02609429,15.44767169,0.396212812
E07000103,Watford,8.530224525,19.02976973,16.96131477,-0.411438005
E07000143,Breckland,30.34507235,22.40027768,21.85197919,15.48610927
E07000144,Broadland,27.13685698,22.4093366,21.47288161,13.70446164
E07000145,Great Yarmouth,32.75894581,25.72363322,25.06326856,3.387289419
E07000146,King's Lynn and West Norfolk,26.9370486,24.35374477,16.97346881,-2.765669265
E07000147,North Norfolk,30.14353072,16.67680735,17.55698844,15.31618475
E07000148,Norwich,34.83121963,34.0469538,16.161224,8.490923467
E07000149,South Norfolk,27.14942504,19.24411003,23.65372124,5.234990719
E07000200,Babergh,15.1218349,28.79581511,14.7959986,-10.66753046
E07000202,Ipswich,19.85559763,23.17264779,19.22831803,1.830438239
E07000203,Mid Suffolk,24.17540852,20.9034503,16.1332988,15.40908734
E07000240,St Albans,24.10888811,17.53237813,17.65947314,-4.398823621
E07000241,Welwyn Hatfield,22.56972777,13.55469452,19.4878303,1.578436668
E07000242,East Hertfordshire,25.5252053,19.85324517,16.81318745,6.83978774
E07000243,Stevenage,17.63862124,18.54003193,21.31849764,-1.561744905
E07000244,East Suffolk,32.19683367,21.64276462,17.33052294,21.5100381
E07000245,West Suffolk,22.12226572,14.13712297,16.570144,0.264411513
E09000001,City of London,#VALUE!,#VALUE!,,-17.03647998
E09000002,Barking and Dagenham,26.00972344,16.4131667,17.60922065,-3.259917499
E09000003,Barnet,44.57775467,18.55126078,13.19391569,-0.960023529
E09000004,Bexley,16.08920493,18.30137092,20.56295909,14.61141909
E09000005,Brent,18.67318568,17.80264979,13.67563136,10.34405432
E09000006,Bromley,27.49115008,23.1075188,20.72294582,2.135368719
E09000007,Camden,1.348700638,32.90040172,2.438230975,-1.933848825
E09000008,Croydon,24.67528163,17.68031728,15.832837,-0.720988116
E09000009,Ealing,25.01184629,25.38055411,17.22992241,6.426902483
E09000010,Enfield,28.46694539,18.85378141,17.11842304,3.676754339
E09000011,Greenwich,18.25622884,19.9578575,14.20356145,-12.05024443
E09000012,Hackney,#VALUE!,11.6861235,28.0731393,-9.074264191
E09000013,Hammersmith and Fulham,-13.12529401,9.920287873,11.18393815,-12.36932335
E09000014,Haringey,21.52594262,17.45919233,14.74780969,6.899957253
E09000015,Harrow,22.82667118,14.65215384,16.19284365,2.022255695
E09000016,Havering,14.38606716,22.11486537,20.80299964,0.799377245
E09000017,Hillingdon,19.78190872,16.50352154,11.9650465,2.80382294
E09000018,Hounslow,84.34275207,33.35243037,15.61886611,3.138309911
E09000019,Islington,-11.31606528,11.0254062,23.1691476,2.488122752
E09000020,Kensington and Chelsea,9.595717515,52.04509365,20.23831414,4.219296542
