Local authority code ,Local authority name,detached_2021,semi_2021,terraced_2021,flats_2021
E06000031,Peterborough,"347,815","218,695","180,109","131,561"
E06000032,Luton,"422,104","302,508","247,031","166,167"
E06000033,Southend-on-Sea,"584,170","410,083","348,493","219,828"
E06000034,Thurrock,"534,580","364,561","310,336","201,045"
E06000055,Bedford,"497,577","318,893","262,358","172,270"
E06000056,Central Bedfordshire,"526,626","346,005","289,629","187,919"
E07000008,Cambridge,"1,033,163","579,499","532,521","326,936"
E07000009,East Cambridgeshire,"452,453","295,386","268,728","162,141"
E07000010,Fenland,"299,913","194,289","164,997","101,303"
E07000011,Huntingdonshire,"439,319","284,950","243,990","164,272"
E07000012,South Cambridgeshire,"593,313","386,141","335,905","239,309"
E07000066,Basildon,"577,002","388,957","296,675","204,828"
E07000067,Braintree,"500,597","325,871","278,586","174,800"
E07000068,Brentwood,"922,280","535,609","419,578","287,723"
E07000069,Castle Point,"440,725","336,797","290,745","206,403"
E07000070,Chelmsford,"631,250","412,721","339,222","222,363"
E07000071,Colchester,"465,944","319,603","271,180","178,713"
E07000072,Epping Forest,"1,000,122","587,124","470,010","334,459"
E07000073,Harlow,"499,514","396,202","303,247","209,710"
E07000074,Maldon,"539,536","332,167","279,648","208,201"
E07000075,Rochford,"552,593","362,385","311,156","202,932"
E07000076,Tendring,"361,276","252,850","222,950","171,343"
E07000077,Uttlesford,"672,882","432,263","374,486","218,281"
E07000095,Broxbourne,"749,277","492,253","387,950","231,329"
E07000096,Dacorum,"870,401","521,731","417,261","273,798"
E07000098,Hertsmere,"1,109,107","611,621","482,037","410,952"
E07000099,North Hertfordshire,"699,277","471,826","364,349","234,138"
E07000102,Three Rivers,"1,116,878","566,802","443,920","322,169"
E07000103,Watford,"845,309","512,949","406,768","280,216"
E07000143,Breckland,"360,631","233,801","195,444","126,168"
E07000144,Broadland,"385,806","261,083","229,755","161,813"
E07000145,Great Yarmouth,"314,975","212,179","159,747","103,689"
E07000146,King's Lynn and West Norfolk,"361,279","249,868","219,707","146,146"
E07000147,North Norfolk,"421,178","286,265","263,766","179,087"
E07000148,Norwich,"462,560","271,834","248,850","170,024"
E07000149,South Norfolk,"417,106","259,229","230,892","151,528"
E07000200,Babergh,"477,918","314,960","269,633","163,798"
E07000202,Ipswich,"402,383","248,388","207,843","147,425"
E07000203,Mid Suffolk,"435,288","271,242","228,372","137,437"
E07000240,St Albans,"1,081,230","727,853","565,553","360,710"
E07000241,Welwyn Hatfield,"877,735","521,507","393,822","276,316"
E07000242,East Hertfordshire,"778,993","491,489","402,689","274,292"
E07000243,Stevenage,"524,218","373,223","301,900","183,869"
E07000244,East Suffolk,"424,187","267,680","236,966","202,201"
E07000245,West Suffolk,"423,051","279,706","245,852","182,134"
E09000001,City of London,:,:,:,"920,663"
E09000002,Barking and Dagenham,"434,733","413,852","363,439","248,890"
E09000003,Barnet,"1,547,904","868,177","682,201","450,868"
E09000004,Bexley,"648,931","481,040","391,552","262,355"
E09000005,Brent,"1,145,884","760,363","862,991","441,781"
E09000006,Bromley,"962,512","600,410","493,541","351,427"
E09000007,Camden,"4,888,462","3,190,199","2,122,116","867,948"
E09000008,Croydon,"761,832","536,648","421,867","304,354"
E09000009,Ealing,"1,615,560","855,066","711,403","446,725"
E09000010,Enfield,"1,163,670","683,429","500,889","356,822"
E09000011,Greenwich,"1,109,931","616,924","549,107","420,251"
E09000012,Hackney,"1,623,000","1,316,022","1,137,938","583,397"
E09000013,Hammersmith and Fulham,"3,515,000","1,883,171","1,535,814","698,804"
E09000014,Haringey,"2,680,966","1,373,483","840,505","494,487"
E09000015,Harrow,"1,035,814","632,489","542,162","376,063"
E09000016,Havering,"717,250","472,755","400,290","259,407"
E09000017,Hillingdon,"833,140","535,151","462,197","327,799"
E09000018,Hounslow,"1,020,701","709,318","650,737","399,812"
E09000019,Islington,"1,541,944","1,947,301","1,463,038","632,855"
E09000020,Kensington and Chelsea,"13,456,175","8,624,912","4,107,254","1,426,968"
