Middle layer Super Output Areas Code,Middle layer Super Output Areas,No_cars
E02000001,City of London 001,3793
E02000002,Barking and Dagenham 001,914
E02000003,Barking and Dagenham 002,1156
E02000004,Barking and Dagenham 003,544
E02000005,Barking and Dagenham 004,1016
E02000007,Barking and Dagenham 006,1375
E02000008,Barking and Dagenham 007,1509
E02000009,Barking and Dagenham 008,1456
E02000010,Barking and Dagenham 009,1111
E02000011,Barking and Dagenham 010,703
E02000012,Barking and Dagenham 011,769
E02000013,Barking and Dagenham 012,1112
E02000014,Barking and Dagenham 013,1167
E02000015,Barking and Dagenham 014,1184
E02000016,Barking and Dagenham 015,2310
E02000017,Barking and Dagenham 016,1124
E02000018,Barking and Dagenham 017,1138
E02000019,Barking and Dagenham 018,1001
E02000020,Barking and Dagenham 019,1637
E02000021,Barking and Dagenham 020,977
E02000022,Barking and Dagenham 021,1349
E02000023,Barking and Dagenham 022,999
E02000024,Barnet 001,1086
E02000025,Barnet 002,970
E02000026,Barnet 003,374
E02000027,Barnet 004,972
E02000028,Barnet 005,611
E02000029,Barnet 006,947
E02000030,Barnet 007,459
E02000031,Barnet 008,711
E02000032,Barnet 009,377
E02000033,Barnet 010,883
E02000034,Barnet 011,957
E02000035,Barnet 012,1097
E02000036,Barnet 013,813
E02000037,Barnet 014,629
E02000038,Barnet 015,1039
E02000039,Barnet 016,489
E02000040,Barnet 017,776
E02000041,Barnet 018,984
E02000042,Barnet 019,1831
E02000043,Barnet 020,493
E02000044,Barnet 021,873
E02000045,Barnet 022,1447
E02000046,Barnet 023,1067
E02000047,Barnet 024,1512
E02000048,Barnet 025,759
E02000049,Barnet 026,1466
E02000050,Barnet 027,1349
E02000051,Barnet 028,1101
E02000052,Barnet 029,1543
E02000054,Barnet 031,927
E02000055,Barnet 032,1841
E02000056,Barnet 033,666
E02000057,Barnet 034,859
E02000058,Barnet 035,1308
E02000059,Barnet 036,1766
E02000060,Barnet 037,1205
E02000061,Barnet 038,1487
E02000062,Barnet 039,1221
E02000063,Barnet 040,1041
E02000064,Barnet 041,1272
E02000065,Bexley 001,950
E02000066,Bexley 002,1414
E02000067,Bexley 003,1261
E02000068,Bexley 004,1166
E02000069,Bexley 005,715
E02000070,Bexley 006,588
E02000071,Bexley 007,611
E02000072,Bexley 008,1402
E02000073,Bexley 009,586
E02000074,Bexley 010,928
E02000075,Bexley 011,505
E02000077,Bexley 013,567
E02000078,Bexley 014,470
E02000079,Bexley 015,989
E02000080,Bexley 016,792
E02000081,Bexley 017,705
E02000082,Bexley 018,538
E02000083,Bexley 019,958
E02000084,Bexley 020,590
E02000085,Bexley 021,498
E02000086,Bexley 022,351
E02000087,Bexley 023,512
E02000088,Bexley 024,394
E02000089,Bexley 025,379
E02000090,Bexley 026,1120
E02000091,Bexley 027,1103
E02000092,Bexley 028,656
E02000093,Brent 001,928
E02000094,Brent 002,1021
E02000095,Brent 003,835
E02000096,Brent 004,486
E02000097,Brent 005,761
E02000098,Brent 006,857
E02000099,Brent 007,842
E02000100,Brent 008,554
E02000101,Brent 009,1307
E02000102,Brent 010,1008
E02000103,Brent 011,1334
E02000104,Brent 012,774
E02000105,Brent 013,1120
E02000106,Brent 014,1665
E02000107,Brent 015,2464
E02000108,Brent 016,703
E02000110,Brent 018,1416
E02000111,Brent 019,1287
E02000112,Brent 020,1690
E02000113,Brent 021,1528
E02000114,Brent 022,2217
E02000115,Brent 023,2181
E02000116,Brent 024,1890
E02000117,Brent 025,2639
E02000118,Brent 026,1290
E02000119,Brent 027,1984
E02000120,Brent 028,2636
E02000121,Brent 029,1595
E02000122,Brent 030,1203
E02000123,Brent 031,3363
E02000124,Brent 032,2082
E02000125,Brent 033,1747
E02000126,Brent 034,2114
E02000127,Bromley 001,1196
E02000128,Bromley 002,498
E02000130,Bromley 004,1331
E02000131,Bromley 005,2400
E02000132,Bromley 006,1677
E02000133,Bromley 007,485
E02000134,Bromley 008,1757
E02000135,Bromley 009,2231
E02000136,Bromley 010,440
E02000137,Bromley 011,781
E02000138,Bromley 012,1044
E02000139,Bromley 013,916
E02000140,Bromley 014,947
E02000141,Bromley 015,998
E02000142,Bromley 016,644
E02000144,Bromley 018,1330
E02000145,Bromley 019,979
E02000146,Bromley 020,974
E02000147,Bromley 021,468
E02000148,Bromley 022,397
E02000149,Bromley 023,735
E02000150,Bromley 024,457
E02000151,Bromley 025,365
E02000152,Bromley 026,698
E02000153,Bromley 027,305
E02000154,Bromley 028,802
E02000155,Bromley 029,556
E02000156,Bromley 030,772
E02000157,Bromley 031,389
E02000158,Bromley 032,608
E02000159,Bromley 033,287
E02000160,Bromley 034,364
E02000161,Bromley 035,406
E02000162,Bromley 036,593
E02000163,Bromley 037,364
E02000165,Bromley 039,216
E02000166,Camden 001,1689
E02000167,Camden 002,1569
E02000168,Camden 003,1960
E02000169,Camden 004,1226
E02000170,Camden 005,1822
E02000171,Camden 006,1813
E02000172,Camden 007,2666
E02000173,Camden 008,2066
E02000174,Camden 009,2311
E02000175,Camden 010,2708
E02000176,Camden 011,1789
E02000177,Camden 012,2358
E02000178,Camden 013,2764
E02000179,Camden 014,1400
E02000180,Camden 015,2344
E02000181,Camden 016,2197
E02000182,Camden 017,1789
E02000183,Camden 018,2083
E02000184,Camden 019,2646
E02000185,Camden 020,2861
E02000186,Camden 021,2042
E02000187,Camden 022,2821
E02000188,Camden 023,1965
E02000191,Camden 026,1709
E02000192,Camden 027,2357
E02000193,Camden 028,2545
E02000194,Croydon 001,1764
E02000195,Croydon 002,843
E02000196,Croydon 003,988
E02000197,Croydon 004,1163
E02000198,Croydon 005,1429
E02000199,Croydon 006,1084
E02000200,Croydon 007,1767
E02000201,Croydon 008,1855
E02000202,Croydon 009,999
E02000203,Croydon 010,1535
E02000204,Croydon 011,1151
E02000206,Croydon 013,2088
E02000207,Croydon 014,1347
