Middle layer Super Output Areas Code,Middle layer Super Output Areas,code_1,code_2,code_3,code_4,code_5,code_6,code_7,code_8,code_9,code_0,total,% Higher_professional,% Lower_professional,%  Intermediate_occupations,% Small_employers,% Lower_supervisory,% Semi_routine,% Routine
E02000001,City of London 001,3176,1914,433,568,134,289,255,437,798,579,8583,37.00337877,22.29989514,5.044856111,6.617732727,1.561225679,3.367121053,2.970989165
E02000002,Barking and Dagenham 001,400,919,612,779,314,741,726,822,671,2297,8281,4.830334501,11.09769352,7.390411786,9.40707644,3.791812583,8.948194662,8.767057119
E02000003,Barking and Dagenham 002,787,1485,1030,1259,364,1010,984,1032,894,2695,11540,6.819757366,12.86828423,8.925476603,10.90987868,3.154246101,8.752166378,8.526863085
E02000004,Barking and Dagenham 003,460,1002,684,638,326,608,615,565,418,1325,6641,6.926667671,15.08808914,10.29965367,9.6069869,4.908899262,9.155247704,9.260653516
E02000005,Barking and Dagenham 004,598,1293,892,988,425,1025,1043,973,747,3096,11080,5.397111913,11.66967509,8.050541516,8.916967509,3.835740072,9.250902527,9.413357401
E02000007,Barking and Dagenham 006,442,1130,805,875,401,998,1076,930,808,2696,10161,4.349965555,11.12095266,7.922448578,8.61135715,3.946461962,9.821867926,10.58950891
E02000008,Barking and Dagenham 007,546,1356,1030,1335,528,1288,1466,1307,995,3399,13250,4.120754717,10.23396226,7.773584906,10.0754717,3.98490566,9.720754717,11.06415094
E02000009,Barking and Dagenham 008,615,1421,888,1215,445,1136,1317,1222,1096,3510,12865,4.78041197,11.04547221,6.902448504,9.444228527,3.458997279,8.830159347,10.23707734
E02000010,Barking and Dagenham 009,400,1069,762,958,355,951,994,871,714,2410,9484,4.217629692,11.27161535,8.034584563,10.10122311,3.743146352,10.02741459,10.48080978
E02000011,Barking and Dagenham 010,334,875,590,798,287,658,698,619,558,1613,7030,4.751066856,12.44665718,8.392603129,11.35135135,4.082503556,9.359886202,9.928876245
E02000012,Barking and Dagenham 011,869,1545,1045,1122,337,804,752,1263,1108,2666,11511,7.549300669,13.42194423,9.078272956,9.747198332,2.927634437,6.984623404,6.532881592
E02000013,Barking and Dagenham 012,391,992,719,928,374,933,1001,908,717,2432,9395,4.161788185,10.55880788,7.653006919,9.877594465,3.980840873,9.930814263,10.65460351
E02000014,Barking and Dagenham 013,379,1055,742,1003,437,984,1179,922,733,2432,9866,3.841475775,10.69329009,7.520778431,10.16622745,4.429353335,9.973646868,11.95013177
E02000015,Barking and Dagenham 014,354,887,599,740,322,844,886,802,598,2200,8232,4.300291545,10.7750243,7.276482021,8.98931001,3.911564626,10.2526725,10.76287658
E02000016,Barking and Dagenham 015,793,1089,635,876,302,840,915,1177,955,2984,10566,7.505205376,10.30664395,6.009842892,8.290743896,2.858224494,7.950028393,8.659852357
E02000017,Barking and Dagenham 016,590,922,662,1123,332,756,861,1050,846,1991,9133,6.460089784,10.09525895,7.248439724,12.2960692,3.635169167,8.277674368,9.427351363
E02000018,Barking and Dagenham 017,384,977,734,987,372,893,961,926,764,2554,9552,4.020100503,10.22822446,7.684254606,10.33291457,3.894472362,9.348827471,10.06072027
E02000019,Barking and Dagenham 018,449,1116,734,839,364,831,999,941,752,2641,9666,4.645147941,11.54562384,7.593627147,8.679908959,3.76577695,8.597144631,10.33519553
E02000020,Barking and Dagenham 019,889,1656,1001,1343,482,1131,1182,1391,1189,3791,14055,6.325151192,11.78228388,7.122020633,9.555318392,3.429384561,8.046958378,8.40981857
E02000021,Barking and Dagenham 020,321,928,712,837,336,826,913,804,691,2391,8759,3.664801918,10.59481676,8.128781824,9.555885375,3.836054344,9.430300263,10.42356433
E02000022,Barking and Dagenham 021,474,889,516,619,237,629,584,666,803,2324,7741,6.123239891,11.48430435,6.665805451,7.996382896,3.061619946,8.125565172,7.54424493
E02000023,Barking and Dagenham 022,301,858,568,609,270,663,759,804,775,2413,8020,3.753117207,10.69825436,7.082294264,7.593516209,3.366583541,8.266832918,9.463840399
E02000024,Barnet 001,2099,2379,941,1058,261,608,443,558,576,1918,10841,19.3616825,21.94447007,8.680011069,9.759247302,2.407526981,5.608338714,4.086338899
E02000025,Barnet 002,1305,1665,804,891,296,516,418,593,499,1595,8582,15.20624563,19.40107201,9.368445584,10.38219529,3.449079469,6.012584479,4.87065952
E02000026,Barnet 003,1045,1244,632,722,164,343,258,416,390,1241,6455,16.18900077,19.27188226,9.790859799,11.18512781,2.54066615,5.313710302,3.996901627
E02000027,Barnet 004,1169,1608,836,922,302,765,691,778,656,1920,9647,12.11775682,16.66839432,8.665906499,9.55737535,3.130506893,7.929926402,7.162848554
E02000028,Barnet 005,1102,1303,556,689,164,421,285,414,372,1228,6534,16.86562596,19.94184267,8.509335782,10.54484236,2.509947964,6.44322008,4.361799816
E02000029,Barnet 006,1177,1594,877,1040,267,624,592,688,580,2240,9679,12.16034714,16.46864345,9.060853394,10.74491166,2.758549437,6.446946999,6.116334332
E02000030,Barnet 007,1746,1700,785,1173,205,496,374,654,585,1740,9458,18.46056249,17.97420173,8.299851977,12.4021992,2.167477268,5.244237682,3.954324381
E02000031,Barnet 008,1785,1608,700,836,160,392,326,581,422,1521,8331,21.42599928,19.30140439,8.402352659,10.03480975,1.920537751,4.705317489,3.913095667
E02000032,Barnet 009,1281,1387,776,967,191,413,381,520,512,1515,7943,16.12740778,17.46191615,9.76960846,12.17424147,2.40463301,5.199546771,4.796676319
E02000033,Barnet 010,1012,1525,828,1019,294,650,544,750,523,1746,8891,11.3822967,17.15217636,9.312788213,11.46102801,3.306714655,7.310763694,6.118546845
E02000034,Barnet 011,1365,1573,802,1062,262,559,477,604,573,1807,9084,15.02642008,17.31616028,8.828709819,11.69088507,2.884191986,6.153676794,5.250990753
E02000035,Barnet 012,1616,1538,660,933,195,495,435,741,471,1446,8530,18.94490035,18.03048066,7.737397421,10.93786635,2.286049238,5.803048066,5.0996483
E02000036,Barnet 013,1330,1787,975,1385,283,733,567,886,703,2596,11245,11.82747888,15.89150734,8.670520231,12.31658515,2.516674077,6.518452646,5.042240996
E02000037,Barnet 014,1736,1791,980,1177,179,563,371,721,694,2623,10835,16.02215044,16.52976465,9.044762344,10.86294416,1.65205353,5.196123673,3.424088602
E02000038,Barnet 015,1525,1837,868,1290,252,662,584,913,711,2077,10719,14.22707342,17.1377927,8.097770314,12.03470473,2.350965575,6.175949249,5.448269428
E02000039,Barnet 016,1286,1308,514,922,118,351,320,404,433,1512,7168,17.94084821,18.24776786,7.170758929,12.86272321,1.646205357,4.896763393,4.464285714
E02000040,Barnet 017,1643,1580,643,974,201,483,385,622,718,1889,9138,17.9798643,17.29043554,7.036550668,10.65878748,2.199606041,5.285620486,4.21317575
E02000041,Barnet 018,1037,1343,840,1288,270,642,573,780,676,2007,9456,10.96658206,14.20262267,8.883248731,13.62098139,2.855329949,6.789340102,6.05964467
E02000042,Barnet 019,1681,2026,818,1326,314,712,656,1131,742,2153,11559,14.54278052,17.52746777,7.076736742,11.47158059,2.716497967,6.159702396,5.675231421
E02000043,Barnet 020,1635,1415,575,724,133,282,231,492,404,1679,7570,21.5984148,18.69220608,7.595772787,9.564068692,1.756935271,3.725231176,3.051519155
E02000044,Barnet 021,843,1245,742,968,283,682,678,784,650,1969,8844,9.531886024,14.07734057,8.389868838,10.94527363,3.199909543,7.711442786,7.666214383
E02000045,Barnet 022,1230,1657,798,1227,312,760,674,889,736,2240,10523,11.68868193,15.74646013,7.583388767,11.66017295,2.964933954,7.222275017,6.405017581
E02000046,Barnet 023,1314,1371,518,770,186,350,345,472,375,1262,6963,18.87117622,19.68978888,7.439322131,11.05845182,2.671262387,5.026569008,4.954760879
E02000047,Barnet 024,730,1377,931,1531,459,1049,1112,1328,1062,2816,12395,5.889471561,11.10931827,7.511093183,12.35175474,3.703106091,8.463089956,8.971359419
E02000048,Barnet 025,1861,1760,810,1176,184,545,358,704,690,2196,10284,18.09607157,17.11396344,7.876312719,11.43523921,1.789187087,5.29949436,3.481135745
E02000049,Barnet 026,874,1259,743,952,348,885,821,1125,1013,2512,10532,8.2985188,11.95404482,7.054690467,9.039118876,3.304215724,8.4029624,7.795290543
E02000050,Barnet 027,1502,1789,765,995,280,685,660,885,806,2013,10380,14.47013487,17.23506744,7.369942197,9.585741811,2.697495183,6.599229287,6.358381503
