Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_Managers,2_Professional,3_Associate,4_Administrative,5_Skilled,6_Caring,7_Sales,8_Process,9_Elementary,0_notapply,total,1_%,2_%,3_%,4_%,5_%,6_%,7_%,8_%,9_%
E02000001,City of London 001,1104,2349,1027,267,97,152,122,50,178,3232,8578,12.8701329,27.3840056,11.97248776,3.112613663,1.13079972,1.771974819,1.422242947,0.582886454,2.075075775
E02000002,Barking and Dagenham 001,277,533,308,298,414,378,254,300,478,5043,8283,3.344198962,6.434866594,3.718459495,3.597730291,4.998189062,4.563563926,3.066521792,3.621876132,5.77085597
E02000003,Barking and Dagenham 002,512,912,539,567,580,519,427,434,748,6304,11542,4.435972968,7.90157685,4.66990123,4.912493502,5.025125628,4.496621036,3.699532143,3.760180211,6.480679258
E02000004,Barking and Dagenham 003,262,614,350,343,390,302,216,280,357,3526,6640,3.945783133,9.246987952,5.271084337,5.165662651,5.873493976,4.548192771,3.253012048,4.21686747,5.376506024
E02000005,Barking and Dagenham 004,432,784,509,467,558,562,434,449,669,6220,11084,3.897509924,7.073258751,4.59220498,4.213280404,5.034283652,5.070371707,3.915553952,4.050884157,6.035727174
E02000007,Barking and Dagenham 006,301,685,409,382,453,573,366,382,718,5893,10162,2.962015351,6.740799055,4.024798268,3.759102539,4.457783901,5.638653808,3.601653218,3.759102539,7.06553828
E02000008,Barking and Dagenham 007,472,758,535,471,745,684,511,569,956,7551,13252,3.561726532,5.719891337,4.037126471,3.554180501,5.621792937,5.161485059,3.856021733,4.293691518,7.214005433
E02000009,Barking and Dagenham 008,417,806,535,509,634,615,464,528,924,7432,12864,3.241604478,6.265547264,4.158893035,3.956778607,4.928482587,4.780783582,3.606965174,4.104477612,7.182835821
E02000010,Barking and Dagenham 009,304,623,373,399,582,534,320,378,718,5254,9485,3.205060622,6.568265683,3.93252504,4.206642066,6.136004217,5.629942014,3.373748023,3.985239852,7.569847127
E02000011,Barking and Dagenham 010,256,454,300,287,407,343,218,348,486,3930,7029,3.642054346,6.458955755,4.268032437,4.083084365,5.79029734,4.879783753,3.101436904,4.950917627,6.914212548
