Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_outright
E02000001,City of London 001,1114
E02000002,Barking and Dagenham 001,507
E02000003,Barking and Dagenham 002,942
E02000004,Barking and Dagenham 003,649
E02000005,Barking and Dagenham 004,582
E02000007,Barking and Dagenham 006,474
E02000008,Barking and Dagenham 007,683
E02000009,Barking and Dagenham 008,472
E02000010,Barking and Dagenham 009,484
E02000011,Barking and Dagenham 010,584
E02000012,Barking and Dagenham 011,861
E02000013,Barking and Dagenham 012,473
E02000014,Barking and Dagenham 013,502
E02000015,Barking and Dagenham 014,375
E02000016,Barking and Dagenham 015,216
E02000017,Barking and Dagenham 016,579
E02000018,Barking and Dagenham 017,420
E02000019,Barking and Dagenham 018,405
E02000020,Barking and Dagenham 019,530
E02000021,Barking and Dagenham 020,550
E02000022,Barking and Dagenham 021,111
E02000023,Barking and Dagenham 022,194
E02000024,Barnet 001,1640
E02000025,Barnet 002,1061
E02000026,Barnet 003,961
E02000027,Barnet 004,908
E02000028,Barnet 005,871
E02000029,Barnet 006,930
E02000030,Barnet 007,1417
E02000031,Barnet 008,1078
E02000032,Barnet 009,1154
E02000033,Barnet 010,1087
E02000034,Barnet 011,1044
E02000035,Barnet 012,971
E02000036,Barnet 013,1128
E02000037,Barnet 014,1133
E02000038,Barnet 015,1112
E02000039,Barnet 016,850
E02000040,Barnet 017,936
E02000041,Barnet 018,937
E02000042,Barnet 019,1186
E02000043,Barnet 020,985
E02000044,Barnet 021,576
E02000045,Barnet 022,905
E02000046,Barnet 023,685
E02000047,Barnet 024,696
E02000048,Barnet 025,1242
E02000049,Barnet 026,278
E02000050,Barnet 027,938
E02000051,Barnet 028,1234
E02000052,Barnet 029,1069
E02000054,Barnet 031,664
E02000055,Barnet 032,915
E02000056,Barnet 033,1289
E02000057,Barnet 034,624
E02000058,Barnet 035,1349
E02000059,Barnet 036,875
E02000060,Barnet 037,911
E02000061,Barnet 038,908
E02000062,Barnet 039,416
E02000063,Barnet 040,700
E02000064,Barnet 041,527
E02000065,Bexley 001,375
E02000066,Bexley 002,536
E02000067,Bexley 003,791
E02000068,Bexley 004,512
E02000069,Bexley 005,819
E02000070,Bexley 006,1312
E02000071,Bexley 007,973
E02000072,Bexley 008,646
E02000073,Bexley 009,1740
E02000074,Bexley 010,685
E02000075,Bexley 011,1526
E02000077,Bexley 013,1043
E02000078,Bexley 014,1198
E02000079,Bexley 015,1304
E02000080,Bexley 016,1454
E02000081,Bexley 017,1218
E02000082,Bexley 018,1382
E02000083,Bexley 019,1126
E02000084,Bexley 020,1719
E02000085,Bexley 021,1168
E02000086,Bexley 022,1227
E02000087,Bexley 023,1396
E02000088,Bexley 024,1272
E02000089,Bexley 025,1216
E02000090,Bexley 026,1342
E02000091,Bexley 027,1648
E02000092,Bexley 028,697
E02000093,Brent 001,1177
E02000094,Brent 002,833
E02000095,Brent 003,1052
E02000096,Brent 004,1035
E02000097,Brent 005,931
E02000098,Brent 006,703
E02000099,Brent 007,722
E02000100,Brent 008,975
E02000101,Brent 009,650
E02000102,Brent 010,621
E02000103,Brent 011,775
E02000104,Brent 012,674
E02000105,Brent 013,699
E02000106,Brent 014,737
E02000107,Brent 015,743
E02000108,Brent 016,555
E02000110,Brent 018,743
E02000111,Brent 019,699
E02000112,Brent 020,857
E02000113,Brent 021,348
E02000114,Brent 022,570
E02000115,Brent 023,542
E02000116,Brent 024,340
E02000117,Brent 025,452
E02000118,Brent 026,710
E02000119,Brent 027,197
E02000120,Brent 028,580
E02000121,Brent 029,784
E02000122,Brent 030,818
E02000123,Brent 031,560
E02000124,Brent 032,827
E02000125,Brent 033,938
E02000126,Brent 034,188
E02000127,Bromley 001,733
E02000128,Bromley 002,1007
E02000130,Bromley 004,845
E02000131,Bromley 005,535
E02000132,Bromley 006,1168
E02000133,Bromley 007,1759
E02000134,Bromley 008,1183
E02000135,Bromley 009,358
E02000136,Bromley 010,875
E02000137,Bromley 011,1232
E02000138,Bromley 012,1574
E02000139,Bromley 013,802
E02000140,Bromley 014,619
E02000141,Bromley 015,770
E02000142,Bromley 016,1172
E02000144,Bromley 018,1176
E02000145,Bromley 019,747
E02000146,Bromley 020,1085
E02000147,Bromley 021,1363
E02000148,Bromley 022,1169
E02000149,Bromley 023,995
E02000150,Bromley 024,1132
E02000151,Bromley 025,1401
E02000152,Bromley 026,762
E02000153,Bromley 027,1242
E02000154,Bromley 028,1312
E02000155,Bromley 029,1403
E02000156,Bromley 030,2213
E02000157,Bromley 031,1609
E02000158,Bromley 032,1191
E02000159,Bromley 033,1318
E02000160,Bromley 034,1350
E02000161,Bromley 035,1540
E02000162,Bromley 036,1192
E02000163,Bromley 037,1371
E02000165,Bromley 039,1057
E02000166,Camden 001,867
E02000167,Camden 002,1143
E02000168,Camden 003,713
E02000169,Camden 004,890
E02000170,Camden 005,715
E02000171,Camden 006,736
E02000172,Camden 007,433
E02000173,Camden 008,728
E02000174,Camden 009,484
E02000175,Camden 010,592
E02000176,Camden 011,653
E02000177,Camden 012,438
E02000178,Camden 013,365
E02000179,Camden 014,531
E02000180,Camden 015,461
E02000181,Camden 016,650
E02000182,Camden 017,576
