Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_with_mortgage
E02000001,City of London 001,680
E02000002,Barking and Dagenham 001,729
E02000003,Barking and Dagenham 002,1244
E02000004,Barking and Dagenham 003,894
E02000005,Barking and Dagenham 004,1300
E02000007,Barking and Dagenham 006,979
E02000008,Barking and Dagenham 007,1341
E02000009,Barking and Dagenham 008,1074
E02000010,Barking and Dagenham 009,961
E02000011,Barking and Dagenham 010,725
E02000012,Barking and Dagenham 011,1355
E02000013,Barking and Dagenham 012,855
E02000014,Barking and Dagenham 013,905
E02000015,Barking and Dagenham 014,561
E02000016,Barking and Dagenham 015,510
E02000017,Barking and Dagenham 016,707
E02000018,Barking and Dagenham 017,859
E02000019,Barking and Dagenham 018,931
E02000020,Barking and Dagenham 019,1346
E02000021,Barking and Dagenham 020,837
E02000022,Barking and Dagenham 021,372
E02000023,Barking and Dagenham 022,603
E02000024,Barnet 001,1383
E02000025,Barnet 002,1079
E02000026,Barnet 003,835
E02000027,Barnet 004,1062
E02000028,Barnet 005,852
E02000029,Barnet 006,1169
E02000030,Barnet 007,1218
E02000031,Barnet 008,1127
E02000032,Barnet 009,1095
E02000033,Barnet 010,1103
E02000034,Barnet 011,1094
E02000035,Barnet 012,810
E02000036,Barnet 013,1248
E02000037,Barnet 014,1203
E02000038,Barnet 015,1263
E02000039,Barnet 016,950
E02000040,Barnet 017,1221
E02000041,Barnet 018,816
E02000042,Barnet 019,1042
E02000043,Barnet 020,882
E02000044,Barnet 021,770
E02000045,Barnet 022,1080
E02000046,Barnet 023,643
E02000047,Barnet 024,822
E02000048,Barnet 025,1286
E02000049,Barnet 026,743
E02000050,Barnet 027,977
E02000051,Barnet 028,851
E02000052,Barnet 029,1057
E02000054,Barnet 031,711
E02000055,Barnet 032,794
E02000056,Barnet 033,1055
E02000057,Barnet 034,611
E02000058,Barnet 035,953
E02000059,Barnet 036,1050
E02000060,Barnet 037,754
E02000061,Barnet 038,680
E02000062,Barnet 039,380
E02000063,Barnet 040,557
E02000064,Barnet 041,587
E02000065,Bexley 001,807
E02000066,Bexley 002,569
E02000067,Bexley 003,1187
E02000068,Bexley 004,809
E02000069,Bexley 005,1015
E02000070,Bexley 006,1113
E02000071,Bexley 007,1027
E02000072,Bexley 008,1544
E02000073,Bexley 009,1701
E02000074,Bexley 010,993
E02000075,Bexley 011,1138
E02000077,Bexley 013,1193
E02000078,Bexley 014,1328
E02000079,Bexley 015,1256
E02000080,Bexley 016,1461
E02000081,Bexley 017,1166
E02000082,Bexley 018,1580
E02000083,Bexley 019,1709
E02000084,Bexley 020,1806
E02000085,Bexley 021,1361
E02000086,Bexley 022,1188
E02000087,Bexley 023,1252
E02000088,Bexley 024,1315
E02000089,Bexley 025,1291
E02000090,Bexley 026,1361
E02000091,Bexley 027,1331
E02000092,Bexley 028,765
E02000093,Brent 001,902
E02000094,Brent 002,958
E02000095,Brent 003,680
E02000096,Brent 004,737
E02000097,Brent 005,791
E02000098,Brent 006,622
E02000099,Brent 007,578
E02000100,Brent 008,718
E02000101,Brent 009,567
E02000102,Brent 010,356
E02000103,Brent 011,573
E02000104,Brent 012,542
E02000105,Brent 013,660
E02000106,Brent 014,475
E02000107,Brent 015,690
E02000108,Brent 016,598
E02000110,Brent 018,605
E02000111,Brent 019,604
E02000112,Brent 020,532
E02000113,Brent 021,297
E02000114,Brent 022,521
E02000115,Brent 023,609
E02000116,Brent 024,334
E02000117,Brent 025,537
E02000118,Brent 026,745
E02000119,Brent 027,437
E02000120,Brent 028,736
E02000121,Brent 029,683
E02000122,Brent 030,847
E02000123,Brent 031,670
E02000124,Brent 032,958
E02000125,Brent 033,977
E02000126,Brent 034,341
E02000127,Bromley 001,1121
E02000128,Bromley 002,1206
E02000130,Bromley 004,1314
E02000131,Bromley 005,1546
E02000132,Bromley 006,1381
E02000133,Bromley 007,1734
E02000134,Bromley 008,1652
E02000135,Bromley 009,813
E02000136,Bromley 010,771
E02000137,Bromley 011,1288
E02000138,Bromley 012,1174
E02000139,Bromley 013,1347
E02000140,Bromley 014,933
E02000141,Bromley 015,1175
E02000142,Bromley 016,1400
E02000144,Bromley 018,1418
E02000145,Bromley 019,1011
E02000146,Bromley 020,1638
E02000147,Bromley 021,1201
E02000148,Bromley 022,1031
E02000149,Bromley 023,1143
E02000150,Bromley 024,1356
E02000151,Bromley 025,1263
E02000152,Bromley 026,1119
E02000153,Bromley 027,1392
E02000154,Bromley 028,1249
E02000155,Bromley 029,1049
E02000156,Bromley 030,1805
E02000157,Bromley 031,1300
E02000158,Bromley 032,934
E02000159,Bromley 033,1120
E02000160,Bromley 034,1222
E02000161,Bromley 035,1374
E02000162,Bromley 036,967
E02000163,Bromley 037,1208
E02000165,Bromley 039,1306
E02000166,Camden 001,639
E02000167,Camden 002,633
E02000168,Camden 003,702
E02000169,Camden 004,637
E02000170,Camden 005,815
E02000171,Camden 006,656
E02000172,Camden 007,466
E02000173,Camden 008,517
E02000174,Camden 009,541
E02000175,Camden 010,669
E02000176,Camden 011,503
E02000177,Camden 012,472
E02000178,Camden 013,612
E02000179,Camden 014,380
E02000180,Camden 015,477
E02000181,Camden 016,665
E02000182,Camden 017,410
E02000183,Camden 018,545
E02000184,Camden 019,337
E02000185,Camden 020,413
E02000186,Camden 021,320
E02000187,Camden 022,197
E02000188,Camden 023,133
E02000191,Camden 026,187
E02000192,Camden 027,262
E02000193,Camden 028,252
E02000194,Croydon 001,1255
E02000195,Croydon 002,1341
E02000196,Croydon 003,772
E02000197,Croydon 004,918
E02000198,Croydon 005,1017
E02000199,Croydon 006,1140
E02000200,Croydon 007,1332
E02000201,Croydon 008,891
E02000202,Croydon 009,985
E02000203,Croydon 010,728
E02000204,Croydon 011,857
E02000206,Croydon 013,1081
E02000207,Croydon 014,1031
E02000208,Croydon 015,781
E02000209,Croydon 016,975
E02000210,Croydon 017,1240
E02000211,Croydon 018,1370
E02000212,Croydon 019,780
E02000213,Croydon 020,770
E02000214,Croydon 021,869
E02000215,Croydon 022,1139
E02000216,Croydon 023,703
E02000217,Croydon 024,1347
E02000218,Croydon 025,652
E02000219,Croydon 026,1080
E02000221,Croydon 028,1093
E02000222,Croydon 029,1265
E02000223,Croydon 030,417
E02000224,Croydon 031,1176
E02000225,Croydon 032,721
E02000226,Croydon 033,1125
E02000227,Croydon 034,1767
E02000228,Croydon 035,1188
E02000229,Croydon 036,513
E02000230,Croydon 037,1467
E02000231,Croydon 038,1225
E02000232,Croydon 039,906
E02000233,Croydon 040,1047
E02000234,Croydon 041,1349
E02000235,Croydon 042,1131
E02000236,Croydon 043,1706
E02000237,Croydon 044,1159
E02000238,Ealing 001,1041
E02000239,Ealing 002,911
E02000240,Ealing 003,993
E02000241,Ealing 004,798
E02000242,Ealing 005,654
E02000243,Ealing 006,760
E02000244,Ealing 007,729
E02000245,Ealing 008,663
E02000246,Ealing 009,857
E02000247,Ealing 010,1014
E02000248,Ealing 011,595
E02000249,Ealing 012,698
E02000250,Ealing 013,823
E02000251,Ealing 014,772
E02000252,Ealing 015,536
E02000253,Ealing 016,823
E02000254,Ealing 017,667
E02000255,Ealing 018,967
E02000256,Ealing 019,842
E02000258,Ealing 021,538
E02000259,Ealing 022,711
E02000260,Ealing 023,464
E02000261,Ealing 024,828
E02000262,Ealing 025,792
E02000263,Ealing 026,614
E02000264,Ealing 027,775
E02000265,Ealing 028,1040
E02000266,Ealing 029,832
E02000267,Ealing 030,915
E02000268,Ealing 031,966
E02000269,Ealing 032,966
E02000270,Ealing 033,966
E02000271,Ealing 034,954
E02000272,Ealing 035,850
E02000275,Ealing 038,455
E02000276,Ealing 039,834
E02000277,Enfield 001,701
E02000278,Enfield 002,635
E02000279,Enfield 003,1053
E02000280,Enfield 004,1098
E02000281,Enfield 005,1016
E02000282,Enfield 006,620
E02000283,Enfield 007,807
E02000284,Enfield 008,1165
E02000285,Enfield 009,968
E02000286,Enfield 010,1224
E02000287,Enfield 011,955
E02000288,Enfield 012,918
E02000289,Enfield 013,918
E02000290,Enfield 014,498
E02000291,Enfield 015,1074
E02000292,Enfield 016,1278
E02000293,Enfield 017,850
E02000294,Enfield 018,748
E02000295,Enfield 019,1010
E02000296,Enfield 020,884
E02000297,Enfield 021,1254
E02000298,Enfield 022,1173
E02000299,Enfield 023,621
E02000300,Enfield 024,674
E02000301,Enfield 025,578
E02000302,Enfield 026,990
E02000303,Enfield 027,530
E02000304,Enfield 028,1036
E02000305,Enfield 029,1084
E02000306,Enfield 030,396
E02000307,Enfield 031,953
E02000308,Enfield 032,790
E02000309,Enfield 033,729
E02000311,Enfield 035,861
E02000312,Enfield 036,1007
E02000313,Greenwich 001,348
E02000314,Greenwich 002,1173
E02000315,Greenwich 003,756
E02000317,Greenwich 005,452
E02000318,Greenwich 006,748
E02000319,Greenwich 007,788
E02000320,Greenwich 008,648
E02000321,Greenwich 009,494
E02000323,Greenwich 011,819
E02000324,Greenwich 012,523
E02000326,Greenwich 014,905
E02000327,Greenwich 015,502
E02000328,Greenwich 016,836
E02000329,Greenwich 017,729
E02000331,Greenwich 019,821
E02000332,Greenwich 020,961
E02000333,Greenwich 021,764
E02000334,Greenwich 022,886
E02000335,Greenwich 023,1040
E02000337,Greenwich 025,859
E02000339,Greenwich 027,822
E02000340,Greenwich 028,880
E02000341,Greenwich 029,737
E02000342,Greenwich 030,707
E02000343,Greenwich 031,836
E02000344,Greenwich 032,966
E02000345,Hackney 001,280
E02000346,Hackney 002,327
E02000347,Hackney 003,315
E02000348,Hackney 004,213
E02000350,Hackney 006,638
E02000351,Hackney 007,794
E02000352,Hackney 008,534
E02000353,Hackney 009,755
E02000354,Hackney 010,709
E02000355,Hackney 011,700
E02000356,Hackney 012,796
E02000357,Hackney 013,274
E02000358,Hackney 014,875
E02000359,Hackney 015,593
E02000360,Hackney 016,562
E02000361,Hackney 017,527
E02000362,Hackney 018,445
E02000363,Hackney 019,495
E02000364,Hackney 020,730
E02000366,Hackney 022,474
E02000367,Hackney 023,756
E02000368,Hackney 024,507
E02000369,Hackney 025,667
E02000370,Hackney 026,467
E02000372,Hammersmith and Fulham 001,368
E02000373,Hammersmith and Fulham 002,269
E02000374,Hammersmith and Fulham 003,464
E02000375,Hammersmith and Fulham 004,379
E02000376,Hammersmith and Fulham 005,425
E02000377,Hammersmith and Fulham 006,530
E02000378,Hammersmith and Fulham 007,521
E02000379,Hammersmith and Fulham 008,710
E02000380,Hammersmith and Fulham 009,540
E02000381,Hammersmith and Fulham 010,601
E02000382,Hammersmith and Fulham 011,478
