Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_Level1,2_Level2,3_Apprenticeship,4_Level3,5_level4,6_other,0_no,0_notapply,total,%_Level4
E02000001,City of London 001,223,392,80,708,5939,135,529,579,8585,69.17880023
E02000002,Barking and Dagenham 001,642,786,251,820,1850,203,1433,2297,8282,22.33759961
E02000003,Barking and Dagenham 002,917,1102,359,1250,3010,326,1885,2695,11544,26.07415107
E02000004,Barking and Dagenham 003,560,663,273,777,1634,159,1249,1325,6640,24.60843373
E02000005,Barking and Dagenham 004,789,1015,315,1087,2699,305,1779,3096,11085,24.34821831
E02000007,Barking and Dagenham 006,794,983,312,985,2367,248,1777,2696,10162,23.29265893
E02000008,Barking and Dagenham 007,1070,1365,395,1332,2809,396,2484,3399,13250,21.2
E02000009,Barking and Dagenham 008,921,1219,367,1285,3134,351,2077,3510,12864,24.36256219
E02000010,Barking and Dagenham 009,763,903,298,962,2193,271,1685,2410,9485,23.12071692
E02000011,Barking and Dagenham 010,558,654,254,681,1687,204,1380,1613,7031,23.993742
E02000012,Barking and Dagenham 011,902,1160,270,1423,3022,359,1709,2666,11511,26.25314916
E02000013,Barking and Dagenham 012,749,895,309,887,2095,224,1806,2432,9397,22.29434926
E02000014,Barking and Dagenham 013,836,1021,328,960,2100,261,1927,2432,9865,21.28737962
E02000015,Barking and Dagenham 014,592,838,255,777,1967,202,1395,2200,8226,23.91198638
E02000016,Barking and Dagenham 015,668,751,222,937,3329,310,1365,2984,10566,31.50671967
E02000017,Barking and Dagenham 016,792,834,218,880,2473,292,1652,1991,9132,27.08059571
E02000018,Barking and Dagenham 017,765,850,319,928,2217,245,1673,2554,9551,23.21222909
E02000019,Barking and Dagenham 018,763,900,255,976,2231,253,1644,2641,9663,23.08806789
E02000020,Barking and Dagenham 019,948,1179,330,1341,3869,391,2206,3791,14055,27.52757026
E02000021,Barking and Dagenham 020,737,813,249,843,2001,237,1488,2391,8759,22.84507364
E02000022,Barking and Dagenham 021,507,599,136,737,2322,212,903,2324,7740,30
E02000023,Barking and Dagenham 022,551,731,209,719,2071,180,1145,2413,8019,25.82616286
E02000024,Barnet 001,549,884,294,1060,4976,204,956,1918,10841,45.89982474
E02000025,Barnet 002,524,719,215,1003,3374,176,978,1595,8584,39.305685
E02000026,Barnet 003,356,615,175,741,2434,137,758,1241,6457,37.69552424
E02000027,Barnet 004,719,935,277,1049,3118,216,1413,1920,9647,32.32092879
E02000028,Barnet 005,382,604,180,696,2628,148,665,1228,6531,40.23886082
E02000029,Barnet 006,650,846,352,1016,3211,242,1121,2240,9678,33.17834263
E02000030,Barnet 007,488,865,248,1015,3711,195,1193,1740,9455,39.24907456
E02000031,Barnet 008,372,624,163,783,3847,170,851,1521,8331,46.17692954
E02000032,Barnet 009,463,745,226,861,3017,181,931,1515,7939,38.00226729
E02000033,Barnet 010,621,842,291,1015,3052,206,1118,1746,8891,34.32684737
E02000034,Barnet 011,458,740,278,984,3556,229,1033,1807,9085,39.14144194
E02000035,Barnet 012,392,605,194,758,3932,204,1001,1446,8532,46.08532583
E02000036,Barnet 013,670,937,294,1165,3854,294,1434,2596,11244,34.27605834
E02000037,Barnet 014,597,902,240,999,4039,265,1169,2623,10834,37.28078272
E02000038,Barnet 015,575,895,275,1042,4194,248,1413,2077,10719,39.12678421
E02000039,Barnet 016,365,573,153,658,2989,154,765,1512,7169,41.69340215
