Middle layer Super Output Areas Code,Middle layer Super Output Areas,Semi_detached
E02000001,City of London 001,15
E02000002,Barking and Dagenham 001,783
E02000003,Barking and Dagenham 002,1075
E02000004,Barking and Dagenham 003,898
E02000005,Barking and Dagenham 004,812
E02000007,Barking and Dagenham 006,906
E02000008,Barking and Dagenham 007,1069
E02000009,Barking and Dagenham 008,942
E02000010,Barking and Dagenham 009,795
E02000011,Barking and Dagenham 010,606
E02000012,Barking and Dagenham 011,832
E02000013,Barking and Dagenham 012,889
E02000014,Barking and Dagenham 013,680
E02000015,Barking and Dagenham 014,632
E02000016,Barking and Dagenham 015,167
E02000017,Barking and Dagenham 016,503
E02000018,Barking and Dagenham 017,674
E02000019,Barking and Dagenham 018,815
E02000020,Barking and Dagenham 019,897
E02000021,Barking and Dagenham 020,734
E02000022,Barking and Dagenham 021,94
E02000023,Barking and Dagenham 022,399
E02000024,Barnet 001,1436
E02000025,Barnet 002,1127
E02000026,Barnet 003,1165
E02000027,Barnet 004,1321
E02000028,Barnet 005,1003
E02000029,Barnet 006,1021
E02000030,Barnet 007,1151
E02000031,Barnet 008,865
E02000032,Barnet 009,1771
E02000033,Barnet 010,1162
E02000034,Barnet 011,1102
E02000035,Barnet 012,632
E02000036,Barnet 013,1896
E02000037,Barnet 014,1338
E02000038,Barnet 015,1130
E02000039,Barnet 016,623
E02000040,Barnet 017,1006
E02000041,Barnet 018,1410
E02000042,Barnet 019,879
E02000043,Barnet 020,1593
E02000044,Barnet 021,723
E02000045,Barnet 022,860
E02000046,Barnet 023,690
E02000047,Barnet 024,981
E02000048,Barnet 025,1622
E02000049,Barnet 026,369
E02000050,Barnet 027,695
E02000051,Barnet 028,634
E02000052,Barnet 029,450
E02000054,Barnet 031,810
E02000055,Barnet 032,599
E02000056,Barnet 033,1110
E02000057,Barnet 034,670
E02000058,Barnet 035,1255
E02000059,Barnet 036,803
E02000060,Barnet 037,1202
E02000061,Barnet 038,809
E02000062,Barnet 039,523
E02000063,Barnet 040,1248
E02000064,Barnet 041,312
E02000065,Bexley 001,510
E02000066,Bexley 002,415
E02000067,Bexley 003,768
E02000068,Bexley 004,536
E02000069,Bexley 005,797
E02000070,Bexley 006,1762
E02000071,Bexley 007,1244
E02000072,Bexley 008,1297
E02000073,Bexley 009,3508
E02000074,Bexley 010,1621
E02000075,Bexley 011,2157
E02000077,Bexley 013,2148
E02000078,Bexley 014,1756
E02000079,Bexley 015,1484
E02000080,Bexley 016,2401
E02000081,Bexley 017,1740
E02000082,Bexley 018,1659
E02000083,Bexley 019,1766
E02000084,Bexley 020,2281
E02000085,Bexley 021,1232
E02000086,Bexley 022,1291
E02000087,Bexley 023,1248
E02000088,Bexley 024,1509
E02000089,Bexley 025,1997
E02000090,Bexley 026,974
E02000091,Bexley 027,1582
E02000092,Bexley 028,957
E02000093,Brent 001,1645
E02000094,Brent 002,1300
E02000095,Brent 003,1635
E02000096,Brent 004,1300
E02000097,Brent 005,1299
E02000098,Brent 006,1130
E02000099,Brent 007,1252
E02000100,Brent 008,1318
E02000101,Brent 009,552
E02000102,Brent 010,504
E02000103,Brent 011,1043
E02000104,Brent 012,1072
E02000105,Brent 013,1003
E02000106,Brent 014,929
E02000107,Brent 015,512
E02000108,Brent 016,539
E02000110,Brent 018,851
E02000111,Brent 019,1002
E02000112,Brent 020,810
E02000113,Brent 021,698
E02000114,Brent 022,242
E02000115,Brent 023,174
E02000116,Brent 024,197
E02000117,Brent 025,413
E02000118,Brent 026,833
E02000119,Brent 027,236
E02000120,Brent 028,88
E02000121,Brent 029,723
E02000122,Brent 030,716
E02000123,Brent 031,421
E02000124,Brent 032,245
E02000125,Brent 033,419
E02000126,Brent 034,57
E02000127,Bromley 001,872
E02000128,Bromley 002,1091
E02000130,Bromley 004,791
E02000131,Bromley 005,235
E02000132,Bromley 006,392
E02000133,Bromley 007,596
E02000134,Bromley 008,765
E02000135,Bromley 009,378
E02000136,Bromley 010,664
E02000137,Bromley 011,719
E02000138,Bromley 012,356
E02000139,Bromley 013,1082
E02000140,Bromley 014,1357
E02000141,Bromley 015,459
E02000142,Bromley 016,731
E02000144,Bromley 018,855
E02000145,Bromley 019,1162
E02000146,Bromley 020,1129
E02000147,Bromley 021,763
E02000148,Bromley 022,1422
E02000149,Bromley 023,1523
E02000150,Bromley 024,844
E02000151,Bromley 025,1753
E02000152,Bromley 026,1053
E02000153,Bromley 027,2071
E02000154,Bromley 028,931
E02000155,Bromley 029,2006
E02000156,Bromley 030,2288
E02000157,Bromley 031,1205
E02000158,Bromley 032,1357
E02000159,Bromley 033,816
E02000160,Bromley 034,1733
E02000161,Bromley 035,1724
E02000162,Bromley 036,885
E02000163,Bromley 037,1077
E02000165,Bromley 039,714
E02000166,Camden 001,298
E02000167,Camden 002,411
E02000168,Camden 003,178
E02000169,Camden 004,307
E02000170,Camden 005,286
E02000171,Camden 006,190
E02000172,Camden 007,85
E02000173,Camden 008,148
E02000174,Camden 009,169
E02000175,Camden 010,102
E02000176,Camden 011,71
E02000177,Camden 012,81
E02000178,Camden 013,75
E02000179,Camden 014,107
E02000180,Camden 015,162
E02000181,Camden 016,72
E02000182,Camden 017,91
E02000183,Camden 018,143
E02000184,Camden 019,71
E02000185,Camden 020,74
E02000186,Camden 021,57
E02000187,Camden 022,21
E02000188,Camden 023,21
E02000191,Camden 026,6
E02000192,Camden 027,22
E02000193,Camden 028,15
E02000194,Croydon 001,464
E02000195,Croydon 002,1401
E02000196,Croydon 003,962
E02000197,Croydon 004,920
E02000198,Croydon 005,730
E02000199,Croydon 006,616
E02000200,Croydon 007,643
E02000201,Croydon 008,373
E02000202,Croydon 009,443
E02000203,Croydon 010,483
E02000204,Croydon 011,658
E02000206,Croydon 013,707
E02000207,Croydon 014,859
E02000208,Croydon 015,529
E02000209,Croydon 016,614
E02000210,Croydon 017,696
E02000211,Croydon 018,1333
E02000212,Croydon 019,832
E02000213,Croydon 020,483
E02000214,Croydon 021,616
E02000215,Croydon 022,650
E02000216,Croydon 023,188
E02000217,Croydon 024,756
E02000218,Croydon 025,1044
E02000219,Croydon 026,1538
E02000221,Croydon 028,1280
E02000222,Croydon 029,501
E02000223,Croydon 030,468
E02000224,Croydon 031,920
E02000225,Croydon 032,1652
E02000226,Croydon 033,1679
E02000227,Croydon 034,1693
E02000228,Croydon 035,865
E02000229,Croydon 036,1046
E02000230,Croydon 037,869
E02000231,Croydon 038,544
E02000232,Croydon 039,1207
E02000233,Croydon 040,878
E02000234,Croydon 041,927
E02000235,Croydon 042,790
E02000236,Croydon 043,1563
E02000237,Croydon 044,1410
E02000238,Ealing 001,1164
E02000239,Ealing 002,1024
E02000240,Ealing 003,1138
E02000241,Ealing 004,835
E02000242,Ealing 005,848
E02000243,Ealing 006,1291
E02000244,Ealing 007,867
E02000245,Ealing 008,502
E02000246,Ealing 009,1111
E02000247,Ealing 010,721
E02000248,Ealing 011,674
E02000249,Ealing 012,1021
E02000250,Ealing 013,674
E02000251,Ealing 014,602
E02000252,Ealing 015,598
E02000253,Ealing 016,875
E02000254,Ealing 017,858
E02000255,Ealing 018,848
E02000256,Ealing 019,611
E02000258,Ealing 021,871
E02000259,Ealing 022,696
E02000260,Ealing 023,992
E02000261,Ealing 024,887
E02000262,Ealing 025,529
E02000263,Ealing 026,784
E02000264,Ealing 027,840
E02000265,Ealing 028,660
E02000266,Ealing 029,926
E02000267,Ealing 030,511
E02000268,Ealing 031,901
E02000269,Ealing 032,558
E02000270,Ealing 033,164
E02000271,Ealing 034,431
E02000272,Ealing 035,730
E02000275,Ealing 038,587
E02000276,Ealing 039,332
E02000277,Enfield 001,1027
E02000278,Enfield 002,820
E02000279,Enfield 003,767
E02000280,Enfield 004,863
E02000281,Enfield 005,638
E02000282,Enfield 006,581
E02000283,Enfield 007,886
E02000284,Enfield 008,706
E02000285,Enfield 009,1251
E02000286,Enfield 010,681
E02000287,Enfield 011,718
E02000288,Enfield 012,838
E02000289,Enfield 013,1709
E02000290,Enfield 014,331
E02000291,Enfield 015,543
E02000292,Enfield 016,784
E02000293,Enfield 017,1011
E02000294,Enfield 018,710
E02000295,Enfield 019,1327
E02000296,Enfield 020,701
E02000297,Enfield 021,1475
E02000298,Enfield 022,1453
E02000299,Enfield 023,582
E02000300,Enfield 024,546
E02000301,Enfield 025,597
E02000302,Enfield 026,956
E02000303,Enfield 027,960
E02000304,Enfield 028,1516
E02000305,Enfield 029,548
E02000306,Enfield 030,379
E02000307,Enfield 031,750
E02000308,Enfield 032,622
E02000309,Enfield 033,760
E02000311,Enfield 035,718
E02000312,Enfield 036,745
E02000313,Greenwich 001,224
E02000314,Greenwich 002,876
E02000315,Greenwich 003,461
E02000317,Greenwich 005,248
E02000318,Greenwich 006,650
E02000319,Greenwich 007,430
E02000320,Greenwich 008,304
E02000321,Greenwich 009,255
E02000323,Greenwich 011,323
E02000324,Greenwich 012,753
E02000326,Greenwich 014,316
E02000327,Greenwich 015,269
E02000328,Greenwich 016,435
E02000329,Greenwich 017,810
E02000331,Greenwich 019,771
E02000332,Greenwich 020,720
E02000333,Greenwich 021,391
E02000334,Greenwich 022,1139
E02000335,Greenwich 023,1099
E02000337,Greenwich 025,1492
E02000339,Greenwich 027,702
E02000340,Greenwich 028,784
E02000341,Greenwich 029,749
E02000342,Greenwich 030,740
E02000343,Greenwich 031,1256
E02000344,Greenwich 032,1523
E02000345,Hackney 001,186
E02000346,Hackney 002,53
E02000347,Hackney 003,173
E02000348,Hackney 004,90
E02000350,Hackney 006,96
E02000351,Hackney 007,146
E02000352,Hackney 008,121
E02000353,Hackney 009,98
E02000354,Hackney 010,145
E02000355,Hackney 011,149
E02000356,Hackney 012,58
E02000357,Hackney 013,105
E02000358,Hackney 014,133
E02000359,Hackney 015,198
E02000360,Hackney 016,84
E02000361,Hackney 017,101
E02000362,Hackney 018,220
E02000363,Hackney 019,84
E02000364,Hackney 020,309
E02000366,Hackney 022,197
E02000367,Hackney 023,138
E02000368,Hackney 024,182
E02000369,Hackney 025,101
E02000370,Hackney 026,32
E02000372,Hammersmith and Fulham 001,501
E02000373,Hammersmith and Fulham 002,142
E02000374,Hammersmith and Fulham 003,352
E02000375,Hammersmith and Fulham 004,93
E02000376,Hammersmith and Fulham 005,101
E02000377,Hammersmith and Fulham 006,134
E02000378,Hammersmith and Fulham 007,55
E02000379,Hammersmith and Fulham 008,388
E02000380,Hammersmith and Fulham 009,72
E02000381,Hammersmith and Fulham 010,87
E02000382,Hammersmith and Fulham 011,229
E02000383,Hammersmith and Fulham 012,32
E02000384,Hammersmith and Fulham 013,114
E02000385,Hammersmith and Fulham 014,41
E02000386,Hammersmith and Fulham 015,87
E02000387,Hammersmith and Fulham 016,79
E02000388,Hammersmith and Fulham 017,120
E02000389,Hammersmith and Fulham 018,216
E02000390,Hammersmith and Fulham 019,99
E02000391,Hammersmith and Fulham 020,167
E02000392,Hammersmith and Fulham 021,109
E02000393,Hammersmith and Fulham 022,76
E02000394,Hammersmith and Fulham 023,62
E02000395,Hammersmith and Fulham 024,316
E02000396,Hammersmith and Fulham 025,119
E02000397,Haringey 001,237
E02000398,Haringey 002,293
E02000400,Haringey 004,615
E02000401,Haringey 005,546
E02000402,Haringey 006,501
E02000403,Haringey 007,280
E02000404,Haringey 008,342
E02000405,Haringey 009,404
E02000406,Haringey 010,274
E02000407,Haringey 011,184
E02000408,Haringey 012,230
E02000409,Haringey 013,179
E02000410,Haringey 014,342
E02000411,Haringey 015,293
E02000412,Haringey 016,199
E02000413,Haringey 017,589
E02000414,Haringey 018,211
E02000415,Haringey 019,230
E02000416,Haringey 020,141
E02000417,Haringey 021,417
E02000418,Haringey 022,237
E02000419,Haringey 023,259
E02000420,Haringey 024,279
E02000421,Haringey 025,192
E02000422,Haringey 026,202
E02000423,Haringey 027,141
E02000424,Haringey 028,129
E02000425,Haringey 029,241
E02000426,Haringey 030,403
E02000427,Haringey 031,135
E02000428,Haringey 032,144
E02000429,Haringey 033,301
E02000430,Haringey 034,207
E02000431,Haringey 035,233
E02000432,Haringey 036,83
E02000433,Harrow 001,309
E02000434,Harrow 002,1240
E02000435,Harrow 003,1072
E02000436,Harrow 004,734
E02000437,Harrow 005,1521
E02000438,Harrow 006,1036
E02000439,Harrow 007,1686
E02000440,Harrow 008,2209
E02000441,Harrow 009,610
E02000442,Harrow 010,1145
E02000443,Harrow 011,1007
E02000444,Harrow 012,1854
E02000445,Harrow 013,985
E02000447,Harrow 015,1533
E02000448,Harrow 016,566
E02000449,Harrow 017,783
E02000451,Harrow 019,1407
E02000452,Harrow 020,776
E02000453,Harrow 021,820
E02000454,Harrow 022,1508
E02000455,Harrow 023,650
E02000456,Harrow 024,995
E02000457,Harrow 025,1462
E02000459,Harrow 027,664
E02000460,Harrow 028,554
E02000461,Harrow 029,453
E02000462,Harrow 030,979
E02000463,Harrow 031,1196
E02000464,Havering 001,930
E02000465,Havering 002,1337
E02000466,Havering 003,1486
E02000467,Havering 004,1137
E02000468,Havering 005,1473
E02000469,Havering 006,903
E02000470,Havering 007,1810
E02000471,Havering 008,2042
E02000472,Havering 009,1591
E02000473,Havering 010,1812
E02000474,Havering 011,1263
E02000475,Havering 012,1123
E02000476,Havering 013,798
E02000477,Havering 014,1595
E02000478,Havering 015,415
E02000479,Havering 016,1407
E02000480,Havering 017,1361
E02000481,Havering 018,1527
E02000482,Havering 019,1717
E02000483,Havering 020,1406
E02000484,Havering 021,1160
E02000485,Havering 022,1948
E02000486,Havering 023,1714
E02000487,Havering 024,2152
E02000488,Havering 025,2004
E02000489,Havering 026,1227
E02000490,Havering 027,1313
E02000491,Havering 028,1075
E02000492,Havering 029,1179
E02000493,Havering 030,825
E02000494,Hillingdon 001,259
E02000495,Hillingdon 002,1129
E02000496,Hillingdon 003,1202
E02000497,Hillingdon 004,1223
E02000498,Hillingdon 005,827
