Middle layer Super Output Areas Code,Middle layer Super Output Areas,social_rented
E02000001,City of London 001,449
E02000002,Barking and Dagenham 001,921
E02000003,Barking and Dagenham 002,409
E02000004,Barking and Dagenham 003,261
E02000005,Barking and Dagenham 004,693
E02000007,Barking and Dagenham 006,1421
E02000008,Barking and Dagenham 007,1443
E02000009,Barking and Dagenham 008,934
E02000010,Barking and Dagenham 009,904
E02000011,Barking and Dagenham 010,239
E02000012,Barking and Dagenham 011,324
E02000013,Barking and Dagenham 012,1078
E02000014,Barking and Dagenham 013,1012
E02000015,Barking and Dagenham 014,1066
E02000016,Barking and Dagenham 015,838
E02000017,Barking and Dagenham 016,177
E02000018,Barking and Dagenham 017,983
E02000019,Barking and Dagenham 018,923
E02000020,Barking and Dagenham 019,925
E02000021,Barking and Dagenham 020,437
E02000022,Barking and Dagenham 021,1118
E02000023,Barking and Dagenham 022,1087
E02000024,Barnet 001,107
E02000025,Barnet 002,247
E02000026,Barnet 003,88
E02000027,Barnet 004,662
E02000028,Barnet 005,67
E02000029,Barnet 006,204
E02000030,Barnet 007,329
E02000031,Barnet 008,72
E02000032,Barnet 009,15
E02000033,Barnet 010,173
E02000034,Barnet 011,186
E02000035,Barnet 012,176
E02000036,Barnet 013,242
E02000037,Barnet 014,74
E02000038,Barnet 015,239
E02000039,Barnet 016,81
E02000040,Barnet 017,228
E02000041,Barnet 018,228
E02000042,Barnet 019,176
E02000043,Barnet 020,29
E02000044,Barnet 021,588
E02000045,Barnet 022,589
E02000046,Barnet 023,24
E02000047,Barnet 024,930
E02000048,Barnet 025,58
E02000049,Barnet 026,918
E02000050,Barnet 027,322
E02000051,Barnet 028,140
E02000052,Barnet 029,419
E02000054,Barnet 031,33
E02000055,Barnet 032,366
E02000056,Barnet 033,51
E02000057,Barnet 034,127
E02000058,Barnet 035,85
E02000059,Barnet 036,390
E02000060,Barnet 037,57
E02000061,Barnet 038,67
E02000062,Barnet 039,390
E02000063,Barnet 040,100
E02000064,Barnet 041,506
E02000065,Bexley 001,209
E02000066,Bexley 002,273
E02000067,Bexley 003,179
E02000068,Bexley 004,215
E02000069,Bexley 005,78
E02000070,Bexley 006,46
E02000071,Bexley 007,88
E02000072,Bexley 008,307
E02000073,Bexley 009,26
E02000074,Bexley 010,174
E02000075,Bexley 011,22
E02000077,Bexley 013,46
E02000078,Bexley 014,44
E02000079,Bexley 015,42
E02000080,Bexley 016,34
E02000081,Bexley 017,79
E02000082,Bexley 018,17
E02000083,Bexley 019,164
E02000084,Bexley 020,26
E02000085,Bexley 021,23
E02000086,Bexley 022,12
E02000087,Bexley 023,18
E02000088,Bexley 024,20
E02000089,Bexley 025,15
E02000090,Bexley 026,46
E02000091,Bexley 027,67
E02000092,Bexley 028,148
E02000093,Brent 001,67
E02000094,Brent 002,102
E02000095,Brent 003,181
E02000096,Brent 004,53
E02000097,Brent 005,216
E02000098,Brent 006,244
E02000099,Brent 007,114
E02000100,Brent 008,42
E02000101,Brent 009,322
E02000102,Brent 010,188
E02000103,Brent 011,428
E02000104,Brent 012,104
E02000105,Brent 013,153
E02000106,Brent 014,283
E02000107,Brent 015,206
E02000108,Brent 016,75
E02000110,Brent 018,196
E02000111,Brent 019,176
E02000112,Brent 020,132
E02000113,Brent 021,1270
E02000114,Brent 022,258
E02000115,Brent 023,574
E02000116,Brent 024,261
E02000117,Brent 025,473
E02000118,Brent 026,273
E02000119,Brent 027,712
E02000120,Brent 028,363
E02000121,Brent 029,113
E02000122,Brent 030,270
E02000123,Brent 031,533
E02000124,Brent 032,412
E02000125,Brent 033,213
E02000126,Brent 034,1264
E02000127,Bromley 001,174
E02000128,Bromley 002,24
E02000130,Bromley 004,65
E02000131,Bromley 005,119
E02000132,Bromley 006,53
E02000133,Bromley 007,7
E02000134,Bromley 008,71
E02000135,Bromley 009,311
E02000136,Bromley 010,57
E02000137,Bromley 011,20
E02000138,Bromley 012,11
E02000139,Bromley 013,39
E02000140,Bromley 014,220
E02000141,Bromley 015,61
E02000142,Bromley 016,14
E02000144,Bromley 018,30
E02000145,Bromley 019,206
E02000146,Bromley 020,26
E02000147,Bromley 021,14
E02000148,Bromley 022,12
E02000149,Bromley 023,70
E02000150,Bromley 024,18
E02000151,Bromley 025,10
E02000152,Bromley 026,108
E02000153,Bromley 027,10
E02000154,Bromley 028,31
E02000155,Bromley 029,36
E02000156,Bromley 030,16
E02000157,Bromley 031,7
E02000158,Bromley 032,79
E02000159,Bromley 033,8
E02000160,Bromley 034,6
E02000161,Bromley 035,13
E02000162,Bromley 036,20
E02000163,Bromley 037,19
E02000165,Bromley 039,15
E02000166,Camden 001,1061
E02000167,Camden 002,205
E02000168,Camden 003,543
E02000169,Camden 004,151
E02000170,Camden 005,202
E02000171,Camden 006,598
E02000172,Camden 007,1803
E02000173,Camden 008,319
E02000174,Camden 009,1195
E02000175,Camden 010,429
E02000176,Camden 011,134
E02000177,Camden 012,1584
E02000178,Camden 013,866
E02000179,Camden 014,648
E02000180,Camden 015,969
E02000181,Camden 016,363
E02000182,Camden 017,460
E02000183,Camden 018,484
E02000184,Camden 019,1207
E02000185,Camden 020,1386
E02000186,Camden 021,466
E02000187,Camden 022,1554
E02000188,Camden 023,1245
E02000191,Camden 026,305
E02000192,Camden 027,1032
E02000193,Camden 028,480
E02000194,Croydon 001,510
E02000195,Croydon 002,180
E02000196,Croydon 003,394
E02000197,Croydon 004,379
E02000198,Croydon 005,307
E02000199,Croydon 006,128
E02000200,Croydon 007,185
E02000201,Croydon 008,550
E02000202,Croydon 009,107
E02000203,Croydon 010,351
E02000204,Croydon 011,199
E02000206,Croydon 013,500
E02000207,Croydon 014,327
E02000208,Croydon 015,594
E02000209,Croydon 016,182
E02000210,Croydon 017,165
E02000211,Croydon 018,30
E02000212,Croydon 019,472
E02000213,Croydon 020,773
E02000214,Croydon 021,21
E02000215,Croydon 022,434
E02000216,Croydon 023,33
E02000217,Croydon 024,463
E02000218,Croydon 025,614
E02000219,Croydon 026,33
E02000221,Croydon 028,775
E02000222,Croydon 029,103
E02000223,Croydon 030,1531
E02000224,Croydon 031,118
E02000225,Croydon 032,671
E02000226,Croydon 033,45
E02000227,Croydon 034,425
E02000228,Croydon 035,45
E02000229,Croydon 036,788
E02000230,Croydon 037,156
E02000231,Croydon 038,29
E02000232,Croydon 039,196
E02000233,Croydon 040,201
E02000234,Croydon 041,202
E02000235,Croydon 042,111
E02000236,Croydon 043,110
E02000237,Croydon 044,333
E02000238,Ealing 001,264
E02000239,Ealing 002,24
E02000240,Ealing 003,787
E02000241,Ealing 004,136
E02000242,Ealing 005,74
E02000243,Ealing 006,286
E02000244,Ealing 007,99
E02000245,Ealing 008,671
E02000246,Ealing 009,767
E02000247,Ealing 010,504
E02000248,Ealing 011,76
E02000249,Ealing 012,287
E02000250,Ealing 013,72
E02000251,Ealing 014,32
E02000252,Ealing 015,260
E02000253,Ealing 016,1330
E02000254,Ealing 017,132
E02000255,Ealing 018,402
E02000256,Ealing 019,99
E02000258,Ealing 021,123
E02000259,Ealing 022,86
E02000260,Ealing 023,185
E02000261,Ealing 024,571
E02000262,Ealing 025,300
E02000263,Ealing 026,209
E02000264,Ealing 027,87
E02000265,Ealing 028,251
E02000266,Ealing 029,879
E02000267,Ealing 030,152
E02000268,Ealing 031,467
E02000269,Ealing 032,106
E02000270,Ealing 033,520
E02000271,Ealing 034,74
E02000272,Ealing 035,100
E02000275,Ealing 038,203
E02000276,Ealing 039,147
E02000277,Enfield 001,203
E02000278,Enfield 002,784
E02000279,Enfield 003,526
E02000280,Enfield 004,549
E02000281,Enfield 005,491
E02000282,Enfield 006,918
E02000283,Enfield 007,309
E02000284,Enfield 008,294
E02000285,Enfield 009,46
E02000286,Enfield 010,124
E02000287,Enfield 011,159
E02000288,Enfield 012,597
E02000289,Enfield 013,88
E02000290,Enfield 014,557
E02000291,Enfield 015,450
E02000292,Enfield 016,223
E02000293,Enfield 017,46
E02000294,Enfield 018,369
E02000295,Enfield 019,128
E02000296,Enfield 020,309
E02000297,Enfield 021,43
E02000298,Enfield 022,77
E02000299,Enfield 023,279
E02000300,Enfield 024,195
E02000301,Enfield 025,662
E02000302,Enfield 026,234
E02000303,Enfield 027,627
E02000304,Enfield 028,51
E02000305,Enfield 029,34
E02000306,Enfield 030,931
E02000307,Enfield 031,176
E02000308,Enfield 032,316
E02000309,Enfield 033,506
E02000311,Enfield 035,236
E02000312,Enfield 036,106
E02000313,Greenwich 001,208
E02000314,Greenwich 002,209
E02000315,Greenwich 003,1248
E02000317,Greenwich 005,1055
E02000318,Greenwich 006,470
E02000319,Greenwich 007,516
E02000320,Greenwich 008,546
E02000321,Greenwich 009,1249
E02000323,Greenwich 011,1248
E02000324,Greenwich 012,780
E02000326,Greenwich 014,281
E02000327,Greenwich 015,944
E02000328,Greenwich 016,509
E02000329,Greenwich 017,334
E02000331,Greenwich 019,830
E02000332,Greenwich 020,288
E02000333,Greenwich 021,314
E02000334,Greenwich 022,597
E02000335,Greenwich 023,162
E02000337,Greenwich 025,1002
E02000339,Greenwich 027,281
E02000340,Greenwich 028,368
E02000341,Greenwich 029,1225
E02000342,Greenwich 030,495
E02000343,Greenwich 031,726
E02000344,Greenwich 032,203
E02000345,Hackney 001,191
E02000346,Hackney 002,1123
E02000347,Hackney 003,483
E02000348,Hackney 004,527
E02000350,Hackney 006,274
E02000351,Hackney 007,573
E02000352,Hackney 008,480
E02000353,Hackney 009,315
E02000354,Hackney 010,961
E02000355,Hackney 011,319
E02000356,Hackney 012,401
E02000357,Hackney 013,847
E02000358,Hackney 014,958
E02000359,Hackney 015,400
E02000360,Hackney 016,813
E02000361,Hackney 017,618
E02000362,Hackney 018,572
E02000363,Hackney 019,1743
E02000364,Hackney 020,655
E02000366,Hackney 022,689
E02000367,Hackney 023,605
E02000368,Hackney 024,1770
E02000369,Hackney 025,1654
E02000370,Hackney 026,1425
E02000372,Hammersmith and Fulham 001,488
E02000373,Hammersmith and Fulham 002,1419
E02000374,Hammersmith and Fulham 003,357
E02000375,Hammersmith and Fulham 004,774
E02000376,Hammersmith and Fulham 005,358
E02000377,Hammersmith and Fulham 006,446
E02000378,Hammersmith and Fulham 007,496
E02000379,Hammersmith and Fulham 008,261
E02000380,Hammersmith and Fulham 009,145
E02000381,Hammersmith and Fulham 010,343
E02000382,Hammersmith and Fulham 011,246
E02000383,Hammersmith and Fulham 012,432
E02000384,Hammersmith and Fulham 013,732
E02000385,Hammersmith and Fulham 014,201
E02000386,Hammersmith and Fulham 015,1138
E02000387,Hammersmith and Fulham 016,661
E02000388,Hammersmith and Fulham 017,403
E02000389,Hammersmith and Fulham 018,365
E02000390,Hammersmith and Fulham 019,244
E02000391,Hammersmith and Fulham 020,398
E02000392,Hammersmith and Fulham 021,750
E02000393,Hammersmith and Fulham 022,138
E02000394,Hammersmith and Fulham 023,434
E02000395,Hammersmith and Fulham 024,145
E02000396,Hammersmith and Fulham 025,468
E02000397,Haringey 001,406
E02000398,Haringey 002,887
E02000400,Haringey 004,502
E02000401,Haringey 005,842
E02000402,Haringey 006,822
E02000403,Haringey 007,218
E02000404,Haringey 008,595
E02000405,Haringey 009,113
E02000406,Haringey 010,829
E02000407,Haringey 011,370
E02000408,Haringey 012,739
E02000409,Haringey 013,691
E02000410,Haringey 014,58
E02000411,Haringey 015,637
E02000412,Haringey 016,498
E02000413,Haringey 017,313
E02000414,Haringey 018,172
E02000415,Haringey 019,212
E02000416,Haringey 020,758
E02000417,Haringey 021,128
E02000418,Haringey 022,208
E02000419,Haringey 023,221
E02000420,Haringey 024,477
E02000421,Haringey 025,649
E02000422,Haringey 026,562
E02000423,Haringey 027,293
E02000424,Haringey 028,277
E02000425,Haringey 029,226
E02000426,Haringey 030,308
E02000427,Haringey 031,148
E02000428,Haringey 032,827
E02000429,Haringey 033,148
E02000430,Haringey 034,148
E02000431,Haringey 035,92
E02000432,Haringey 036,421
E02000433,Harrow 001,123
E02000434,Harrow 002,154
E02000435,Harrow 003,369
E02000436,Harrow 004,57
E02000437,Harrow 005,156
E02000438,Harrow 006,378
E02000439,Harrow 007,245
E02000440,Harrow 008,79
E02000441,Harrow 009,380
E02000442,Harrow 010,64
E02000443,Harrow 011,326
E02000444,Harrow 012,37
E02000445,Harrow 013,188
E02000447,Harrow 015,109
E02000448,Harrow 016,129
E02000449,Harrow 017,306
E02000451,Harrow 019,30
E02000452,Harrow 020,71
E02000453,Harrow 021,85
E02000454,Harrow 022,67
E02000455,Harrow 023,289
E02000456,Harrow 024,161
E02000457,Harrow 025,32
E02000459,Harrow 027,316
E02000460,Harrow 028,156
E02000461,Harrow 029,94
E02000462,Harrow 030,48
E02000463,Harrow 031,387
E02000464,Havering 001,676
E02000465,Havering 002,994
E02000466,Havering 003,591
E02000467,Havering 004,1719
E02000468,Havering 005,254
E02000469,Havering 006,654
E02000470,Havering 007,140
E02000471,Havering 008,42
E02000472,Havering 009,215
E02000473,Havering 010,105
E02000474,Havering 011,411
E02000475,Havering 012,241
E02000476,Havering 013,276
E02000477,Havering 014,62
E02000478,Havering 015,15
E02000479,Havering 016,319
E02000480,Havering 017,378
E02000481,Havering 018,217
E02000482,Havering 019,40
E02000483,Havering 020,286
E02000484,Havering 021,150
E02000485,Havering 022,171
E02000486,Havering 023,62
E02000487,Havering 024,27
