Middle layer Super Output Areas Code,Middle layer Super Output Areas,Warehouse
E02000001,City of London 001,272
E02000002,Barking and Dagenham 001,4
E02000003,Barking and Dagenham 002,20
E02000004,Barking and Dagenham 003,6
E02000005,Barking and Dagenham 004,6
E02000007,Barking and Dagenham 006,6
E02000008,Barking and Dagenham 007,4
E02000009,Barking and Dagenham 008,48
E02000010,Barking and Dagenham 009,4
E02000011,Barking and Dagenham 010,7
E02000012,Barking and Dagenham 011,0
E02000013,Barking and Dagenham 012,3
E02000014,Barking and Dagenham 013,3
E02000015,Barking and Dagenham 014,5
E02000016,Barking and Dagenham 015,22
E02000017,Barking and Dagenham 016,16
E02000018,Barking and Dagenham 017,7
E02000019,Barking and Dagenham 018,0
E02000020,Barking and Dagenham 019,5
E02000021,Barking and Dagenham 020,4
E02000022,Barking and Dagenham 021,9
E02000023,Barking and Dagenham 022,1
E02000024,Barnet 001,77
E02000025,Barnet 002,12
E02000026,Barnet 003,17
E02000027,Barnet 004,11
E02000028,Barnet 005,38
E02000029,Barnet 006,24
E02000030,Barnet 007,8
E02000031,Barnet 008,31
E02000032,Barnet 009,0
E02000033,Barnet 010,13
E02000034,Barnet 011,20
E02000035,Barnet 012,24
E02000036,Barnet 013,9
E02000037,Barnet 014,5
E02000038,Barnet 015,200
E02000039,Barnet 016,24
E02000040,Barnet 017,47
E02000041,Barnet 018,25
E02000042,Barnet 019,56
E02000043,Barnet 020,4
E02000044,Barnet 021,20
E02000045,Barnet 022,13
E02000046,Barnet 023,24
E02000047,Barnet 024,14
E02000048,Barnet 025,14
E02000049,Barnet 026,7
E02000050,Barnet 027,21
E02000051,Barnet 028,28
E02000052,Barnet 029,21
E02000054,Barnet 031,13
E02000055,Barnet 032,32
E02000056,Barnet 033,15
E02000057,Barnet 034,14
E02000058,Barnet 035,22
E02000059,Barnet 036,16
E02000060,Barnet 037,31
E02000061,Barnet 038,30
E02000062,Barnet 039,11
E02000063,Barnet 040,12
E02000064,Barnet 041,18
E02000065,Bexley 001,6
E02000066,Bexley 002,5
E02000067,Bexley 003,26
E02000068,Bexley 004,18
E02000069,Bexley 005,25
E02000070,Bexley 006,33
E02000071,Bexley 007,5
E02000072,Bexley 008,9
E02000073,Bexley 009,4
E02000074,Bexley 010,14
E02000075,Bexley 011,3
E02000077,Bexley 013,12
E02000078,Bexley 014,0
E02000079,Bexley 015,15
E02000080,Bexley 016,3
E02000081,Bexley 017,5
E02000082,Bexley 018,2
E02000083,Bexley 019,14
E02000084,Bexley 020,11
E02000085,Bexley 021,4
E02000086,Bexley 022,33
E02000087,Bexley 023,35
E02000088,Bexley 024,2
E02000089,Bexley 025,0
E02000090,Bexley 026,25
E02000091,Bexley 027,15
E02000092,Bexley 028,11
E02000093,Brent 001,13
E02000094,Brent 002,9
E02000095,Brent 003,10
E02000096,Brent 004,4
E02000097,Brent 005,19
E02000098,Brent 006,2
E02000099,Brent 007,0
E02000100,Brent 008,2
E02000101,Brent 009,8
E02000102,Brent 010,7
E02000103,Brent 011,39
E02000104,Brent 012,0
E02000105,Brent 013,14
E02000106,Brent 014,24
E02000107,Brent 015,90
E02000108,Brent 016,4
E02000110,Brent 018,15
E02000111,Brent 019,12
E02000112,Brent 020,10
E02000113,Brent 021,9
E02000114,Brent 022,40
E02000115,Brent 023,26
E02000116,Brent 024,34
E02000117,Brent 025,36
E02000118,Brent 026,14
E02000119,Brent 027,13
E02000120,Brent 028,71
E02000121,Brent 029,8
E02000122,Brent 030,26
E02000123,Brent 031,60
E02000124,Brent 032,85
E02000125,Brent 033,20
E02000126,Brent 034,25
E02000127,Bromley 001,15
E02000128,Bromley 002,16
E02000130,Bromley 004,41
E02000131,Bromley 005,84
E02000132,Bromley 006,59
E02000133,Bromley 007,31
E02000134,Bromley 008,99
E02000135,Bromley 009,64
E02000136,Bromley 010,1
E02000137,Bromley 011,19
E02000138,Bromley 012,29
E02000139,Bromley 013,40
E02000140,Bromley 014,5
E02000141,Bromley 015,10
E02000142,Bromley 016,46
E02000144,Bromley 018,46
E02000145,Bromley 019,15
E02000146,Bromley 020,30
E02000147,Bromley 021,6
E02000148,Bromley 022,10
E02000149,Bromley 023,10
E02000150,Bromley 024,8
E02000151,Bromley 025,4
E02000152,Bromley 026,0
E02000153,Bromley 027,2
E02000154,Bromley 028,29
E02000155,Bromley 029,3
E02000156,Bromley 030,17
E02000157,Bromley 031,5
E02000158,Bromley 032,6
E02000159,Bromley 033,23
E02000160,Bromley 034,14
E02000161,Bromley 035,1
E02000162,Bromley 036,42
E02000163,Bromley 037,22
E02000165,Bromley 039,1
E02000166,Camden 001,59
E02000167,Camden 002,88
E02000168,Camden 003,82
E02000169,Camden 004,56
E02000170,Camden 005,46
E02000171,Camden 006,27
E02000172,Camden 007,173
E02000173,Camden 008,52
E02000174,Camden 009,83
E02000175,Camden 010,38
E02000176,Camden 011,31
E02000177,Camden 012,32
E02000178,Camden 013,56
E02000179,Camden 014,26
E02000180,Camden 015,48
E02000181,Camden 016,30
E02000182,Camden 017,22
E02000183,Camden 018,110
E02000184,Camden 019,53
E02000185,Camden 020,20
E02000186,Camden 021,74
E02000187,Camden 022,42
E02000188,Camden 023,19
E02000191,Camden 026,43
E02000192,Camden 027,179
E02000193,Camden 028,110
E02000194,Croydon 001,51
E02000195,Croydon 002,13
E02000196,Croydon 003,28
E02000197,Croydon 004,33
E02000198,Croydon 005,33
E02000199,Croydon 006,25
E02000200,Croydon 007,32
E02000201,Croydon 008,59
E02000202,Croydon 009,9
E02000203,Croydon 010,18
E02000204,Croydon 011,16
E02000206,Croydon 013,41
E02000207,Croydon 014,20
E02000208,Croydon 015,70
E02000209,Croydon 016,7
E02000210,Croydon 017,11
E02000211,Croydon 018,18
E02000212,Croydon 019,9
E02000213,Croydon 020,138
E02000214,Croydon 021,7
E02000215,Croydon 022,68
E02000216,Croydon 023,4
E02000217,Croydon 024,56
E02000218,Croydon 025,1
E02000219,Croydon 026,8
E02000221,Croydon 028,12
E02000222,Croydon 029,34
E02000223,Croydon 030,0
E02000224,Croydon 031,16
E02000225,Croydon 032,1
E02000226,Croydon 033,4
E02000227,Croydon 034,8
E02000228,Croydon 035,10
E02000229,Croydon 036,0
E02000230,Croydon 037,18
E02000231,Croydon 038,22
E02000232,Croydon 039,1
E02000233,Croydon 040,15
E02000234,Croydon 041,10
E02000235,Croydon 042,9
E02000236,Croydon 043,4
E02000237,Croydon 044,10
