Lower tier local authorities Code,Lower tier local authorities,Does not apply,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,outside the UK,Works mainly from home,Total,% work from home
E06000031,Peterborough,114705,13340,19954,13349,4409,5347,1817,1788,2265,13953,24747,215674,11.47426208
E06000032,Luton,126541,13850,15685,8685,8561,5530,2184,3598,1079,18350,21199,225262,9.410819401
E06000033,Southend-on-Sea,97427,12254,11712,6508,3882,2400,1220,3401,1084,12975,27823,180686,15.39853669
E06000034,Thurrock,90052,7684,10781,8784,10527,6274,3334,887,743,15856,21081,176003,11.97763674
E06000035,Medway,147167,13333,16797,12668,13080,5844,3682,5450,1541,25745,34466,279773,12.31927312
E06000036,Bracknell Forest,58210,5819,6347,6070,7146,2908,875,848,518,9358,26512,124611,21.27581032
E06000037,West Berkshire,79141,7924,7772,7206,7284,3408,1463,1271,1169,10822,33988,161448,21.05197958
E06000038,Reading,85358,12647,13238,5772,4577,3044,1098,1475,1228,10836,34950,174223,20.06049718
E06000039,Slough,84799,9229,10683,8247,7376,3085,1419,619,647,12419,19976,158499,12.60323409
E06000040,Windsor and Maidenhead,77194,6537,5780,6473,6790,2373,1393,979,536,8876,36565,153496,23.82146766
E06000041,Wokingham,88035,5384,7928,8932,6154,2912,1152,1378,673,9602,45352,177502,25.55013465
E06000042,Milton Keynes,143682,12543,22581,21221,6978,4506,1457,1820,3438,16637,52198,287061,18.18359164
E06000043,Brighton and Hove,137812,19822,19503,7872,6569,2111,1988,908,2807,18218,59495,277105,21.47020083
E06000044,Portsmouth,110216,16450,16986,11347,4494,3760,1076,730,1861,16768,24315,208003,11.68973524
E06000045,Southampton,130694,18254,21608,14393,6150,2259,1511,1193,1857,20720,30282,248921,12.16530546
E06000046,Isle of Wight,82549,10045,5472,8772,8456,810,215,479,782,9957,12922,140459,9.199837675
E06000055,Bedford,94360,10705,13721,6940,8223,5287,1577,1312,2195,12336,28568,185224,15.42348724
E06000056,Central Bedfordshire,143175,13038,10108,12142,19692,9078,4511,4655,2345,23355,52153,294252,17.72392371
E06000060,Buckinghamshire,279842,22831,20522,20961,25735,15610,8216,7128,2716,37336,112181,553078,20.28303422
E07000008,Cambridge,75076,10723,12729,3283,2145,1157,542,1179,1298,5429,32113,145674,22.04442797
E07000009,East Cambridgeshire,43067,3450,2123,4614,5692,4427,1356,571,690,6166,15606,87762,17.78218363
E07000010,Fenland,55357,7230,4130,3695,6212,4581,1863,1050,960,7921,9463,102462,9.235619059
E07000011,Huntingdonshire,89441,9964,6300,6948,10982,6581,2695,1762,2057,12202,31900,180832,17.64068306
E07000012,South Cambridgeshire,79852,4121,5984,9504,11469,2855,1181,1088,1343,8676,36046,162119,22.23428469
E07000061,Eastbourne,57855,8250,9192,2009,2585,2047,861,491,764,7507,10125,101686,9.957122908
E07000062,Hastings,50096,6476,8006,2744,1450,1552,675,514,801,7738,10943,90995,12.02593549
