Middle layer Super Output Areas Code,Middle layer Super Output Areas,Does not apply,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,outside the UK,Works mainly from home,Total,% work from home
E02000001,City of London 001,3232,676,385,241,82,15,7,9,28,303,3602,8580,41.98135198
E02000002,Barking and Dagenham 001,5043,161,474,394,472,197,65,20,26,751,678,8281,8.187416979
E02000003,Barking and Dagenham 002,6304,311,603,541,860,310,61,17,44,1155,1336,11542,11.57511696
E02000004,Barking and Dagenham 003,3526,322,354,277,439,199,33,11,30,667,781,6639,11.76381985
E02000005,Barking and Dagenham 004,6220,358,684,532,787,251,54,20,57,1047,1072,11082,9.673344162
E02000007,Barking and Dagenham 006,5893,308,676,408,727,289,50,25,45,945,798,10164,7.851239669
E02000008,Barking and Dagenham 007,7551,454,897,589,973,273,61,41,58,1347,1002,13246,7.564547788
E02000009,Barking and Dagenham 008,7432,272,818,663,1001,227,54,38,61,1206,1091,12863,8.481691674
E02000010,Barking and Dagenham 009,5254,326,606,378,769,264,45,22,41,1005,775,9485,8.170795994
E02000011,Barking and Dagenham 010,3930,151,345,335,542,246,44,18,26,773,622,7032,8.845278726
E02000012,Barking and Dagenham 011,6486,329,609,602,826,130,48,34,44,1017,1386,11511,12.04065676
E02000013,Barking and Dagenham 012,5393,231,555,540,721,173,46,30,45,965,700,9399,7.447600809
E02000014,Barking and Dagenham 013,5483,397,559,464,816,285,46,27,53,1071,664,9865,6.7308667
E02000015,Barking and Dagenham 014,4716,220,430,391,631,242,45,23,35,837,658,8228,7.997083131
E02000016,Barking and Dagenham 015,6018,291,377,666,930,170,25,38,44,845,1164,10568,11.01438304
E02000017,Barking and Dagenham 016,4982,283,423,504,763,155,49,33,55,1034,854,9135,9.348659004
E02000018,Barking and Dagenham 017,5563,212,565,548,733,148,37,31,54,968,696,9555,7.284144427
E02000019,Barking and Dagenham 018,5511,313,472,515,794,197,55,23,54,971,756,9661,7.825276886
E02000020,Barking and Dagenham 019,7798,395,622,760,1290,194,68,53,52,1334,1491,14057,10.60681511
E02000021,Barking and Dagenham 020,5052,283,342,528,647,265,50,24,51,872,645,8759,7.363854321
E02000022,Barking and Dagenham 021,4386,279,303,511,684,101,37,17,37,615,774,7744,9.994834711
E02000023,Barking and Dagenham 022,4796,212,399,470,682,120,36,25,52,629,599,8020,7.46882793
E02000024,Barnet 001,5518,392,255,465,748,93,25,28,31,558,2728,10841,25.16373028
E02000025,Barnet 002,4385,235,312,458,607,64,19,16,27,549,1912,8584,22.27399814
E02000026,Barnet 003,3480,133,286,307,403,48,19,17,24,396,1342,6455,20.79008521
E02000027,Barnet 004,5221,397,377,474,614,78,30,16,33,707,1700,9647,17.62205867
E02000028,Barnet 005,3265,168,262,348,467,56,18,12,15,452,1470,6533,22.50114802
E02000029,Barnet 006,5055,300,408,499,643,65,20,12,11,847,1817,9677,18.77648031
E02000030,Barnet 007,5082,200,328,402,624,65,25,25,29,527,2150,9457,22.73448239
E02000031,Barnet 008,4240,190,272,390,518,37,13,15,16,417,2223,8331,26.68347137
E02000032,Barnet 009,4145,222,383,441,474,46,16,10,21,505,1675,7938,21.10103301
E02000033,Barnet 010,4598,284,415,487,558,48,16,11,24,764,1685,8890,18.95388076
E02000034,Barnet 011,4647,310,396,481,557,54,21,15,25,698,1882,9086,20.71318512
E02000035,Barnet 012,4210,213,331,465,583,54,17,15,21,531,2091,8531,24.51060837
E02000036,Barnet 013,5990,323,405,659,773,98,27,19,41,933,1976,11244,17.57381715
E02000037,Barnet 014,5853,300,327,577,689,80,36,34,40,633,2265,10834,20.90640576
E02000038,Barnet 015,5479,292,404,702,619,58,24,13,25,837,2266,10719,21.14003172
E02000039,Barnet 016,3637,191,285,360,450,42,7,13,34,439,1710,7168,23.85602679
E02000040,Barnet 017,4808,189,398,336,571,49,30,10,30,545,2174,9140,23.78555799
E02000041,Barnet 018,4976,359,327,562,684,101,21,23,38,839,1528,9458,16.15563544
E02000042,Barnet 019,5984,421,375,547,746,55,21,9,36,855,2511,11560,21.72145329
E02000043,Barnet 020,3934,189,232,328,413,45,14,6,15,317,2077,7570,27.43725231
E02000044,Barnet 021,4644,365,393,588,621,69,16,26,46,837,1238,8843,13.99977383
E02000045,Barnet 022,5552,371,483,772,496,58,18,19,24,881,1850,10524,17.57886735
E02000046,Barnet 023,3140,225,234,471,387,44,17,6,15,530,1892,6961,27.18000287
E02000047,Barnet 024,6952,539,507,809,885,82,32,27,39,1295,1231,12398,9.92902081
E02000048,Barnet 025,5446,243,451,516,514,41,23,16,20,639,2375,10284,23.0941268
E02000049,Barnet 026,5881,390,414,670,778,70,19,14,48,869,1379,10532,13.09342955
E02000050,Barnet 027,5461,381,385,704,478,52,26,7,14,691,2179,10378,20.99633841
E02000051,Barnet 028,4821,255,320,515,390,34,11,12,23,511,2270,9162,24.77624973
E02000052,Barnet 029,4719,258,420,706,355,47,12,9,25,579,2717,9847,27.59216005
E02000054,Barnet 031,3835,237,333,514,506,46,17,17,28,719,1379,7631,18.07102608
E02000055,Barnet 032,5944,573,522,841,680,75,12,23,43,1025,1987,11725,16.9466951
